t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
0.0,,,0,0,0,0,0,0,0
0.0362,,,0,0,0,0,0,0,0
0.0691,,,0,0,0,0,0,0,0
0.1051,,,0,0,0,0,0,0,0
0.1412,,,0,0,0,0,0,0,0
0.1773,,,0,0,0,0,0,0,0
0.2134,,,0,0,0,0,0,0,0
0.2468,,,0,0,0,0,0,0,0
0.2786,,,0,0,0,0,0,0,0
0.3134,,,0,0,0,0,0,0,0
0.3468,,,0,0,0,0,0,0,0
0.381,,,0,0,0,0,0,0,0
0.4172,,,0,0,0,0,0,0,0
0.4534,,,1,1,0,0,0,0,0
0.4857,,,0,0,0,0,0,0,0
0.5217,,,0,0,0,0,0,0,0
0.5551,,,0,0,0,0,0,0,0
0.5913,,,0,0,0,0,0,0,0
0.6275,,,0,0,0,0,0,0,0
0.6631,,,0,0,0,0,0,0,0
0.6968,,,0,0,0,0,0,0,0
0.7331,,,1,0,0,0,0,0,1
0.7694,,,0,0,0,0,0,0,0
0.8051,,,0,0,0,0,0,0,0
0.8379,,,0,0,0,0,0,0,0
0.8708,,,1,0,0,0,1,0,0
0.9056,,,0,0,0,0,0,0,0
0.9384,,,0,0,0,0,0,0,0
0.9717,,,0,0,0,0,0,0,0
1.0076,,,0,0,0,0,0,0,0
1.0426,,,0,0,0,0,0,0,0
1.0772,,,0,0,0,0,0,0,0
1.111,,,0,0,0,0,0,0,0
1.1467,,,0,0,0,0,0,0,0
1.183,,,1,0,0,0,1,0,0
1.2192,,,0,0,0,0,0,0,0
1.2554,,,0,0,0,0,0,0,0
1.2916,,,0,0,0,0,0,0,0
1.3246,,,0,0,0,0,0,0,0
1.3609,,,0,0,0,0,0,0,0
1.3941,,,0,0,0,0,0,0,0
1.4302,,,1,0,0,1,0,0,0
1.4664,,,0,0,0,0,0,0,0
1.4977,,,0,0,0,0,0,0,0
1.5338,,,0,0,0,0,0,0,0
1.5668,,,0,0,0,0,0,0,0
1.5984,,,0,0,0,0,0,0,0
1.6338,,,1,0,0,0,1,0,0
1.6699,,,0,0,0,0,0,0,0
1.7046,,,0,0,0,0,0,0,0
1.7379,,,0,0,0,0,0,0,0
1.7721,,,0,0,0,0,0,0,0
1.8051,,,0,0,0,0,0,0,0
1.8384,,,0,0,0,0,0,0,0
1.8745,,,0,0,0,0,0,0,0
1.9107,,,0,0,0,0,0,0,0
1.9468,,,0,0,0,0,0,0,0
1.9804,,,0,0,0,0,0,0,0
2.0165,,,0,0,0,0,0,0,0
2.0527,,,0,0,0,0,0,0,0
2.0844,,,0,0,0,0,0,0,0
2.1168,,,0,0,0,0,0,0,0
2.1527,,,0,0,0,0,0,0,0
2.1889,,,0,0,0,0,0,0,0
2.2206,,,0,0,0,0,0,0,0
2.2554,,,0,0,0,0,0,0,0
2.2893,,,0,0,0,0,0,0,0
2.3215,,,0,0,0,0,0,0,0
2.3551,,,0,0,0,0,0,0,0
2.3895,,,0,0,0,0,0,0,0
2.4208,,,0,0,0,0,0,0,0
2.457,,,0,0,0,0,0,0,0
2.4933,,,0,0,0,0,0,0,0
2.5295,,,0,0,0,0,0,0,0
2.5622,,,0,0,0,0,0,0,0
2.5983,,,0,0,0,0,0,0,0
2.6345,,,0,0,0,0,0,0,0
2.6693,,,0,0,0,0,0,0,0
2.7055,,,0,0,0,0,0,0,0
2.7378,,,0,0,0,0,0,0,0
2.7717,,,0,0,0,0,0,0,0
2.8071,,,0,0,0,0,0,0,0
2.8405,,,0,0,0,0,0,0,0
2.8717,,,0,0,0,0,0,0,0
2.9077,,,0,0,0,0,0,0,0
2.9438,,,0,0,0,0,0,0,0
2.9798,,,1,0,1,0,0,0,0
3.0158,,,1,0,0,1,0,0,0
3.052,,,20,0,7,5,7,0,1
3.0881,,,30,1,20,1,8,0,0
3.1244,,,15,0,12,0,0,2,1
3.1605,,,12,1,7,1,1,1,1
3.1967,,,13,1,8,1,2,1,0
3.2329,,,13,0,8,1,0,3,1
3.2691,,,14,1,8,1,0,3,1
3.3053,,,14,0,7,1,1,5,0
3.3416,,,17,1,7,1,2,5,1
3.3778,,,15,1,8,1,1,4,0
3.4139,,,15,0,10,1,0,3,1
3.4467,,,12,0,7,1,1,2,1
3.4829,,,12,1,8,1,1,0,1
3.5185,,,10,1,8,1,0,0,0
3.5542,,,8,1,7,0,0,0,0
3.5904,,,11,1,8,1,1,0,0
3.6256,,,12,1,9,1,1,0,0
3.6577,,,13,1,10,1,1,0,0
3.6937,,,4,1,0,1,1,0,1
3.7299,,,2,0,0,1,0,0,1
3.7655,,,5,1,1,1,1,0,1
3.801,,,4,1,1,1,1,0,0
3.8372,,,4,1,1,0,1,0,1
3.8734,,,2,1,1,0,0,0,0
3.9055,,,2,1,1,0,0,0,0
3.9377,,,4,1,1,1,1,0,0
3.9703,,,3,1,1,1,0,0,0
4.0065,,,3,1,1,1,0,0,0
4.0421,,,2,0,1,0,1,0,0
4.0763,,,3,1,1,1,0,0,0
4.1097,,,4,1,1,1,1,0,0
4.1459,,,5,1,1,1,1,0,1
4.1822,,,2,0,2,0,0,0,0
4.2183,,,4,1,2,0,1,0,0
4.2545,,,5,1,1,1,1,1,0
4.2907,,,4,1,1,1,0,1,0
4.3256,,,4,0,1,1,1,0,1
4.3618,,,6,1,1,1,1,1,1
4.3979,,,4,1,1,1,1,0,0
4.4342,,,3,0,1,1,0,0,1
4.4704,,,5,1,1,1,1,0,1
4.5051,,,5,1,1,1,1,0,1
4.5377,,,4,1,1,1,1,0,0
4.5717,,,5,1,1,1,1,0,1
4.6079,,,4,1,1,1,0,0,1
4.644,,,4,1,1,0,1,0,1
4.6802,,,3,0,1,1,1,0,0
4.7165,,,4,0,1,1,1,0,1
4.7524,,,4,1,1,1,1,0,0
4.7884,,,2,0,1,0,0,0,1
4.8203,,,4,1,1,1,1,0,0
4.8565,,,5,1,1,1,1,0,1
4.8883,,,4,0,1,1,1,0,1
4.9245,,,6,1,1,1,1,1,1
4.9607,,,5,1,1,1,1,0,1
4.9969,,,3,0,1,1,0,0,1
5.0325,,,5,1,1,1,1,0,1
5.0643,,,3,1,1,1,0,0,0
5.0963,,,4,1,1,1,1,0,0
5.1314,,,4,1,1,1,0,0,1
5.1634,,,5,1,2,1,1,0,0
5.1967,,,4,1,1,1,1,0,0
5.2329,,,5,1,1,1,1,0,1
5.2656,,,5,1,1,1,1,0,1
5.3019,,,4,1,1,1,1,0,0
5.3347,,,5,1,2,1,1,0,0
5.3708,,,4,0,1,1,1,1,0
5.4062,,,3,1,1,0,1,0,0
