t_s,vdd_in_mV,vdd_in_mA,servo_current_sum_raw,left.elbow_flex,left.gripper,left.shoulder_lift,left.shoulder_pan,left.wrist_flex,left.wrist_roll
0.0,,,0,0,0,0,0,0,0
0.0312,,,0,0,0,0,0,0,0
0.0674,,,0,0,0,0,0,0,0
0.1035,,,1,0,1,0,0,0,0
0.1395,,,0,0,0,0,0,0,0
0.1717,,,0,0,0,0,0,0,0
0.2051,,,0,0,0,0,0,0,0
0.2384,,,0,0,0,0,0,0,0
0.2717,,,0,0,0,0,0,0,0
0.3062,,,0,0,0,0,0,0,0
0.3426,,,0,0,0,0,0,0,0
0.3791,,,0,0,0,0,0,0,0
0.4126,,,0,0,0,0,0,0,0
0.4482,,,0,0,0,0,0,0,0
0.48,,,0,0,0,0,0,0,0
0.5165,,,0,0,0,0,0,0,0
0.5529,,,0,0,0,0,0,0,0
0.5884,,,0,0,0,0,0,0,0
0.6225,,,0,0,0,0,0,0,0
0.6584,,,0,,,,,,
1.3251,,,0,,,,,,
1.9883,,,0,0,0,0,0,0,0
2.1632,,,0,0,0,0,0,0,0
2.1967,,,0,0,0,0,0,0,0
2.2327,,,0,0,0,0,0,0,0
2.2688,,,0,0,0,0,0,0,0
2.3048,,,0,0,0,0,0,0,0
2.3409,,,0,0,0,0,0,0,0
2.3771,,,0,0,0,0,0,0,0
2.4133,,,0,0,0,0,0,0,0
2.4463,,,0,0,0,0,0,0,0
2.48,,,0,0,0,0,0,0,0
2.5133,,,0,0,0,0,0,0,0
2.5456,,,0,0,0,0,0,0,0
2.5811,,,0,0,0,0,0,0,0
2.6173,,,0,0,0,0,0,0,0
2.6536,,,0,0,0,0,0,0,0
2.6894,,,0,0,0,0,0,0,0
2.7216,,,0,0,0,0,0,0,0
2.7559,,,0,0,0,0,0,0,0
2.7921,,,0,0,0,0,0,0,0
2.8284,,,0,0,0,0,0,0,0
2.8633,,,0,0,0,0,0,0,0
2.8994,,,0,0,0,0,0,0,0
2.9355,,,1,1,0,0,0,0,0
2.9716,,,0,0,0,0,0,0,0
3.0077,,,0,0,0,0,0,0,0
3.0399,,,5,0,2,0,2,0,1
3.0761,,,5,1,1,1,1,0,1
3.1087,,,3,0,2,0,0,0,1
3.1411,,,3,0,1,0,1,0,1
3.1772,,,3,0,0,1,1,0,1
3.2124,,,3,1,1,0,1,0,0
3.2486,,,4,0,1,1,1,0,1
3.2849,,,3,0,1,0,1,0,1
3.3211,,,2,0,0,1,1,0,0
3.3574,,,3,0,0,1,1,0,1
3.3904,,,4,1,0,1,1,0,1
3.4261,,,3,0,1,1,1,0,0
3.4597,,,1,0,1,0,0,0,0
3.4919,,,2,0,1,0,1,0,0
3.5261,,,5,1,1,1,1,0,1
3.5623,,,2,0,0,0,1,0,1
3.5981,,,3,0,1,0,1,0,1
3.6345,,,2,0,1,0,0,0,1
3.6707,,,2,0,0,1,1,0,0
3.707,,,2,1,1,0,0,0,0
3.7425,,,4,0,1,1,1,0,1
3.7787,,,2,0,1,0,0,0,1
3.8149,,,3,1,0,1,1,0,0
3.8504,,,4,0,1,1,1,0,1
3.885,,,3,1,1,1,0,0,0
3.9168,,,3,1,0,1,1,0,0
3.9514,,,4,1,1,0,1,0,1
3.9871,,,1,0,1,0,0,0,0
4.0216,,,4,0,1,1,1,0,1
4.0568,,,3,0,1,1,0,0,1
4.0907,,,3,1,1,0,1,0,0
4.1266,,,1,0,1,0,0,0,0
4.1615,,,2,0,1,0,1,0,0
4.1973,,,3,0,0,1,1,0,1
4.2337,,,2,0,1,1,0,0,0
4.2692,,,2,1,1,0,0,0,0
4.3055,,,2,1,1,0,0,0,0
4.3412,,,4,1,1,1,0,0,1
4.3734,,,4,0,1,1,1,0,1
4.4053,,,2,0,0,0,1,0,1
4.4383,,,3,0,1,0,1,0,1
4.4746,,,1,0,1,0,0,0,0
4.5098,,,0,,,,,,
5.1741,,,0,0,0,0,0,0,0
5.4411,,,0,0,0,0,0,0,0
5.4771,,,0,0,0,0,0,0,0
5.51,,,1,0,0,0,1,0,0
5.5457,,,0,0,0,0,0,0,0
5.5818,,,0,0,0,0,0,0,0
5.6176,,,0,0,0,0,0,0,0
5.6493,,,0,0,0,0,0,0,0
5.6819,,,0,0,0,0,0,0,0
5.717,,,0,0,0,0,0,0,0
5.7534,,,0,0,0,0,0,0,0
5.7849,,,0,0,0,0,0,0,0
5.8207,,,0,0,0,0,0,0,0
5.8549,,,0,0,0,0,0,0,0
5.8904,,,0,0,0,0,0,0,0
5.9267,,,0,0,0,0,0,0,0
5.9629,,,0,0,0,0,0,0,0
5.9952,,,0,0,0,0,0,0,0
6.0289,,,5,1,2,1,0,1,0
