elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
0.0374,2026-08-28T03:27:30.842698+00:00,5072,632,0,idle
0.0392,2026-08-28T03:27:30.844385+00:00,5072,632,0,idle
0.0406,2026-08-28T03:27:30.845773+00:00,5072,632,0,idle
0.0420,2026-08-28T03:27:30.847167+00:00,5072,632,0,idle
0.0433,2026-08-28T03:27:30.848552+00:00,5072,632,0,idle
0.0447,2026-08-28T03:27:30.849928+00:00,5072,632,0,idle
0.0460,2026-08-28T03:27:30.851238+00:00,5072,640,0,idle
0.0473,2026-08-28T03:27:30.852506+00:00,5072,640,0,idle
0.0486,2026-08-28T03:27:30.853769+00:00,5072,640,0,idle
0.0498,2026-08-28T03:27:30.855027+00:00,5072,640,0,idle
0.0511,2026-08-28T03:27:30.856290+00:00,5072,640,0,idle
0.0523,2026-08-28T03:27:30.857558+00:00,5072,640,0,idle
0.0536,2026-08-28T03:27:30.858822+00:00,5072,640,0,idle
0.0558,2026-08-28T03:27:30.860999+00:00,5072,640,0,idle
0.0572,2026-08-28T03:27:30.862433+00:00,5072,640,0,idle
0.0587,2026-08-28T03:27:30.863945+00:00,5072,640,0,idle
0.0602,2026-08-28T03:27:30.865433+00:00,5072,640,0,idle
0.0617,2026-08-28T03:27:30.866897+00:00,5072,640,0,idle
0.0635,2026-08-28T03:27:30.868674+00:00,5072,648,0,idle
0.0648,2026-08-28T03:27:30.870062+00:00,5072,648,0,idle
0.0663,2026-08-28T03:27:30.871464+00:00,5072,648,0,idle
0.0676,2026-08-28T03:27:30.872838+00:00,5072,648,0,idle
0.0690,2026-08-28T03:27:30.874210+00:00,5072,648,0,idle
0.0704,2026-08-28T03:27:30.875586+00:00,5072,648,0,idle
0.0717,2026-08-28T03:27:30.876962+00:00,5072,648,0,idle
0.0731,2026-08-28T03:27:30.878306+00:00,5072,648,0,idle
0.0744,2026-08-28T03:27:30.879570+00:00,5072,648,0,idle
0.0756,2026-08-28T03:27:30.880835+00:00,5072,648,0,idle
0.0769,2026-08-28T03:27:30.882096+00:00,5072,648,0,idle
0.0782,2026-08-28T03:27:30.883370+00:00,5072,648,0,idle
