elapsed_s,phase,arms_ma,head_ma,total_ma
0.003,simultaneous_pose,6.5,0.0,6.5
0.006,simultaneous_pose,0.0,0.0,0.0
0.009,simultaneous_pose,0.0,0.0,0.0
0.012,simultaneous_pose,0.0,0.0,0.0
0.014,simultaneous_pose,0.0,0.0,0.0
0.017,simultaneous_pose,0.0,0.0,0.0
0.019,simultaneous_pose,13.0,6.5,19.5
0.022,simultaneous_pose,13.0,0.0,13.0
0.025,simultaneous_pose,19.5,0.0,19.5
0.028,simultaneous_pose,19.5,0.0,19.5
0.031,simultaneous_pose,19.5,0.0,19.5
0.033,simultaneous_pose,32.5,0.0,32.5
0.036,simultaneous_pose,58.5,0.0,58.5
0.039,simultaneous_pose,65.0,0.0,65.0
0.042,simultaneous_pose,65.0,0.0,65.0
0.044,simultaneous_pose,65.0,0.0,65.0
0.047,simultaneous_pose,84.5,0.0,84.5
0.05,simultaneous_pose,84.5,0.0,84.5
0.053,simultaneous_pose,97.5,0.0,97.5
0.055,simultaneous_pose,97.5,0.0,97.5
0.058,simultaneous_pose,110.5,0.0,110.5
0.061,simultaneous_pose,104.0,0.0,104.0
0.064,simultaneous_pose,117.0,0.0,117.0
0.067,simultaneous_pose,117.0,0.0,117.0
0.069,simultaneous_pose,130.0,0.0,130.0
0.072,simultaneous_pose,143.0,0.0,143.0
0.074,simultaneous_pose,136.5,0.0,136.5
0.077,simultaneous_pose,136.5,0.0,136.5
0.08,simultaneous_pose,117.0,0.0,117.0
0.083,simultaneous_pose,117.0,0.0,117.0
0.085,simultaneous_pose,149.5,0.0,149.5
0.088,simultaneous_pose,169.0,0.0,169.0
0.09,simultaneous_pose,136.5,0.0,136.5
0.093,simultaneous_pose,149.5,0.0,149.5
0.096,simultaneous_pose,162.5,0.0,162.5
0.098,simultaneous_pose,169.0,0.0,169.0
0.101,simultaneous_pose,162.5,0.0,162.5
0.104,simultaneous_pose,188.5,0.0,188.5
0.106,simultaneous_pose,169.0,0.0,169.0
0.109,simultaneous_pose,162.5,0.0,162.5
0.112,simultaneous_pose,156.0,0.0,156.0
0.114,simultaneous_pose,175.5,0.0,175.5
0.117,simultaneous_pose,195.0,0.0,195.0
0.12,simultaneous_pose,162.5,0.0,162.5
0.122,simultaneous_pose,188.5,0.0,188.5
0.125,simultaneous_pose,169.0,0.0,169.0
0.128,simultaneous_pose,188.5,0.0,188.5
0.13,simultaneous_pose,214.5,0.0,214.5
0.133,simultaneous_pose,195.0,0.0,195.0
0.136,simultaneous_pose,214.5,0.0,214.5
0.138,simultaneous_pose,240.5,0.0,240.5
0.141,simultaneous_pose,227.5,0.0,227.5
0.143,simultaneous_pose,201.5,0.0,201.5
0.146,simultaneous_pose,227.5,0.0,227.5
0.149,simultaneous_pose,253.5,0.0,253.5
0.151,simultaneous_pose,234.0,6.5,240.5
0.154,simultaneous_pose,260.0,0.0,260.0
0.157,simultaneous_pose,201.5,0.0,201.5
0.159,simultaneous_pose,208.0,0.0,208.0
0.162,simultaneous_pose,240.5,0.0,240.5
0.164,simultaneous_pose,234.0,0.0,234.0
0.167,simultaneous_pose,247.0,6.5,253.5
0.17,simultaneous_pose,240.5,0.0,240.5
0.172,simultaneous_pose,214.5,0.0,214.5
0.175,simultaneous_pose,221.0,0.0,221.0
0.178,simultaneous_pose,227.5,6.5,234.0
0.18,simultaneous_pose,286.0,0.0,286.0
0.183,simultaneous_pose,318.5,0.0,318.5
0.185,simultaneous_pose,253.5,0.0,253.5
0.188,simultaneous_pose,253.5,6.5,260.0
0.191,simultaneous_pose,266.5,0.0,266.5
0.193,simultaneous_pose,260.0,0.0,260.0
0.196,simultaneous_pose,273.0,6.5,279.5
0.198,simultaneous_pose,305.5,0.0,305.5
0.201,simultaneous_pose,240.5,6.5,247.0
0.203,simultaneous_pose,253.5,6.5,260.0
0.206,simultaneous_pose,305.5,0.0,305.5
0.209,simultaneous_pose,299.0,0.0,299.0
0.211,simultaneous_pose,312.0,0.0,312.0
0.214,simultaneous_pose,240.5,0.0,240.5
0.216,simultaneous_pose,266.5,0.0,266.5
0.219,simultaneous_pose,266.5,0.0,266.5
0.221,simultaneous_pose,286.0,0.0,286.0
0.224,simultaneous_pose,364.0,6.5,370.5
0.227,simultaneous_pose,292.5,0.0,292.5
0.229,simultaneous_pose,318.5,0.0,318.5
0.232,simultaneous_pose,331.5,0.0,331.5
0.234,simultaneous_pose,331.5,0.0,331.5
0.237,simultaneous_pose,299.0,0.0,299.0
0.24,simultaneous_pose,292.5,0.0,292.5
0.242,simultaneous_pose,279.5,0.0,279.5
0.245,simultaneous_pose,312.0,0.0,312.0
0.247,simultaneous_pose,312.0,6.5,318.5
0.25,simultaneous_pose,299.0,0.0,299.0
0.253,simultaneous_pose,286.0,0.0,286.0
0.255,simultaneous_pose,312.0,0.0,312.0
0.258,simultaneous_pose,318.5,0.0,318.5
0.26,simultaneous_pose,344.5,0.0,344.5
0.263,simultaneous_pose,331.5,0.0,331.5
0.265,simultaneous_pose,331.5,0.0,331.5
0.268,simultaneous_pose,357.5,0.0,357.5
0.27,simultaneous_pose,364.0,0.0,364.0
0.273,simultaneous_pose,325.0,0.0,325.0
0.276,simultaneous_pose,344.5,0.0,344.5
0.278,simultaneous_pose,331.5,0.0,331.5
0.281,simultaneous_pose,364.0,0.0,364.0
0.284,simultaneous_pose,338.0,0.0,338.0
0.286,simultaneous_pose,338.0,0.0,338.0
0.289,simultaneous_pose,357.5,0.0,357.5
0.291,simultaneous_pose,364.0,0.0,364.0
0.294,simultaneous_pose,338.0,0.0,338.0
0.296,simultaneous_pose,403.0,0.0,403.0
0.299,simultaneous_pose,344.5,0.0,344.5
0.302,simultaneous_pose,364.0,0.0,364.0
0.304,simultaneous_pose,364.0,0.0,364.0
0.307,simultaneous_pose,390.0,0.0,390.0
0.309,simultaneous_pose,344.5,6.5,351.0
0.312,simultaneous_pose,383.5,0.0,383.5
0.315,simultaneous_pose,377.0,0.0,377.0
0.317,simultaneous_pose,377.0,0.0,377.0
0.32,simultaneous_pose,390.0,0.0,390.0
0.322,simultaneous_pose,383.5,0.0,383.5
0.325,simultaneous_pose,429.0,0.0,429.0
0.327,simultaneous_pose,383.5,0.0,383.5
0.33,simultaneous_pose,390.0,0.0,390.0
0.333,simultaneous_pose,364.0,0.0,364.0
0.335,simultaneous_pose,338.0,0.0,338.0
0.338,simultaneous_pose,351.0,0.0,351.0
0.34,simultaneous_pose,383.5,0.0,383.5
0.343,simultaneous_pose,370.5,0.0,370.5
0.346,simultaneous_pose,390.0,6.5,396.5
0.348,simultaneous_pose,364.0,6.5,370.5
0.351,simultaneous_pose,377.0,0.0,377.0
0.354,simultaneous_pose,351.0,6.5,357.5
0.356,simultaneous_pose,396.5,0.0,396.5
0.359,simultaneous_pose,390.0,0.0,390.0
0.361,simultaneous_pose,377.0,0.0,377.0
0.364,simultaneous_pose,370.5,0.0,370.5
0.367,simultaneous_pose,383.5,0.0,383.5
0.369,simultaneous_pose,370.5,0.0,370.5
0.372,simultaneous_pose,409.5,0.0,409.5
0.375,simultaneous_pose,351.0,0.0,351.0
0.377,simultaneous_pose,351.0,0.0,351.0
0.38,simultaneous_pose,364.0,0.0,364.0
0.382,simultaneous_pose,344.5,0.0,344.5
0.385,simultaneous_pose,344.5,0.0,344.5
0.387,simultaneous_pose,370.5,0.0,370.5
0.39,simultaneous_pose,325.0,0.0,325.0
0.393,simultaneous_pose,312.0,0.0,312.0
0.395,simultaneous_pose,299.0,0.0,299.0
0.398,simultaneous_pose,325.0,0.0,325.0
0.4,simultaneous_pose,318.5,0.0,318.5
0.403,simultaneous_pose,312.0,0.0,312.0
0.406,simultaneous_pose,318.5,0.0,318.5
0.408,simultaneous_pose,299.0,0.0,299.0
0.411,simultaneous_pose,305.5,0.0,305.5
0.413,simultaneous_pose,292.5,0.0,292.5
0.416,simultaneous_pose,286.0,0.0,286.0
0.418,simultaneous_pose,279.5,0.0,279.5
0.421,simultaneous_pose,299.0,6.5,305.5
0.424,simultaneous_pose,299.0,0.0,299.0
0.426,simultaneous_pose,286.0,6.5,292.5
0.429,simultaneous_pose,299.0,0.0,299.0
0.431,simultaneous_pose,286.0,0.0,286.0
0.434,simultaneous_pose,273.0,0.0,273.0
0.436,simultaneous_pose,260.0,0.0,260.0
0.439,simultaneous_pose,247.0,0.0,247.0
0.442,simultaneous_pose,279.5,6.5,286.0
0.444,simultaneous_pose,286.0,0.0,286.0
0.447,simultaneous_pose,299.0,0.0,299.0
0.449,simultaneous_pose,305.5,0.0,305.5
