elapsed_s,timestamp,millivolts,milliamps,active_motors,phase
0.0385,2026-08-28T03:50:42.564808+00:00,5072,648,0,idle
0.0404,2026-08-28T03:50:42.566680+00:00,5072,648,0,idle
0.0418,2026-08-28T03:50:42.568114+00:00,5072,648,0,idle
0.0432,2026-08-28T03:50:42.569502+00:00,5072,648,0,idle
0.0451,2026-08-28T03:50:42.571379+00:00,5072,648,0,idle
0.0481,2026-08-28T03:50:42.574430+00:00,5072,648,0,idle
0.0495,2026-08-28T03:50:42.575838+00:00,5072,648,0,idle
0.0509,2026-08-28T03:50:42.577222+00:00,5072,648,0,idle
0.0523,2026-08-28T03:50:42.578601+00:00,5072,648,0,idle
0.0537,2026-08-28T03:50:42.579988+00:00,5072,656,0,idle
0.0551,2026-08-28T03:50:42.581374+00:00,5072,656,0,idle
0.0565,2026-08-28T03:50:42.582845+00:00,5072,656,0,idle
0.0580,2026-08-28T03:50:42.584267+00:00,5072,656,0,idle
0.0593,2026-08-28T03:50:42.585567+00:00,5072,656,0,idle
0.0605,2026-08-28T03:50:42.586839+00:00,5072,656,0,idle
0.0618,2026-08-28T03:50:42.588111+00:00,5072,656,0,idle
0.0631,2026-08-28T03:50:42.589375+00:00,5072,656,0,idle
0.0643,2026-08-28T03:50:42.590633+00:00,5072,656,0,idle
0.0656,2026-08-28T03:50:42.591893+00:00,5072,656,0,idle
0.0669,2026-08-28T03:50:42.593153+00:00,5072,656,0,idle
0.0683,2026-08-28T03:50:42.594629+00:00,5072,656,0,idle
0.0698,2026-08-28T03:50:42.596132+00:00,5072,656,0,idle
0.0713,2026-08-28T03:50:42.597598+00:00,5072,656,0,idle
0.0728,2026-08-28T03:50:42.599066+00:00,5072,656,0,idle
0.0742,2026-08-28T03:50:42.600541+00:00,5072,656,0,idle
0.0758,2026-08-28T03:50:42.602078+00:00,5072,656,0,idle
0.0771,2026-08-28T03:50:42.603364+00:00,5072,656,0,idle
0.0783,2026-08-28T03:50:42.604630+00:00,5072,656,0,idle
0.0796,2026-08-28T03:50:42.605893+00:00,5072,664,0,idle
0.0809,2026-08-28T03:50:42.607155+00:00,5072,664,0,idle
0.0821,2026-08-28T03:50:42.608424+00:00,5072,664,0,idle
0.0834,2026-08-28T03:50:42.609686+00:00,5072,664,0,idle
0.0846,2026-08-28T03:50:42.610941+00:00,5072,664,0,idle
0.0861,2026-08-28T03:50:42.612410+00:00,5072,664,0,idle
0.0876,2026-08-28T03:50:42.613874+00:00,5072,664,0,idle
0.0890,2026-08-28T03:50:42.615345+00:00,5072,664,0,idle
0.0905,2026-08-28T03:50:42.616821+00:00,5072,664,0,idle
0.0920,2026-08-28T03:50:42.618290+00:00,5072,664,0,idle
0.0935,2026-08-28T03:50:42.619772+00:00,5072,664,0,idle
0.0949,2026-08-28T03:50:42.621168+00:00,5072,664,0,idle
0.0961,2026-08-28T03:50:42.622428+00:00,5072,664,0,idle
0.0974,2026-08-28T03:50:42.623693+00:00,5072,664,0,idle
0.0987,2026-08-28T03:50:42.624954+00:00,5072,664,0,idle
0.0999,2026-08-28T03:50:42.626210+00:00,5072,672,0,idle
0.1012,2026-08-28T03:50:42.627469+00:00,5072,672,0,idle
0.1024,2026-08-28T03:50:42.628731+00:00,5072,672,0,idle
0.1037,2026-08-28T03:50:42.630023+00:00,5072,672,0,idle
0.1052,2026-08-28T03:50:42.631518+00:00,5072,672,0,idle
0.1067,2026-08-28T03:50:42.632992+00:00,5072,672,0,idle
0.1082,2026-08-28T03:50:42.634458+00:00,5072,672,0,idle
0.1096,2026-08-28T03:50:42.635931+00:00,5072,672,0,idle
0.1111,2026-08-28T03:50:42.637410+00:00,5072,672,0,idle
0.1124,2026-08-28T03:50:42.638718+00:00,5072,672,0,idle
0.1137,2026-08-28T03:50:42.639986+00:00,5072,672,0,idle
0.1149,2026-08-28T03:50:42.641248+00:00,5072,672,0,idle
0.1162,2026-08-28T03:50:42.642510+00:00,5072,672,0,idle
0.1175,2026-08-28T03:50:42.643773+00:00,5072,672,0,idle
0.1187,2026-08-28T03:50:42.645037+00:00,5072,672,0,idle
0.1200,2026-08-28T03:50:42.646301+00:00,5072,672,0,idle
0.1214,2026-08-28T03:50:42.647679+00:00,5072,672,0,idle
0.1229,2026-08-28T03:50:42.649158+00:00,5072,672,0,idle
0.1243,2026-08-28T03:50:42.650626+00:00,5072,680,0,idle
0.1258,2026-08-28T03:50:42.652119+00:00,5072,680,0,idle
0.1273,2026-08-28T03:50:42.653596+00:00,5072,680,0,idle
0.1287,2026-08-28T03:50:42.655010+00:00,5072,680,0,idle
0.1300,2026-08-28T03:50:42.656279+00:00,5072,680,0,idle
0.1312,2026-08-28T03:50:42.657540+00:00,5072,680,0,idle
0.1325,2026-08-28T03:50:42.658802+00:00,5072,680,0,idle
0.1338,2026-08-28T03:50:42.660067+00:00,5072,680,0,idle
0.1350,2026-08-28T03:50:42.661328+00:00,5072,680,0,idle
0.1363,2026-08-28T03:50:42.662606+00:00,5072,680,0,idle
0.1376,2026-08-28T03:50:42.663887+00:00,5072,680,0,idle
0.1390,2026-08-28T03:50:42.665352+00:00,5072,680,0,idle
0.1405,2026-08-28T03:50:42.666831+00:00,5072,680,0,idle
0.1420,2026-08-28T03:50:42.668305+00:00,5072,680,0,idle
0.1435,2026-08-28T03:50:42.669772+00:00,5072,680,0,idle
0.1449,2026-08-28T03:50:42.671243+00:00,5072,680,0,idle
0.1464,2026-08-28T03:50:42.672718+00:00,5072,680,0,idle
0.1478,2026-08-28T03:50:42.674111+00:00,5072,680,0,idle
0.1491,2026-08-28T03:50:42.675384+00:00,5072,680,0,idle
0.1503,2026-08-28T03:50:42.676643+00:00,5072,688,0,idle
0.1516,2026-08-28T03:50:42.677898+00:00,5072,688,0,idle
0.1529,2026-08-28T03:50:42.679159+00:00,5072,688,0,idle
0.1541,2026-08-28T03:50:42.680425+00:00,5072,688,0,idle
0.1554,2026-08-28T03:50:42.681686+00:00,5072,688,0,idle
0.1567,2026-08-28T03:50:42.683026+00:00,5072,688,0,idle
0.1582,2026-08-28T03:50:42.684490+00:00,5072,688,0,idle
0.1597,2026-08-28T03:50:42.685955+00:00,5072,688,0,idle
0.1612,2026-08-28T03:50:42.687457+00:00,5072,688,0,idle
0.1626,2026-08-28T03:50:42.688927+00:00,5072,688,0,idle
0.1641,2026-08-28T03:50:42.690377+00:00,5072,688,0,idle
0.1654,2026-08-28T03:50:42.691717+00:00,5072,688,0,idle
0.1667,2026-08-28T03:50:42.692976+00:00,5072,688,0,idle
