You have video processor config saved in `preprocessor.json` file which is deprecated. Video processor configs should be saved in their own `video_preprocessor.json` file. You can rename the file or load and save the processor back which renames it automatically. Loading from `preprocessor.json` will be removed in v5.0.
[12:40:04] Device: cuda
[12:40:04] Loading 'rlodhi/smolvla_screw_picking_5000' …
Reducing the number of VLM layers to 16 ...
[12:40:36] Policy ready on cuda (fp16)
[12:40:36] chunk_size=50, n_action_steps=50, num_steps=2
[12:40:36] resize_imgs=(512, 512)
[12:40:36] Image keys : ['observation.images.base', 'observation.images.wrist']
[12:40:36] Action dim : 6
[12:40:36] Task       : 'pick up the object and place it in the box'
[12:40:36] Camera /dev/video2 opened at 424×240
[12:40:36] SW resize   : 424×240 → 320×240

[12:40:36] Warming up for 5 steps, then benchmarking for 60s …

[12:40:37] #    1 [warm ] e2e=  993.2ms  infer=  974.7ms  cap= 13.7ms
[12:40:37] #    2 [warm ] e2e=  409.8ms  infer=  407.0ms  cap=  2.6ms
[12:40:38] #    3 [warm ] e2e=  383.8ms  infer=  380.6ms  cap=  2.9ms
[12:40:38] #    4 [warm ] e2e=  371.0ms  infer=  368.9ms  cap=  2.0ms
[12:40:39] #    5 [warm ] e2e=  358.9ms  infer=  356.1ms  cap=  2.6ms
[12:40:39] #    6 [bench] e2e=  357.4ms  infer=  355.1ms  cap=  2.1ms
[12:40:39] #    7 [bench] e2e=  357.4ms  infer=  355.2ms  cap=  2.0ms
[12:40:40] #    8 [bench] e2e=  363.8ms  infer=  361.7ms  cap=  2.0ms
[12:40:40] #    9 [bench] e2e=  359.6ms  infer=  357.1ms  cap=  2.4ms
[12:40:40] #   10 [bench] e2e=  358.0ms  infer=  356.4ms  cap=  1.5ms
[12:40:41] #   11 [bench] e2e=  364.4ms  infer=  361.6ms  cap=  2.7ms
[12:40:41] #   12 [bench] e2e=  359.5ms  infer=  357.0ms  cap=  2.3ms
[12:40:41] #   13 [bench] e2e=  360.6ms  infer=  357.1ms  cap=  3.3ms
[12:40:42] #   14 [bench] e2e=  364.4ms  infer=  361.0ms  cap=  3.2ms
[12:40:42] #   15 [bench] e2e=  362.9ms  infer=  360.3ms  cap=  2.4ms
[12:40:43] #   16 [bench] e2e=  360.8ms  infer=  357.4ms  cap=  3.1ms
[12:40:43] #   17 [bench] e2e=  358.0ms  infer=  354.7ms  cap=  3.0ms
[12:40:43] #   18 [bench] e2e=  366.1ms  infer=  362.5ms  cap=  3.5ms
[12:40:44] #   19 [bench] e2e=  363.0ms  infer=  359.8ms  cap=  3.0ms
[12:40:44] #   20 [bench] e2e=  359.4ms  infer=  356.7ms  cap=  2.5ms
[12:40:44] #   21 [bench] e2e=  356.9ms  infer=  354.2ms  cap=  2.5ms
[12:40:45] #   22 [bench] e2e=  366.0ms  infer=  363.4ms  cap=  2.5ms
[12:40:45] #   23 [bench] e2e=  358.5ms  infer=  356.0ms  cap=  2.4ms
[12:40:45] #   24 [bench] e2e=  358.8ms  infer=  354.9ms  cap=  3.7ms
[12:40:46] #   25 [bench] e2e=  367.3ms  infer=  364.2ms  cap=  3.0ms

  [live] after 20 bench steps — e2e mean=361.1ms  |  max replan freq=2.77 Hz  |  max control freq=138.45 Hz (n_action_steps=50)

[12:40:46] #   26 [bench] e2e=  365.5ms  infer=  362.5ms  cap=  2.8ms
[12:40:47] #   27 [bench] e2e=  362.1ms  infer=  359.2ms  cap=  2.7ms
[12:40:47] #   28 [bench] e2e=  359.1ms  infer=  355.9ms  cap=  3.0ms
[12:40:47] #   29 [bench] e2e=  355.3ms  infer=  352.6ms  cap=  2.5ms
[12:40:48] #   30 [bench] e2e=  363.3ms  infer=  360.7ms  cap=  2.5ms
[12:40:48] #   31 [bench] e2e=  362.0ms  infer=  359.1ms  cap=  2.7ms
[12:40:48] #   32 [bench] e2e=  360.9ms  infer=  357.4ms  cap=  3.4ms
[12:40:49] #   33 [bench] e2e=  357.0ms  infer=  353.7ms  cap=  3.1ms
[12:40:49] #   34 [bench] e2e=  365.1ms  infer=  361.8ms  cap=  3.2ms
[12:40:49] #   35 [bench] e2e=  361.4ms  infer=  358.3ms  cap=  2.9ms
[12:40:50] #   36 [bench] e2e=  359.0ms  infer=  355.9ms  cap=  2.9ms
[12:40:50] #   37 [bench] e2e=  358.8ms  infer=  354.2ms  cap=  4.4ms
[12:40:50] #   38 [bench] e2e=  365.4ms  infer=  361.5ms  cap=  3.8ms
