elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-04T18:56:01.759181+00:00,51.281,51.218,51.281,50.562,0,306,1020,,7440,1597,3274,1660,32.0,1728
2.0,2026-08-04T18:56:02.762846+00:00,51.343,51.187,51.343,50.593,0,306,1020,,7440,1597,3274,1695,16.7,1728
3.0,2026-08-04T18:56:03.768171+00:00,51.375,51.031,51.375,50.812,0,306,1020,,7440,1557,3314,1737,17.0,1728
4.0,2026-08-04T18:56:04.773722+00:00,51.812,51.062,51.812,50.843,0,306,1020,,7480,1517,3314,1780,16.7,1728
5.0,2026-08-04T18:56:05.778951+00:00,51.781,51.156,51.781,50.937,0,306,1020,,7440,1557,3274,1818,16.8,1728
6.0,2026-08-04T18:56:06.784295+00:00,51.781,51.218,51.781,50.75,0,306,1020,,7360,1557,3274,1827,16.8,1728
7.1,2026-08-04T18:56:07.789487+00:00,51.843,51.343,51.843,50.843,0,306,1020,,7560,1677,3274,1848,22.3,1728
8.1,2026-08-04T18:56:08.798943+00:00,51.906,51,51.906,51.062,0,306,1020,,7028,1238,3234,1865,14.5,729
9.1,2026-08-04T18:56:09.804161+00:00,51.593,50.75,51.593,50.968,0,306,1020,,6469,1078,3035,1865,7.8,729
10.1,2026-08-04T18:56:10.809523+00:00,51.718,51.687,51.718,50.937,0,306,1020,,7320,1557,3234,2094,16.7,1728
11.1,2026-08-04T18:56:11.814998+00:00,51.687,51.531,51.687,51,0,306,1020,,7240,1477,3234,2191,16.7,1728
12.1,2026-08-04T18:56:12.820103+00:00,51.781,51.437,51.781,51.031,0,306,1020,,7160,1397,3234,2204,16.8,1728
13.1,2026-08-04T18:56:13.825495+00:00,51.843,51.468,51.843,51.031,0,306,1020,,7320,1557,3234,2453,16.8,1728
14.1,2026-08-04T18:56:14.831123+00:00,51.937,51.5,51.937,51.093,0,306,1020,,7308,1597,3234,2705,16.7,1728
15.1,2026-08-04T18:56:15.836423+00:00,52,51.781,51.781,51.25,0,306,1020,,7400,1597,3234,2890,16.7,1728
16.1,2026-08-04T18:56:16.841715+00:00,51.781,51.625,51.781,51.187,0,306,1020,,7108,1397,3234,2890,16.8,1728
17.1,2026-08-04T18:56:17.847124+00:00,51.781,51.531,51.781,51.187,0,306,1020,,7120,1437,3234,2890,16.7,1728
18.1,2026-08-04T18:56:18.852294+00:00,51.75,51.343,51.75,51.218,0,306,1020,,7160,1437,3234,2890,16.7,1728
19.1,2026-08-04T18:56:19.857895+00:00,51.875,51.531,51.875,51.312,0,306,1020,,7160,1437,3234,2890,16.7,1728
20.1,2026-08-04T18:56:20.863164+00:00,51.937,51.656,51.937,51.375,0,306,1020,,7200,1477,3234,2891,17.2,1728
21.1,2026-08-04T18:56:21.869008+00:00,51.875,51.468,51.875,51.312,0,306,1020,,7148,1437,3234,2894,18.8,1728
22.1,2026-08-04T18:56:22.874703+00:00,51.906,51.437,51.906,51.375,0,306,1020,,7148,1437,3234,2889,17.2,1728
23.1,2026-08-04T18:56:23.880471+00:00,51.937,51.468,51.937,51.343,0,306,1020,,7108,1437,3234,2889,16.8,1728
24.1,2026-08-04T18:56:24.886528+00:00,52.156,51.437,52.156,51.437,0,306,1020,,7120,1397,3234,2889,16.8,1728
25.2,2026-08-04T18:56:25.892068+00:00,52.187,51.437,52.187,51.531,0,306,1020,,7120,1437,3234,2889,16.7,1728
26.2,2026-08-04T18:56:26.897701+00:00,52.218,51.5,52.218,51.25,0,306,1020,,7120,1437,3234,2889,17.0,1728
27.2,2026-08-04T18:56:27.903596+00:00,52.375,51.656,52.375,51.437,0,306,1020,,7148,1437,3234,2889,16.7,1728
28.2,2026-08-04T18:56:28.909305+00:00,52.312,51.687,52.312,51.5,0,306,1020,,7160,1437,3234,2889,16.8,1728
29.2,2026-08-04T18:56:29.915491+00:00,52.125,51.562,52.125,51.562,0,306,1020,,7360,1557,3234,2981,16.8,1728
30.2,2026-08-04T18:56:30.922830+00:00,52.093,51.218,52.093,51.468,0,306,1020,,6549,1038,3075,2981,12.5,729
31.2,2026-08-04T18:56:31.927697+00:00,52.187,52.187,52.187,51.468,0,306,1020,,7400,1597,3234,3055,22.3,1728
32.2,2026-08-04T18:56:32.933020+00:00,52.281,52.281,52.281,51.625,0,306,1020,,8040,1916,3360,3278,30.0,1728
33.2,2026-08-04T18:56:33.938629+00:00,52.718,52.031,52.718,51.656,0,306,1020,,8080,2116,3314,3373,33.5,1728
34.2,2026-08-04T18:56:34.944280+00:00,52.781,52.468,52.781,51.781,0,306,1020,,8320,2276,3360,3401,33.3,1728
35.2,2026-08-04T18:56:35.949781+00:00,52.281,52.312,52.312,51.593,0,306,1020,,8080,1916,3394,3406,33.5,1728
36.2,2026-08-04T18:56:36.955693+00:00,52.312,52.187,52.312,51.656,0,306,1020,,7240,1477,3234,3116,19.0,1728
37.2,2026-08-04T18:56:37.961396+00:00,52.406,51.968,52.406,51.781,0,306,1020,,7160,1437,3234,3115,16.8,1728
38.2,2026-08-04T18:56:38.967000+00:00,52.343,51.781,52.343,51.812,0,306,1020,,7120,1397,3234,3115,16.8,1728
39.2,2026-08-04T18:56:39.972559+00:00,52.437,52.187,52.437,51.843,37,306,1020,,7947,1714,3474,3006,23.5,1728
40.2,2026-08-04T18:56:40.978833+00:00,52.718,51.937,52.718,51.781,26,306,1020,,7331,1360,3285,2597,23.8,1728
41.2,2026-08-04T18:56:41.984934+00:00,54.093,52.562,54.093,51.937,88,1020,1020,,11381,3628,4193,3056,12.7,1651
42.3,2026-08-04T18:56:42.990330+00:00,53.875,52.468,53.875,52.125,26,612,1020,,11821,4060,4226,3051,14.7,1728
43.3,2026-08-04T18:56:43.995927+00:00,53.937,52.968,53.937,52.406,22,714,1020,,12519,4610,4385,3051,13.3,1728
44.3,2026-08-04T18:56:45.001400+00:00,54.5,53.156,54.5,52.593,35,714,1020,,13317,5039,4538,3051,14.0,1728
45.3,2026-08-04T18:56:46.006771+00:00,55.093,53.25,55.093,52.656,99,1020,1020,,13892,5475,4650,3049,13.5,1728
46.3,2026-08-04T18:56:47.012505+00:00,54.718,53.437,54.718,52.781,99,612,1020,,12400,4530,4346,3049,14.5,1728
47.3,2026-08-04T18:56:48.017948+00:00,54.406,53.625,54.406,52.906,23,714,1020,,12400,4498,4306,3049,13.2,1728
48.3,2026-08-04T18:56:49.023367+00:00,54.75,53.843,54.75,53.062,22,714,1020,,13157,5047,4458,3049,14.0,1728
49.3,2026-08-04T18:56:50.029712+00:00,55.187,53.687,55.187,53.375,32,816,1020,,13733,5436,4530,3049,13.7,1728
50.3,2026-08-04T18:56:51.035212+00:00,55.687,53.843,55.687,53.218,89,1020,1020,,13078,5007,4458,3049,14.0,1728
51.3,2026-08-04T18:56:52.040567+00:00,54.781,54.125,55,53.343,26,612,1020,,12100,4339,4226,3049,14.3,1728
