elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-02T03:41:05.090949+00:00,50.906,49.687,50.906,50.156,0,306,1020,,5528,520,2800,1459,0.3,729
2.0,2026-08-02T03:41:06.094496+00:00,50.718,49.718,50.718,50.156,0,306,1020,,5448,520,2760,1459,0.0,729
3.0,2026-08-02T03:41:07.100020+00:00,50.656,49.906,50.656,50.312,0,306,1020,,5448,520,2760,1459,0.2,729
4.0,2026-08-02T03:41:08.105768+00:00,50.625,49.781,50.625,50.125,0,306,1020,,5448,520,2760,1459,0.3,729
5.0,2026-08-02T03:41:09.111858+00:00,50.625,49.968,50.625,50.156,0,306,1020,,5448,520,2760,1459,0.0,729
6.0,2026-08-02T03:41:10.120684+00:00,51.031,49.687,51.031,50.187,0,306,1020,,5568,560,2800,1459,1.7,729
7.1,2026-08-02T03:41:11.126165+00:00,51.062,49.75,51.062,50.218,0,306,1020,,5488,520,2800,1459,0.2,729
8.1,2026-08-02T03:41:12.131686+00:00,51.062,49.937,51.062,50.156,0,306,1020,,5448,520,2760,1459,0.0,729
9.1,2026-08-02T03:41:13.137461+00:00,50.75,49.625,50.75,50.062,0,306,1020,,5448,520,2760,1459,0.3,729
10.1,2026-08-02T03:41:14.142897+00:00,50.687,49.687,50.687,50.187,0,306,1020,,5448,520,2760,1459,0.3,729
11.1,2026-08-02T03:41:15.148748+00:00,50.687,49.812,50.687,50.281,0,306,1020,,5448,480,2760,1459,0.0,729
12.1,2026-08-02T03:41:16.154572+00:00,50.75,49.687,50.75,50.125,0,306,1020,,5448,520,2760,1459,0.0,729
13.1,2026-08-02T03:41:17.160774+00:00,50.718,49.781,50.625,50,0,306,1020,,5448,520,2760,1459,0.2,729
