elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_shoulder_lift,2404,34,2,72,2389,2404
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_elbow_flex,1640,35,2,56,1629,1640
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
0.0,2026-08-04T18:35:26.250248+00:00,arms,left_gripper,2013,38,0,0,2014,2013
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_shoulder_lift,2150,34,36,216,2049,2150
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_elbow_flex,2166,37,13,152,2097,2166
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_wrist_flex,2000,35,2,62,1976,2000
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
0.0,2026-08-04T18:35:26.250248+00:00,arms,right_gripper,2070,38,0,0,2070,2070
0.0,2026-08-04T18:35:26.250248+00:00,head,head_motor_1,2158,26,0,0,,
0.0,2026-08-04T18:35:26.250248+00:00,head,head_motor_2,1944,28,0,0,,
0.0,2026-08-04T18:35:26.250248+00:00,head,base_left_wheel,3461,28,0,0,,
0.0,2026-08-04T18:35:26.250248+00:00,head,base_back_wheel,3496,29,0,0,,
0.0,2026-08-04T18:35:26.250248+00:00,head,base_right_wheel,2173,28,0,0,,
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_shoulder_lift,2404,34,3,72,2389,2404
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_elbow_flex,1640,35,2,56,1629,1640
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
1.0,2026-08-04T18:35:27.251713+00:00,arms,left_gripper,2013,38,0,0,2014,2013
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_shoulder_lift,2151,34,33,218,2049,2150
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_elbow_flex,2166,37,16,152,2097,2166
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_wrist_flex,2000,35,2,62,1976,2000
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
1.0,2026-08-04T18:35:27.251713+00:00,arms,right_gripper,2071,38,0,0,2070,2070
1.0,2026-08-04T18:35:27.251713+00:00,head,head_motor_1,2158,26,0,0,,
1.0,2026-08-04T18:35:27.251713+00:00,head,head_motor_2,1944,28,0,0,,
1.0,2026-08-04T18:35:27.251713+00:00,head,base_left_wheel,3461,28,0,0,,
1.0,2026-08-04T18:35:27.251713+00:00,head,base_back_wheel,3496,29,0,0,,
1.0,2026-08-04T18:35:27.251713+00:00,head,base_right_wheel,2173,28,0,0,,
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_shoulder_lift,2404,34,3,72,2389,2404
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_elbow_flex,1640,35,1,56,1629,1640
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
2.0,2026-08-04T18:35:28.252795+00:00,arms,left_gripper,2013,38,0,0,2014,2013
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_shoulder_lift,2151,34,29,218,2049,2150
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_elbow_flex,2166,37,19,152,2097,2166
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_wrist_flex,2000,35,2,62,1976,2000
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
2.0,2026-08-04T18:35:28.252795+00:00,arms,right_gripper,2071,38,0,0,2070,2070
2.0,2026-08-04T18:35:28.252795+00:00,head,head_motor_1,2158,26,0,0,,
2.0,2026-08-04T18:35:28.252795+00:00,head,head_motor_2,1944,28,0,0,,
2.0,2026-08-04T18:35:28.252795+00:00,head,base_left_wheel,3461,28,0,0,,
2.0,2026-08-04T18:35:28.252795+00:00,head,base_back_wheel,3496,29,0,0,,
2.0,2026-08-04T18:35:28.252795+00:00,head,base_right_wheel,2173,28,0,0,,
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_shoulder_lift,2404,34,3,72,2389,2404
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_elbow_flex,1640,35,2,56,1629,1640
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
3.0,2026-08-04T18:35:29.254248+00:00,arms,left_gripper,2013,38,0,0,2014,2013
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_shoulder_lift,2151,34,38,218,2049,2150
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_elbow_flex,2166,37,19,152,2097,2166
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_wrist_flex,2000,35,2,62,1976,2000
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_wrist_roll,2109,34,1,1048,2114,2109
3.0,2026-08-04T18:35:29.254248+00:00,arms,right_gripper,2071,38,0,0,2070,2070
3.0,2026-08-04T18:35:29.254248+00:00,head,head_motor_1,2158,26,0,0,,
3.0,2026-08-04T18:35:29.254248+00:00,head,head_motor_2,1944,28,0,0,,
3.0,2026-08-04T18:35:29.254248+00:00,head,base_left_wheel,3461,28,0,0,,
3.0,2026-08-04T18:35:29.254248+00:00,head,base_back_wheel,3496,29,0,0,,
3.0,2026-08-04T18:35:29.254248+00:00,head,base_right_wheel,2173,28,0,0,,
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_shoulder_lift,2404,34,4,72,2389,2404
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_elbow_flex,1640,35,2,56,1629,1640
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
4.0,2026-08-04T18:35:30.255346+00:00,arms,left_gripper,2013,38,0,0,2014,2013
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_shoulder_lift,2151,34,34,218,2049,2150
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_elbow_flex,2166,37,17,152,2097,2166
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_wrist_flex,2000,35,2,62,1976,2000
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
4.0,2026-08-04T18:35:30.255346+00:00,arms,right_gripper,2071,38,0,0,2070,2070
4.0,2026-08-04T18:35:30.255346+00:00,head,head_motor_1,2158,26,0,0,,
4.0,2026-08-04T18:35:30.255346+00:00,head,head_motor_2,1944,28,0,0,,
4.0,2026-08-04T18:35:30.255346+00:00,head,base_left_wheel,3461,28,0,0,,
4.0,2026-08-04T18:35:30.255346+00:00,head,base_back_wheel,3496,29,0,0,,
4.0,2026-08-04T18:35:30.255346+00:00,head,base_right_wheel,2173,28,0,0,,
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_shoulder_lift,2404,34,3,72,2389,2404
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_elbow_flex,1640,35,1,56,1629,1640
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_wrist_roll,1988,34,0,0,1989,1988
5.0,2026-08-04T18:35:31.256426+00:00,arms,left_gripper,2013,38,0,0,2014,2013
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_shoulder_pan,1974,37,0,0,1974,1974
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_shoulder_lift,2151,34,32,218,2049,2150
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_elbow_flex,2166,37,17,152,2097,2166
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_wrist_flex,2000,35,3,62,1976,2000
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
5.0,2026-08-04T18:35:31.256426+00:00,arms,right_gripper,2071,38,0,0,2070,2070
5.0,2026-08-04T18:35:31.256426+00:00,head,head_motor_1,2158,26,0,0,,
5.0,2026-08-04T18:35:31.256426+00:00,head,head_motor_2,1944,28,0,0,,
5.0,2026-08-04T18:35:31.256426+00:00,head,base_left_wheel,3461,28,0,0,,
