elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_shoulder_lift,2402,36,2,64,2389,2402
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_elbow_flex,1643,35,3,68,1629,1643
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_wrist_flex,2173,35,1,28,2169,2173
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
0.0,2026-08-05T04:06:22.051370+00:00,arms,left_gripper,2014,37,0,0,2014,2014
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_shoulder_pan,1968,37,0,1050,1974,1968
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_shoulder_lift,2096,36,6,108,2049,2096
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_elbow_flex,2127,38,4,74,2097,2127
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_wrist_flex,1985,35,1,32,1976,1985
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
0.0,2026-08-05T04:06:22.051370+00:00,arms,right_gripper,2460,38,1,42,2446,2460
0.0,2026-08-05T04:06:22.051370+00:00,head,head_motor_1,2158,26,0,0,,
0.0,2026-08-05T04:06:22.051370+00:00,head,head_motor_2,1944,27,0,0,,
0.0,2026-08-05T04:06:22.051370+00:00,head,base_left_wheel,3450,26,0,0,,
0.0,2026-08-05T04:06:22.051370+00:00,head,base_back_wheel,3490,28,0,0,,
0.0,2026-08-05T04:06:22.051370+00:00,head,base_right_wheel,2180,27,0,0,,
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_shoulder_lift,2402,35,2,64,2389,2402
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_elbow_flex,1643,35,2,68,1629,1643
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_wrist_flex,2173,34,0,28,2169,2173
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
1.0,2026-08-05T04:06:23.052424+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_shoulder_pan,1968,37,1,1050,1974,1968
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_shoulder_lift,2096,36,6,108,2049,2096
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_elbow_flex,2127,38,4,74,2097,2127
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_wrist_flex,1985,35,1,32,1976,1985
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_wrist_roll,2109,34,0,1048,2114,2109
1.0,2026-08-05T04:06:23.052424+00:00,arms,right_gripper,2460,38,1,42,2446,2460
1.0,2026-08-05T04:06:23.052424+00:00,head,head_motor_1,2158,26,0,0,,
1.0,2026-08-05T04:06:23.052424+00:00,head,head_motor_2,1944,28,0,0,,
1.0,2026-08-05T04:06:23.052424+00:00,head,base_left_wheel,3449,26,0,0,,
1.0,2026-08-05T04:06:23.052424+00:00,head,base_back_wheel,3490,27,0,0,,
1.0,2026-08-05T04:06:23.052424+00:00,head,base_right_wheel,2180,27,0,0,,
2.0,2026-08-05T04:06:24.053478+00:00,arms,left_shoulder_pan,1851,37,1,1060,1857,1851
