elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_shoulder_lift,2406,35,4,80,2389,2406
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
0.0,2026-08-05T03:16:48.230004+00:00,arms,left_gripper,2014,37,0,0,2014,2014
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_shoulder_lift,2092,36,5,100,2049,2092
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_elbow_flex,2126,38,3,72,2097,2126
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
0.0,2026-08-05T03:16:48.230004+00:00,arms,right_gripper,2487,38,1,38,2475,2487
0.0,2026-08-05T03:16:48.230004+00:00,head,head_motor_1,2158,26,0,0,,
0.0,2026-08-05T03:16:48.230004+00:00,head,head_motor_2,1944,28,0,0,,
0.0,2026-08-05T03:16:48.230004+00:00,head,base_left_wheel,3450,26,0,0,,
0.0,2026-08-05T03:16:48.230004+00:00,head,base_back_wheel,3498,27,0,0,,
0.0,2026-08-05T03:16:48.230004+00:00,head,base_right_wheel,2174,27,0,0,,
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_shoulder_lift,2406,35,3,80,2389,2406
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
1.0,2026-08-05T03:16:49.231428+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_shoulder_lift,2092,36,5,100,2049,2092
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
1.0,2026-08-05T03:16:49.231428+00:00,arms,right_gripper,2487,38,1,38,2475,2487
1.0,2026-08-05T03:16:49.231428+00:00,head,head_motor_1,2158,26,0,0,,
1.0,2026-08-05T03:16:49.231428+00:00,head,head_motor_2,1944,27,0,0,,
1.0,2026-08-05T03:16:49.231428+00:00,head,base_left_wheel,3450,26,0,0,,
1.0,2026-08-05T03:16:49.231428+00:00,head,base_back_wheel,3498,27,0,0,,
1.0,2026-08-05T03:16:49.231428+00:00,head,base_right_wheel,2174,27,0,0,,
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_shoulder_lift,2406,35,3,80,2389,2406
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
2.0,2026-08-05T03:16:50.232881+00:00,arms,left_gripper,2014,37,0,0,2014,2014
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_shoulder_pan,1960,37,2,1066,1974,1960
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_shoulder_lift,2092,36,5,100,2049,2092
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_wrist_flex,1983,35,1,28,1976,1983
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
2.0,2026-08-05T03:16:50.232881+00:00,arms,right_gripper,2487,38,1,38,2475,2487
2.0,2026-08-05T03:16:50.232881+00:00,head,head_motor_1,2158,26,0,0,,
2.0,2026-08-05T03:16:50.232881+00:00,head,head_motor_2,1944,28,0,0,,
2.0,2026-08-05T03:16:50.232881+00:00,head,base_left_wheel,3450,26,0,0,,
2.0,2026-08-05T03:16:50.232881+00:00,head,base_back_wheel,3498,27,0,0,,
2.0,2026-08-05T03:16:50.232881+00:00,head,base_right_wheel,2174,27,0,0,,
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_shoulder_lift,2406,35,3,80,2389,2406
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_wrist_flex,2174,35,0,32,2169,2174
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
3.0,2026-08-05T03:16:51.234351+00:00,arms,left_gripper,2014,37,0,0,2014,2014
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_shoulder_lift,2093,36,5,102,2049,2092
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
3.0,2026-08-05T03:16:51.234351+00:00,arms,right_gripper,2487,38,1,38,2475,2487
3.0,2026-08-05T03:16:51.234351+00:00,head,head_motor_1,2158,26,0,0,,
3.0,2026-08-05T03:16:51.234351+00:00,head,head_motor_2,1944,27,0,0,,
3.0,2026-08-05T03:16:51.234351+00:00,head,base_left_wheel,3450,26,0,0,,
3.0,2026-08-05T03:16:51.234351+00:00,head,base_back_wheel,3498,27,0,0,,
3.0,2026-08-05T03:16:51.234351+00:00,head,base_right_wheel,2174,27,0,0,,
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_shoulder_lift,2406,35,4,80,2389,2406
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
4.0,2026-08-05T03:16:52.235429+00:00,arms,left_gripper,2014,37,0,0,2014,2014
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_shoulder_lift,2093,36,5,102,2049,2092
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
4.0,2026-08-05T03:16:52.235429+00:00,arms,right_gripper,2487,38,1,38,2475,2487
4.0,2026-08-05T03:16:52.235429+00:00,head,head_motor_1,2158,26,0,0,,
4.0,2026-08-05T03:16:52.235429+00:00,head,head_motor_2,1944,27,0,0,,
4.0,2026-08-05T03:16:52.235429+00:00,head,base_left_wheel,3450,26,0,0,,
4.0,2026-08-05T03:16:52.235429+00:00,head,base_back_wheel,3498,27,0,0,,
4.0,2026-08-05T03:16:52.235429+00:00,head,base_right_wheel,2174,27,0,0,,
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_shoulder_lift,2406,35,4,80,2389,2406
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
5.0,2026-08-05T03:16:53.236524+00:00,arms,left_gripper,2014,37,0,0,2014,2014
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_shoulder_lift,2093,36,5,102,2049,2092
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
5.0,2026-08-05T03:16:53.236524+00:00,arms,right_gripper,2487,38,1,38,2475,2487
5.0,2026-08-05T03:16:53.236524+00:00,head,head_motor_1,2158,26,0,0,,
5.0,2026-08-05T03:16:53.236524+00:00,head,head_motor_2,1944,28,0,0,,
5.0,2026-08-05T03:16:53.236524+00:00,head,base_left_wheel,3450,26,0,0,,
5.0,2026-08-05T03:16:53.236524+00:00,head,base_back_wheel,3498,27,0,0,,
5.0,2026-08-05T03:16:53.236524+00:00,head,base_right_wheel,2174,27,0,0,,
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_shoulder_lift,2406,35,3,80,2389,2406
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_elbow_flex,1641,35,2,60,1629,1641
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
6.0,2026-08-05T03:16:54.237997+00:00,arms,left_gripper,2014,37,0,0,2014,2014
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_shoulder_lift,2093,36,5,102,2049,2092
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_wrist_flex,1983,35,1,28,1976,1983
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
6.0,2026-08-05T03:16:54.237997+00:00,arms,right_gripper,2487,38,1,38,2475,2487
6.0,2026-08-05T03:16:54.237997+00:00,head,head_motor_1,2158,26,0,0,,
6.0,2026-08-05T03:16:54.237997+00:00,head,head_motor_2,1944,27,0,0,,
6.0,2026-08-05T03:16:54.237997+00:00,head,base_left_wheel,3450,26,0,0,,
6.0,2026-08-05T03:16:54.237997+00:00,head,base_back_wheel,3498,27,0,0,,
6.0,2026-08-05T03:16:54.237997+00:00,head,base_right_wheel,2174,27,0,0,,
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_shoulder_lift,2406,35,4,80,2389,2406
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_wrist_flex,2174,35,1,32,2169,2174
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
7.0,2026-08-05T03:16:55.239029+00:00,arms,left_gripper,2014,37,0,0,2014,2014
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_shoulder_pan,1960,37,1,1066,1974,1960
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_shoulder_lift,2093,36,5,102,2049,2092
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_elbow_flex,2127,38,3,74,2097,2126
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_wrist_flex,1983,35,0,28,1976,1983
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_wrist_roll,2112,34,0,1042,2114,2112
7.0,2026-08-05T03:16:55.239029+00:00,arms,right_gripper,2487,38,1,38,2475,2487
7.0,2026-08-05T03:16:55.239029+00:00,head,head_motor_1,2158,26,0,0,,
7.0,2026-08-05T03:16:55.239029+00:00,head,head_motor_2,1944,27,0,0,,
7.0,2026-08-05T03:16:55.239029+00:00,head,base_left_wheel,3450,26,0,0,,
7.0,2026-08-05T03:16:55.239029+00:00,head,base_back_wheel,3498,27,0,0,,
7.0,2026-08-05T03:16:55.239029+00:00,head,base_right_wheel,2174,27,0,0,,
8.0,2026-08-05T03:16:56.239589+00:00,arms,left_shoulder_pan,1857,37,0,0,1857,1857
