elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_shoulder_pan,1856,37,0,1044,1857,1856
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_shoulder_lift,2405,36,3,76,2389,2405
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_elbow_flex,1642,38,2,64,1629,1642
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_wrist_flex,2172,35,0,24,2169,2172
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
0.0,2026-08-03T21:06:44.059773+00:00,arms,left_gripper,2014,37,0,0,2014,2014
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_shoulder_pan,1971,37,0,1044,1974,1971
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_shoulder_lift,2296,38,0,0,2049,2295
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_elbow_flex,2061,39,0,0,2097,2061
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_wrist_flex,1984,36,0,30,1976,1984
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_wrist_roll,2110,35,0,1046,2114,2110
0.0,2026-08-03T21:06:44.059773+00:00,arms,right_gripper,2053,38,0,0,2053,2053
0.0,2026-08-03T21:06:44.059773+00:00,head,head_motor_1,2158,32,0,0,,
0.0,2026-08-03T21:06:44.059773+00:00,head,head_motor_2,1943,32,0,0,,
0.0,2026-08-03T21:06:44.059773+00:00,head,base_left_wheel,3472,33,0,0,,
0.0,2026-08-03T21:06:44.059773+00:00,head,base_back_wheel,3494,34,0,0,,
0.0,2026-08-03T21:06:44.059773+00:00,head,base_right_wheel,2182,32,0,0,,
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_shoulder_pan,1855,37,1,1044,1857,1856
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_shoulder_lift,2405,36,3,76,2389,2405
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_elbow_flex,1642,38,3,64,1629,1642
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_wrist_roll,1987,34,0,1044,1989,1987
1.0,2026-08-03T21:06:45.060771+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_shoulder_pan,1981,37,1,28,1974,1971
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_shoulder_lift,2247,38,84,410,2049,2295
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_elbow_flex,2122,39,2,64,2097,2061
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_wrist_flex,1987,36,1,36,1976,1984
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_wrist_roll,2109,35,1,1048,2114,2110
1.0,2026-08-03T21:06:45.060771+00:00,arms,right_gripper,2053,38,0,0,2053,2053
1.0,2026-08-03T21:06:45.060771+00:00,head,head_motor_1,2158,32,0,0,,
1.0,2026-08-03T21:06:45.060771+00:00,head,head_motor_2,1943,32,0,0,,
1.0,2026-08-03T21:06:45.060771+00:00,head,base_left_wheel,3471,33,0,0,,
1.0,2026-08-03T21:06:45.060771+00:00,head,base_back_wheel,3494,34,0,0,,
1.0,2026-08-03T21:06:45.060771+00:00,head,base_right_wheel,2182,32,0,0,,
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_shoulder_pan,1856,37,1,0,1857,1856
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_shoulder_lift,2405,36,4,76,2389,2405
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_elbow_flex,1642,38,2,64,1629,1642
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_wrist_roll,1987,34,1,1044,1989,1987
2.0,2026-08-03T21:06:46.061795+00:00,arms,left_gripper,2014,38,0,0,2014,2014
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_shoulder_pan,1973,37,0,0,1974,1971
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_shoulder_lift,2091,38,0,54,2049,2295
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_elbow_flex,2110,39,1,40,2097,2061
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_wrist_flex,1986,36,1,34,1976,1984
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_wrist_roll,2109,35,0,1048,2114,2110
2.0,2026-08-03T21:06:46.061795+00:00,arms,right_gripper,2053,38,0,0,2053,2053
2.0,2026-08-03T21:06:46.061795+00:00,head,head_motor_1,2158,31,0,0,,
