elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_shoulder_pan,1859,36,0,20,1857,1859
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_shoulder_lift,2402,34,2,64,2389,2402
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_elbow_flex,1645,34,3,76,1629,1645
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_wrist_flex,2171,34,0,20,2169,2171
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_wrist_roll,1987,33,1,1044,1989,1987
0.0,2026-08-03T23:32:07.025836+00:00,arms,left_gripper,2014,37,0,0,2014,2014
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_shoulder_pan,1977,36,0,20,1974,1977
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_shoulder_lift,2128,36,16,172,2049,2128
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_elbow_flex,2136,37,6,92,2097,2136
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_wrist_flex,1997,35,2,56,1976,1997
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_wrist_roll,2109,33,0,1048,2114,2109
0.0,2026-08-03T23:32:07.025836+00:00,arms,right_gripper,2073,37,1,0,2073,2073
0.0,2026-08-03T23:32:07.025836+00:00,head,head_motor_1,2158,31,0,0,,
0.0,2026-08-03T23:32:07.025836+00:00,head,head_motor_2,1944,32,0,0,,
0.0,2026-08-03T23:32:07.025836+00:00,head,base_left_wheel,3461,32,0,0,,
0.0,2026-08-03T23:32:07.025836+00:00,head,base_back_wheel,3491,34,0,0,,
0.0,2026-08-03T23:32:07.025836+00:00,head,base_right_wheel,2182,32,0,0,,
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_shoulder_pan,1859,36,0,20,1857,1859
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_shoulder_lift,2402,34,3,64,2389,2402
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_elbow_flex,1645,35,3,76,1629,1645
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_wrist_flex,2171,34,0,20,2169,2171
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_wrist_roll,1987,33,0,1044,1989,1987
1.0,2026-08-03T23:32:08.027265+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_shoulder_pan,1977,36,0,20,1974,1977
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_shoulder_lift,2128,36,13,172,2049,2128
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_elbow_flex,2136,37,7,92,2097,2136
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_wrist_flex,1997,34,2,56,1976,1997
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_wrist_roll,2109,33,0,1048,2114,2109
1.0,2026-08-03T23:32:08.027265+00:00,arms,right_gripper,2073,37,0,0,2073,2073
1.0,2026-08-03T23:32:08.027265+00:00,head,head_motor_1,2158,31,1,0,,
1.0,2026-08-03T23:32:08.027265+00:00,head,head_motor_2,1944,32,0,0,,
1.0,2026-08-03T23:32:08.027265+00:00,head,base_left_wheel,3461,32,0,0,,
1.0,2026-08-03T23:32:08.027265+00:00,head,base_back_wheel,3491,34,0,0,,
1.0,2026-08-03T23:32:08.027265+00:00,head,base_right_wheel,2182,32,0,0,,
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_shoulder_pan,1859,36,0,20,1857,1859
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_shoulder_lift,2402,34,2,64,2389,2402
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_elbow_flex,1645,34,3,76,1629,1645
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_wrist_flex,2171,34,1,20,2169,2171
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_wrist_roll,1987,33,1,1044,1989,1987
2.0,2026-08-03T23:32:09.028713+00:00,arms,left_gripper,2014,37,0,0,2014,2014
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_shoulder_pan,1977,36,0,20,1974,1977
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_shoulder_lift,2128,36,18,172,2049,2128
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_elbow_flex,2136,37,6,92,2097,2136
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_wrist_flex,1997,34,2,56,1976,1997
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_wrist_roll,2109,33,1,1048,2114,2109
2.0,2026-08-03T23:32:09.028713+00:00,arms,right_gripper,2073,37,0,0,2073,2073
2.0,2026-08-03T23:32:09.028713+00:00,head,head_motor_1,2158,31,0,0,,
2.0,2026-08-03T23:32:09.028713+00:00,head,head_motor_2,1944,32,0,0,,
2.0,2026-08-03T23:32:09.028713+00:00,head,base_left_wheel,3461,32,0,0,,
2.0,2026-08-03T23:32:09.028713+00:00,head,base_back_wheel,3491,34,0,0,,
2.0,2026-08-03T23:32:09.028713+00:00,head,base_right_wheel,2182,32,0,0,,
3.0,2026-08-03T23:32:10.030169+00:00,arms,left_shoulder_pan,1859,36,0,20,1857,1859
