elapsed_s,timestamp,bus,motor,position,temp_c,current,load,target,baseline
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_shoulder_pan,1857,36,0,0,1857,1857
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_shoulder_lift,2403,33,3,68,2389,2403
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_wrist_roll,1987,33,1,1044,1989,1987
0.0,2026-08-04T03:11:43.814177+00:00,arms,left_gripper,2014,36,0,0,2014,2014
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_shoulder_pan,1982,36,0,30,1974,1982
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_shoulder_lift,2137,34,28,190,2049,2137
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_elbow_flex,2158,36,17,136,2097,2158
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_wrist_flex,2000,34,2,62,1976,2000
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_wrist_roll,2109,33,1,1048,2114,2109
0.0,2026-08-04T03:11:43.814177+00:00,arms,right_gripper,2073,37,0,0,2073,2073
0.0,2026-08-04T03:11:43.814177+00:00,head,head_motor_1,2158,31,0,0,,
0.0,2026-08-04T03:11:43.814177+00:00,head,head_motor_2,1943,32,0,0,,
0.0,2026-08-04T03:11:43.814177+00:00,head,base_left_wheel,3461,33,0,0,,
0.0,2026-08-04T03:11:43.814177+00:00,head,base_back_wheel,3496,34,0,0,,
0.0,2026-08-04T03:11:43.814177+00:00,head,base_right_wheel,2181,32,0,0,,
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_shoulder_pan,1857,36,0,0,1857,1857
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_shoulder_lift,2403,33,4,68,2389,2403
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_elbow_flex,1641,34,3,60,1629,1641
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_wrist_roll,1987,33,0,1044,1989,1987
1.0,2026-08-04T03:11:44.815816+00:00,arms,left_gripper,2014,37,0,0,2014,2014
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_shoulder_pan,1982,36,0,30,1974,1982
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_shoulder_lift,2137,34,24,190,2049,2137
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_elbow_flex,2158,36,17,136,2097,2158
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_wrist_flex,2000,34,3,62,1976,2000
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_wrist_roll,2109,33,1,1048,2114,2109
1.0,2026-08-04T03:11:44.815816+00:00,arms,right_gripper,2073,37,0,0,2073,2073
1.0,2026-08-04T03:11:44.815816+00:00,head,head_motor_1,2158,31,0,0,,
1.0,2026-08-04T03:11:44.815816+00:00,head,head_motor_2,1943,32,0,0,,
1.0,2026-08-04T03:11:44.815816+00:00,head,base_left_wheel,3461,33,0,0,,
1.0,2026-08-04T03:11:44.815816+00:00,head,base_back_wheel,3496,34,0,0,,
1.0,2026-08-04T03:11:44.815816+00:00,head,base_right_wheel,2181,32,0,0,,
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_shoulder_pan,1857,36,0,0,1857,1857
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_shoulder_lift,2403,33,3,68,2389,2403
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_elbow_flex,1641,34,3,60,1629,1641
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_wrist_roll,1987,33,0,1044,1989,1987
2.0,2026-08-04T03:11:45.817449+00:00,arms,left_gripper,2014,37,0,0,2014,2014
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_shoulder_pan,1982,36,0,30,1974,1982
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_shoulder_lift,2137,34,23,190,2049,2137
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_elbow_flex,2158,36,15,136,2097,2158
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_wrist_flex,2000,34,2,62,1976,2000
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_wrist_roll,2109,33,1,1048,2114,2109
2.0,2026-08-04T03:11:45.817449+00:00,arms,right_gripper,2073,37,0,0,2073,2073
2.0,2026-08-04T03:11:45.817449+00:00,head,head_motor_1,2158,31,0,0,,
2.0,2026-08-04T03:11:45.817449+00:00,head,head_motor_2,1943,32,0,0,,
2.0,2026-08-04T03:11:45.817449+00:00,head,base_left_wheel,3460,33,0,0,,
2.0,2026-08-04T03:11:45.817449+00:00,head,base_back_wheel,3496,34,0,0,,
2.0,2026-08-04T03:11:45.817449+00:00,head,base_right_wheel,2181,32,0,0,,
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_shoulder_pan,1857,36,0,0,1857,1857
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_shoulder_lift,2403,33,3,68,2389,2403
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_elbow_flex,1641,34,2,60,1629,1641
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_wrist_flex,2172,34,0,24,2169,2172
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_wrist_roll,1987,33,0,1044,1989,1987
3.0,2026-08-04T03:11:46.819040+00:00,arms,left_gripper,2014,36,0,0,2014,2014
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_shoulder_pan,1982,36,0,30,1974,1982
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_shoulder_lift,2137,34,22,190,2049,2137
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_elbow_flex,2158,36,11,136,2097,2158
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_wrist_flex,2000,34,2,62,1976,2000
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_wrist_roll,2109,33,0,1048,2114,2109
3.0,2026-08-04T03:11:46.819040+00:00,arms,right_gripper,2073,37,0,0,2073,2073
3.0,2026-08-04T03:11:46.819040+00:00,head,head_motor_1,2158,31,0,0,,
3.0,2026-08-04T03:11:46.819040+00:00,head,head_motor_2,1943,32,0,0,,
3.0,2026-08-04T03:11:46.819040+00:00,head,base_left_wheel,3461,33,0,0,,
