elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-05T04:04:08.363103+00:00,51.25,51,51.25,50.437,0,306,1020,,7440,1597,3234,1686,32.3,1728
2.0,2026-08-05T04:04:09.366770+00:00,51.343,50.656,51.343,50.562,0,306,1020,,7400,1557,3274,1721,16.7,1728
3.0,2026-08-05T04:04:10.372280+00:00,51.312,50.781,51.312,50.593,0,306,1020,,7400,1557,3274,1762,16.7,1728
4.0,2026-08-05T04:04:11.377787+00:00,51.312,50.937,51.312,50.468,0,306,1020,,7480,1517,3314,1806,16.7,1728
5.0,2026-08-05T04:04:12.383084+00:00,51.5,51,51.5,50.562,0,306,1020,,7440,1557,3274,1845,16.7,1728
6.0,2026-08-05T04:04:13.388303+00:00,51.468,51.062,51.468,50.718,0,306,1020,,7360,1557,3234,1853,16.7,1728
7.0,2026-08-05T04:04:14.393696+00:00,51.5,51.031,51.5,50.687,0,306,1020,,7520,1677,3274,1874,22.2,1728
8.1,2026-08-05T04:04:15.402440+00:00,51.281,50.468,51.281,50.812,0,306,1020,,7120,1277,3274,1891,15.2,729
9.1,2026-08-05T04:04:16.409938+00:00,51.218,50.468,51.218,50.656,0,306,1020,,6400,998,2995,1893,7.8,729
10.1,2026-08-05T04:04:17.414340+00:00,51.656,50.937,51.656,50.781,0,306,1020,,7280,1557,3194,2125,15.5,1728
11.1,2026-08-05T04:04:18.419885+00:00,51.687,50.906,51.687,50.843,0,306,1020,,7280,1517,3234,2223,16.7,1728
12.1,2026-08-05T04:04:19.425249+00:00,51.687,50.843,51.687,50.812,0,306,1020,,7080,1397,3194,2223,16.7,1728
13.1,2026-08-05T04:04:20.430763+00:00,51.843,51.093,51.843,50.968,0,306,1020,,7320,1557,3234,2461,16.7,1728
14.1,2026-08-05T04:04:21.436065+00:00,51.875,50.968,51.875,50.843,0,306,1020,,7360,1597,3234,2714,16.7,1728
15.1,2026-08-05T04:04:22.441493+00:00,51.875,51.156,51.875,50.843,0,306,1020,,7400,1637,3234,2911,17.0,1728
16.1,2026-08-05T04:04:23.446756+00:00,51.906,51.093,51.906,51.031,0,306,1020,,7160,1437,3194,2911,16.8,1728
17.1,2026-08-05T04:04:24.452254+00:00,52.031,51.062,52.031,50.968,0,306,1020,,7120,1437,3194,2911,16.7,1728
18.1,2026-08-05T04:04:25.457682+00:00,52.031,51.062,52.031,50.968,0,306,1020,,7160,1437,3194,2911,16.8,1728
19.1,2026-08-05T04:04:26.463015+00:00,52.125,51.125,52.125,50.968,0,306,1020,,7120,1437,3194,2911,16.7,1728
20.1,2026-08-05T04:04:27.468389+00:00,51.687,51.093,51.687,51,0,306,1020,,7120,1437,3194,2911,16.7,1728
21.1,2026-08-05T04:04:28.473739+00:00,51.718,51.312,51.718,51.093,0,306,1020,,7108,1437,3194,2911,16.7,1728
22.1,2026-08-05T04:04:29.479081+00:00,51.687,51.187,51.687,51.062,0,306,1020,,7160,1437,3194,2911,16.7,1728
23.1,2026-08-05T04:04:30.484348+00:00,51.875,51.312,51.875,51.156,0,306,1020,,7120,1437,3194,2911,16.8,1728
