08-05-2026 00:04:08 RAM 1686/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [19%@1728,20%@1728,19%@1728,97%@1728,20%@729,19%@729] GR3D_FREQ 0% cpu@51C soc2@48.687C soc0@50.437C gpu@51.25C tj@51.25C soc1@50.25C VDD_IN 7440mW/7440mW VDD_CPU_GPU_CV 1597mW/1597mW VDD_SOC 3234mW/3234mW
08-05-2026 00:04:09 RAM 1721/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.656C soc2@48.906C soc0@50.562C gpu@51.343C tj@51.343C soc1@50.375C VDD_IN 7400mW/7420mW VDD_CPU_GPU_CV 1557mW/1577mW VDD_SOC 3274mW/3254mW
08-05-2026 00:04:10 RAM 1762/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.781C soc2@48.843C soc0@50.593C gpu@51.312C tj@51.312C soc1@50.218C VDD_IN 7400mW/7413mW VDD_CPU_GPU_CV 1557mW/1570mW VDD_SOC 3274mW/3261mW
08-05-2026 00:04:11 RAM 1806/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.937C soc2@48.875C soc0@50.468C gpu@51.312C tj@51.312C soc1@50.25C VDD_IN 7480mW/7430mW VDD_CPU_GPU_CV 1517mW/1557mW VDD_SOC 3314mW/3274mW
08-05-2026 00:04:12 RAM 1845/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51C soc2@48.968C soc0@50.562C gpu@51.5C tj@51.5C soc1@50.406C VDD_IN 7440mW/7432mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 3274mW/3274mW
08-05-2026 00:04:13 RAM 1853/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@48.968C soc0@50.718C gpu@51.468C tj@51.468C soc1@50.406C VDD_IN 7360mW/7420mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 3234mW/3267mW
08-05-2026 00:04:14 RAM 1874/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@1728,7%@1728,7%@1728,100%@1728,6%@729,6%@729] GR3D_FREQ 0% cpu@51.031C soc2@49.093C soc0@50.687C gpu@51.5C tj@51.5C soc1@50.531C VDD_IN 7520mW/7434mW VDD_CPU_GPU_CV 1677mW/1574mW VDD_SOC 3274mW/3268mW
08-05-2026 00:04:15 RAM 1891/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,0%@729,0%@729,89%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.468C soc2@49C soc0@50.812C gpu@51.281C tj@51.281C soc1@50.343C VDD_IN 7120mW/7395mW VDD_CPU_GPU_CV 1277mW/1537mW VDD_SOC 3274mW/3269mW
08-05-2026 00:04:16 RAM 1893/7620MB (lfb 97x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,46%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.468C soc2@48.968C soc0@50.656C gpu@51.218C tj@51.218C soc1@50.437C VDD_IN 6400mW/7284mW VDD_CPU_GPU_CV 998mW/1477mW VDD_SOC 2995mW/3239mW
08-05-2026 00:04:17 RAM 2125/7620MB (lfb 90x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,92%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.937C soc2@49.062C soc0@50.781C gpu@51.656C tj@51.656C soc1@50.656C VDD_IN 7280mW/7284mW VDD_CPU_GPU_CV 1557mW/1485mW VDD_SOC 3194mW/3234mW
08-05-2026 00:04:18 RAM 2223/7620MB (lfb 67x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.906C soc2@49.125C soc0@50.843C gpu@51.687C tj@51.687C soc1@50.687C VDD_IN 7280mW/7284mW VDD_CPU_GPU_CV 1517mW/1488mW VDD_SOC 3234mW/3234mW
08-05-2026 00:04:19 RAM 2223/7620MB (lfb 67x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.843C soc2@49.187C soc0@50.812C gpu@51.687C tj@51.687C soc1@50.593C VDD_IN 7080mW/7267mW VDD_CPU_GPU_CV 1397mW/1480mW VDD_SOC 3194mW/3231mW
08-05-2026 00:04:20 RAM 2461/7620MB (lfb 36x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 0% cpu@51.093C soc2@49.187C soc0@50.968C gpu@51.843C tj@51.843C soc1@50.625C VDD_IN 7320mW/7271mW VDD_CPU_GPU_CV 1557mW/1486mW VDD_SOC 3234mW/3231mW
08-05-2026 00:04:21 RAM 2714/7620MB (lfb 10x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.968C soc2@49.25C soc0@50.843C gpu@51.875C tj@51.875C soc1@50.687C VDD_IN 7360mW/7277mW VDD_CPU_GPU_CV 1597mW/1494mW VDD_SOC 3234mW/3231mW
08-05-2026 00:04:22 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,1%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.156C soc2@49.281C soc0@50.843C gpu@51.875C tj@51.875C soc1@50.687C VDD_IN 7400mW/7285mW VDD_CPU_GPU_CV 1637mW/1504mW VDD_SOC 3234mW/3231mW
08-05-2026 00:04:23 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.093C soc2@49.281C soc0@51.031C gpu@51.906C tj@51.906C soc1@50.718C VDD_IN 7160mW/7278mW VDD_CPU_GPU_CV 1437mW/1500mW VDD_SOC 3194mW/3229mW
08-05-2026 00:04:24 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@49.375C soc0@50.968C gpu@52.031C tj@52.031C soc1@50.687C VDD_IN 7120mW/7268mW VDD_CPU_GPU_CV 1437mW/1496mW VDD_SOC 3194mW/3227mW
08-05-2026 00:04:25 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@49.312C soc0@50.968C gpu@52.031C tj@52.031C soc1@50.75C VDD_IN 7160mW/7262mW VDD_CPU_GPU_CV 1437mW/1493mW VDD_SOC 3194mW/3225mW
08-05-2026 00:04:26 RAM 2911/7620MB (lfb 9x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.125C soc2@49.375C soc0@50.968C gpu@52.125C tj@52.125C soc1@50.843C VDD_IN 7120mW/7255mW VDD_CPU_GPU_CV 1437mW/1490mW VDD_SOC 3194mW/3224mW
