elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-02T00:13:27.525004+00:00,50.375,49.812,50.375,50.125,0,306,1020,,5568,600,2800,473,0.0,729
2.0,2026-08-02T00:13:28.528038+00:00,50.687,49.812,50.687,50,0,306,1020,,5528,560,2760,473,0.5,729
3.0,2026-08-02T00:13:29.533964+00:00,50.625,49.625,50.625,50.062,0,306,1020,,5528,560,2760,473,0.2,729
4.0,2026-08-02T00:13:30.539786+00:00,50.625,49.437,50.625,50,0,306,1020,,5488,560,2760,473,0.3,729
5.0,2026-08-02T00:13:31.545502+00:00,50.468,49.531,50.468,50.031,0,306,1020,,5488,560,2760,473,0.2,729
6.0,2026-08-02T00:13:32.551207+00:00,50.562,49.593,50.562,50.125,0,306,1020,,5488,560,2760,473,0.0,729
7.1,2026-08-02T00:13:33.556965+00:00,50.625,49.812,50.437,49.937,0,306,1020,,5488,560,2760,473,0.0,729
8.1,2026-08-02T00:13:34.562730+00:00,50.406,49.656,50.406,50,0,306,1020,,5528,560,2760,473,0.3,729
9.1,2026-08-02T00:13:35.568403+00:00,50.406,49.406,50.406,49.937,0,306,1020,,5528,560,2760,473,0.0,729
10.1,2026-08-02T00:13:36.573989+00:00,50.437,49.5,50.437,50.031,0,306,1020,,5488,560,2760,473,0.0,729
11.1,2026-08-02T00:13:37.579400+00:00,50.437,49.656,50.437,50.031,0,306,1020,,5488,560,2764,473,0.0,729
12.1,2026-08-02T00:13:38.585493+00:00,50.5,49.812,50.5,49.843,0,306,1020,,5528,560,2760,473,0.0,729
13.1,2026-08-02T00:13:39.590738+00:00,50.406,49.593,50.406,49.937,0,306,1020,,5488,560,2760,473,0.7,729
14.1,2026-08-02T00:13:40.596759+00:00,50.625,49.375,50.625,49.906,0,306,1020,,5488,560,2760,473,0.0,729
15.1,2026-08-02T00:13:41.602609+00:00,50.718,49.5,50.718,49.968,0,306,1020,,5528,560,2760,473,0.2,729
16.1,2026-08-02T00:13:42.607812+00:00,50.718,49.593,50.718,50.031,0,306,1020,,5488,560,2760,473,0.0,729
17.1,2026-08-02T00:13:43.613491+00:00,50.687,49.718,50.687,49.812,0,306,1020,,5488,560,2760,473,0.2,729
18.1,2026-08-02T00:13:44.619589+00:00,50.656,49.625,50.656,49.875,0,306,1020,,5488,560,2760,473,0.0,729
19.1,2026-08-02T00:13:45.624954+00:00,50.718,49.375,50.718,49.875,0,306,1020,,5488,560,2760,473,0.2,729
20.1,2026-08-02T00:13:46.630464+00:00,50.843,49.968,50.843,49.906,0,306,1020,,6249,1000,2924,486,8.3,1728
21.1,2026-08-02T00:13:47.639678+00:00,50.468,49.593,50.468,49.875,0,306,1020,,6249,800,2884,489,9.0,729
22.1,2026-08-02T00:13:48.643639+00:00,50.656,50.218,50.656,49.875,0,306,1020,,7371,1600,3205,671,20.3,1728
23.1,2026-08-02T00:13:49.648947+00:00,50.718,50.406,50.718,49.968,0,306,1020,,7491,1640,3280,709,16.8,1728
24.2,2026-08-02T00:13:50.654277+00:00,50.781,50.343,50.781,50,0,306,1020,,7532,1640,3280,744,16.3,1728
25.2,2026-08-02T00:13:51.660407+00:00,50.718,50.187,50.718,50.062,0,306,1020,,6850,1200,3080,774,13.7,1728
26.2,2026-08-02T00:13:52.669059+00:00,50.437,49.781,50.437,49.937,0,306,1020,,5969,680,2804,776,3.3,729
27.2,2026-08-02T00:13:53.679014+00:00,50.531,49.875,50.531,49.968,0,306,1020,,5929,720,2804,783,7.7,1190
28.2,2026-08-02T00:13:54.682451+00:00,50.656,49.875,50.656,50.031,0,306,1020,,6650,1040,3044,799,13.3,1036
29.2,2026-08-02T00:13:55.688164+00:00,50.875,50.343,50.875,50.187,0,306,1020,,6971,1200,3124,820,12.3,1344
30.2,2026-08-02T00:13:56.693390+00:00,50.875,50.781,50.875,49.968,0,306,1020,,7411,1480,3285,838,14.8,1728
31.2,2026-08-02T00:13:57.699055+00:00,50.843,49.968,50.625,50,0,306,1020,,6891,1080,3080,843,10.0,1113
32.2,2026-08-02T00:13:58.707401+00:00,50.625,49.843,50.625,50.093,0,306,1020,,6049,760,2844,846,9.5,729
33.2,2026-08-02T00:13:59.711733+00:00,50.75,50.656,50.75,50,0,306,1020,,6770,1280,3044,848,13.5,1728
34.2,2026-08-02T00:14:00.718766+00:00,50.718,49.937,50.843,50,0,306,1020,,6650,1080,3004,864,15.5,1190
35.2,2026-08-02T00:14:01.727333+00:00,50.781,49.812,50.781,50.125,0,306,1020,,6009,720,2844,863,8.0,729
36.2,2026-08-02T00:14:02.732291+00:00,50.812,49.843,50.812,50.187,0,306,1020,,6450,920,2924,871,11.2,1728
37.2,2026-08-02T00:14:03.741338+00:00,50.718,49.843,50.718,50.312,0,306,1020,,6770,1120,3084,882,12.5,729
38.2,2026-08-02T00:14:04.748941+00:00,51,49.906,51,50.187,0,306,1020,,6490,1040,3000,888,10.8,729
39.3,2026-08-02T00:14:05.754473+00:00,51.031,50.312,51.031,50.218,0,306,1020,,7291,1520,3200,1117,15.5,1728
40.3,2026-08-02T00:14:06.760833+00:00,51.062,50.312,51.062,50.281,0,306,1020,,6931,1240,3080,1123,13.2,1420
41.3,2026-08-02T00:14:07.766082+00:00,50.937,50.593,50.937,50.187,0,306,1020,,7211,1480,3200,1215,16.7,1728
42.3,2026-08-02T00:14:08.771668+00:00,51.062,51.281,51.281,50.218,0,306,1020,,7371,1640,3240,1335,16.7,1728
43.3,2026-08-02T00:14:09.776920+00:00,51.093,50.843,51.093,50.281,0,306,1020,,7451,1680,3240,1588,16.7,1728
44.3,2026-08-02T00:14:10.782477+00:00,51.156,50.812,51.156,50.406,0,306,1020,,7451,1680,3240,1845,16.7,1728
45.3,2026-08-02T00:14:11.787774+00:00,51.062,50.468,51.062,50.437,0,306,1020,,7291,1560,3240,1905,15.7,1728
46.3,2026-08-02T00:14:12.793070+00:00,51.093,50.656,51.093,50.531,0,306,1020,,7211,1520,3200,1905,16.7,1728
47.3,2026-08-02T00:14:13.798495+00:00,51.218,50.968,51.218,50.437,0,306,1020,,7251,1520,3240,1905,16.8,1728
48.3,2026-08-02T00:14:14.803787+00:00,51.218,50.687,51.218,50.468,0,306,1020,,7251,1560,3200,1905,16.8,1728
