elapsed_s,leg,sign,phase,timestamp,cmd_vx,odom_vx,odom_vy,odom_omega,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,pos_right_gripper,pos_right_shoulder_lift,pos_right_shoulder_pan,pos_right_elbow_flex,load_right_gripper,load_right_shoulder_lift,load_right_shoulder_pan,load_right_elbow_flex,grip_dev
0.006,0,1,ramp_up,2026-08-05T06:16:10.697905+00:00,0.0,0.0,0.0,0.0,0,0,0,2407,2099,1967,2130,56,114,1052,80,0
0.055,0,1,ramp_up,2026-08-05T06:16:10.747024+00:00,0.0125,0.0,0.0,0.0,0,0,0,2407,2099,1967,2130,56,114,1052,80,0
0.106,0,1,ramp_up,2026-08-05T06:16:10.797849+00:00,0.025,0.0,0.0,0.0,0,0,0,2407,2099,1967,2130,56,114,1052,80,0
0.154,0,1,ramp_up,2026-08-05T06:16:10.846721+00:00,0.0376,0.0,0.0,0.0,0,0,0,2407,2099,1967,2130,56,114,1052,80,0
0.207,0,1,ramp_up,2026-08-05T06:16:10.899013+00:00,0.0501,0.0089,0.0026,1.17,-50,0,150,2407,2099,1967,2130,56,114,1052,80,0
0.255,0,1,ramp_up,2026-08-05T06:16:10.947356+00:00,0.0626,0.0221,0.0026,1.17,-200,0,300,2407,2099,1966,2130,56,114,1054,80,0
0.306,0,1,ramp_up,2026-08-05T06:16:10.998008+00:00,0.0751,0.0266,0.0026,1.17,-250,0,350,2407,2099,1966,2130,56,114,1054,80,0
0.355,0,1,ramp_up,2026-08-05T06:16:11.047155+00:00,0.0876,0.0376,0.0013,0.59,-400,0,450,2407,2099,1966,2130,56,114,1054,80,0
0.405,0,1,ramp_up,2026-08-05T06:16:11.097612+00:00,0.1002,0.0487,0.0,0.0,-550,0,550,2407,2099,1966,2130,56,114,1054,80,0
0.455,0,1,ramp_up,2026-08-05T06:16:11.147441+00:00,0.1127,0.0554,-0.0013,-0.59,-650,0,600,2407,2099,1966,2130,56,114,1054,80,0
0.506,0,1,ramp_up,2026-08-05T06:16:11.198611+00:00,0.1252,0.0686,0.0013,0.59,-750,0,800,2407,2099,1966,2130,56,114,1054,80,0
0.556,0,1,ramp_up,2026-08-05T06:16:11.247758+00:00,0.1377,0.0775,-0.0013,-0.59,-900,0,850,2407,2099,1966,2130,56,114,1054,80,0
0.606,0,1,ramp_up,2026-08-05T06:16:11.297839+00:00,0.1502,0.0819,0.0013,0.59,-900,0,950,2407,2099,1966,2131,56,114,1054,86,0
0.656,0,1,ramp_up,2026-08-05T06:16:11.347818+00:00,0.1628,0.093,0.0,0.0,-1050,0,1050,2407,2099,1966,2131,56,114,1054,82,0
0.706,0,1,ramp_up,2026-08-05T06:16:11.397973+00:00,0.1753,0.0996,0.0038,0.0,-1100,-50,1150,2407,2099,1966,2131,56,114,1054,82,0
0.756,0,1,ramp_up,2026-08-05T06:16:11.447971+00:00,0.1878,0.1129,-0.0013,-0.59,-1300,0,1250,2407,2099,1966,2131,56,114,1054,82,0
0.806,0,1,ramp_up,2026-08-05T06:16:11.498011+00:00,0.2003,0.1173,0.0013,0.59,-1300,0,1350,2407,2099,1966,2131,56,114,1054,82,0
0.856,0,1,ramp_up,2026-08-05T06:16:11.548093+00:00,0.2128,0.1284,-0.0026,0.59,-1450,50,1450,2407,2099,1967,2131,56,114,1052,82,0
0.906,0,1,ramp_up,2026-08-05T06:16:11.598126+00:00,0.2254,0.1351,0.0038,0.0,-1500,-50,1550,2407,2099,1967,2131,56,114,1052,82,0
0.957,0,1,ramp_up,2026-08-05T06:16:11.649412+00:00,0.2379,0.1439,0.0013,0.59,-1600,0,1650,2407,2099,1967,2131,56,114,1052,82,0
1.006,0,1,ramp_up,2026-08-05T06:16:11.698394+00:00,0.2504,0.1572,0.0013,0.59,-1750,0,1800,2407,2099,1966,2131,56,114,1058,82,0
1.056,0,1,ramp_up,2026-08-05T06:16:11.748380+00:00,0.2629,0.1661,0.0013,0.59,-1850,0,1900,2407,2099,1965,2131,56,114,1056,82,0
1.107,0,1,ramp_up,2026-08-05T06:16:11.799376+00:00,0.2754,0.1705,-0.0013,-2.34,-2000,-50,1850,2407,2099,1965,2131,56,114,1056,82,0
1.156,0,1,ramp_up,2026-08-05T06:16:11.848430+00:00,0.288,0.1793,-0.0064,-1.17,-2100,50,1950,2407,2099,1966,2131,56,114,1050,82,0
1.207,0,1,dwell,2026-08-05T06:16:11.899287+00:00,0.3,0.186,0.0,0.0,-2100,0,2100,2407,2099,1967,2131,56,114,1048,82,0
1.257,0,1,dwell,2026-08-05T06:16:11.948824+00:00,0.3,0.1838,-0.0013,-0.59,-2100,0,2050,2407,2099,1970,2131,56,114,1042,82,0
1.308,0,1,dwell,2026-08-05T06:16:12.000724+00:00,0.3,0.1793,-0.0013,-0.59,-2050,0,2000,2407,2099,1973,2131,56,114,20,82,0
1.358,0,1,dwell,2026-08-05T06:16:12.049779+00:00,0.3,0.186,0.0051,0.59,-2050,-50,2150,2407,2099,1974,2131,56,114,0,82,0
1.407,0,1,dwell,2026-08-05T06:16:12.099026+00:00,0.3,0.1838,0.0013,0.59,-2050,0,2100,2407,2099,1972,2131,56,114,1046,82,0
1.457,0,1,dwell,2026-08-05T06:16:12.148920+00:00,0.3,0.1882,0.0038,1.76,-2050,0,2200,2407,2099,1971,2131,56,114,1048,82,0
1.507,0,1,dwell,2026-08-05T06:16:12.199094+00:00,0.3,0.186,0.0,0.0,-2100,0,2100,2407,2099,1970,2131,56,114,1046,82,0
1.557,0,1,dwell,2026-08-05T06:16:12.249032+00:00,0.3,0.1926,0.0013,0.59,-2150,0,2200,2407,2099,1970,2131,56,114,1046,82,0
1.607,0,1,ramp_down,2026-08-05T06:16:12.299002+00:00,0.2994,0.1882,0.0038,1.76,-2050,0,2200,2407,2099,1970,2131,56,114,1046,82,0
1.657,0,1,ramp_down,2026-08-05T06:16:12.349067+00:00,0.2869,0.1838,0.0013,0.59,-2050,0,2100,2407,2099,1970,2131,56,114,1046,82,0
1.707,0,1,ramp_down,2026-08-05T06:16:12.399498+00:00,0.2743,0.1882,0.0038,1.76,-2050,0,2200,2407,2099,1970,2131,56,114,1046,82,0
1.757,0,1,ramp_down,2026-08-05T06:16:12.449222+00:00,0.2618,0.1838,0.0013,0.59,-2050,0,2100,2407,2099,1971,2131,56,114,1044,82,0
1.807,0,1,ramp_down,2026-08-05T06:16:12.499619+00:00,0.2493,0.1838,-0.0038,-1.76,-2150,0,2000,2407,2096,1969,2132,56,110,1056,84,0
1.858,0,1,ramp_down,2026-08-05T06:16:12.549994+00:00,0.2368,0.1816,0.0,0.0,-2050,0,2050,2407,2098,1973,2131,56,116,18,78,0
1.908,0,1,ramp_down,2026-08-05T06:16:12.600336+00:00,0.2243,0.186,0.0051,2.34,-2000,0,2200,2407,2103,1964,2134,56,130,1070,92,0
1.958,0,1,ramp_down,2026-08-05T06:16:12.649779+00:00,0.2117,0.186,0.0051,2.34,-2000,0,2200,2407,2110,1962,2134,56,148,1066,88,0
2.008,0,1,ramp_down,2026-08-05T06:16:12.699881+00:00,0.1992,0.1971,0.0115,5.27,-2000,0,2450,2407,2112,1962,2134,56,148,1062,88,0
