elapsed_s,timestamp,scale,cmd_base_left_wheel,cmd_base_back_wheel,cmd_base_right_wheel,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,odom_vx,odom_vy,odom_omega
0.0,2026-08-05T05:27:51.835506+00:00,0.0,0,0,0,0,0,0,0.0,0.0,0.0
0.05,2026-08-05T05:27:51.889710+00:00,0.1,-57,0,57,0,0,0,0.0,0.0,0.0
0.1,2026-08-05T05:27:51.937383+00:00,0.2,-113,0,113,0,0,0,0.0,0.0,0.0
0.151,2026-08-05T05:27:51.986427+00:00,0.301,-170,0,170,0,0,0,0.0,0.0,0.0
0.201,2026-08-05T05:27:52.041667+00:00,0.402,-227,0,227,-50,0,50,0.0044,0.0,0.0
0.251,2026-08-05T05:27:52.086828+00:00,0.503,-284,0,284,-150,0,150,0.0133,0.0,0.0
0.301,2026-08-05T05:27:52.136739+00:00,0.603,-341,0,341,-200,0,250,0.0199,0.0013,0.59
0.351,2026-08-05T05:27:52.186783+00:00,0.703,-397,0,397,-250,0,250,0.0221,0.0,0.0
0.402,2026-08-05T05:27:52.244238+00:00,0.804,-454,0,454,-350,0,300,0.0288,-0.0013,-0.59
0.452,2026-08-05T05:27:52.287597+00:00,0.904,-511,0,511,-350,0,350,0.031,0.0,0.0
0.502,2026-08-05T05:27:52.340785+00:00,1.0,-565,0,565,-450,0,400,0.0376,-0.0013,-0.59
0.552,2026-08-05T05:27:52.387626+00:00,1.0,-565,0,565,-500,0,450,0.0421,-0.0013,-0.59
0.602,2026-08-05T05:27:52.437589+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
0.652,2026-08-05T05:27:52.487736+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
0.703,2026-08-05T05:27:52.538483+00:00,1.0,-565,0,565,-600,0,600,0.0531,0.0,0.0
0.753,2026-08-05T05:27:52.589030+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
0.804,2026-08-05T05:27:52.639495+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
0.854,2026-08-05T05:27:52.689469+00:00,1.0,-565,0,565,-550,0,500,0.0465,-0.0013,-0.59
0.904,2026-08-05T05:27:52.739374+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
0.954,2026-08-05T05:27:52.789763+00:00,1.0,-565,0,565,-550,0,500,0.0465,-0.0013,-0.59
1.005,2026-08-05T05:27:52.840456+00:00,1.0,-565,0,565,-600,0,550,0.0509,-0.0013,-0.59
1.055,2026-08-05T05:27:52.890987+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
1.106,2026-08-05T05:27:52.941437+00:00,1.0,-565,0,565,-500,0,550,0.0465,0.0013,0.59
1.156,2026-08-05T05:27:52.991866+00:00,1.0,-565,0,565,-550,0,500,0.0465,-0.0013,-0.59
1.207,2026-08-05T05:27:53.046367+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
1.257,2026-08-05T05:27:53.093179+00:00,1.0,-565,0,565,-550,0,600,0.0509,0.0013,0.59
1.307,2026-08-05T05:27:53.142378+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
1.357,2026-08-05T05:27:53.192294+00:00,1.0,-565,0,565,-600,0,600,0.0531,0.0,0.0
1.407,2026-08-05T05:27:53.242387+00:00,1.0,-565,0,565,-550,0,600,0.0509,0.0013,0.59
1.458,2026-08-05T05:27:53.293296+00:00,1.0,-565,0,565,-550,0,550,0.0487,0.0,0.0
1.508,2026-08-05T05:27:53.343743+00:00,0.984,-556,0,556,-550,0,500,0.0465,-0.0013,-0.59
1.559,2026-08-05T05:27:53.397563+00:00,0.883,-499,0,499,-600,0,600,0.0531,0.0,0.0
1.609,2026-08-05T05:27:53.444063+00:00,0.783,-442,0,442,-500,0,500,0.0443,0.0,0.0
1.659,2026-08-05T05:27:53.494118+00:00,0.683,-386,0,386,-500,0,450,0.0421,-0.0013,-0.59
1.709,2026-08-05T05:27:53.544224+00:00,0.582,-329,0,329,-450,0,400,0.0376,-0.0013,-0.59
1.759,2026-08-05T05:27:53.594188+00:00,0.482,-272,0,272,-400,0,400,0.0354,0.0,0.0
1.809,2026-08-05T05:27:53.647238+00:00,0.381,-215,0,215,-300,0,250,0.0244,-0.0013,-0.59
1.86,2026-08-05T05:27:53.695891+00:00,0.28,-158,0,158,-250,0,250,0.0221,0.0,0.0
1.91,2026-08-05T05:27:53.745420+00:00,0.18,-102,0,102,-200,0,200,0.0177,0.0,0.0
1.96,2026-08-05T05:27:53.796203+00:00,0.079,-45,0,45,-150,0,150,0.0133,0.0,0.0
