elapsed_s,timestamp,scale,cmd_base_left_wheel,cmd_base_back_wheel,cmd_base_right_wheel,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,odom_vx,odom_vy,odom_omega
0.0,2026-08-05T05:37:03.367573+00:00,0.0,0,0,0,0,0,0,0.0,0.0,0.0
0.051,2026-08-05T05:37:03.420081+00:00,0.101,43,43,43,0,0,0,0.0,0.0,0.0
0.101,2026-08-05T05:37:03.472304+00:00,0.202,86,86,86,0,0,0,0.0,0.0,0.0
0.151,2026-08-05T05:37:03.518452+00:00,0.302,129,129,129,0,0,0,0.0,0.0,0.0
0.201,2026-08-05T05:37:03.570453+00:00,0.402,172,172,172,0,0,0,0.0,0.0,0.0
0.251,2026-08-05T05:37:03.618835+00:00,0.503,215,215,215,50,50,50,0.0,0.0,1.76
0.302,2026-08-05T05:37:03.670620+00:00,0.604,258,258,258,200,150,200,0.0,0.0026,6.45
0.352,2026-08-05T05:37:03.720157+00:00,0.705,301,301,301,200,200,250,0.0022,0.0013,7.62
0.403,2026-08-05T05:37:03.770391+00:00,0.806,344,344,344,250,200,250,0.0,0.0026,8.2
0.453,2026-08-05T05:37:03.820900+00:00,0.907,387,387,387,300,350,300,0.0,-0.0026,11.13
0.503,2026-08-05T05:37:03.871021+00:00,1.0,427,427,427,350,350,300,-0.0022,-0.0013,11.72
0.554,2026-08-05T05:37:03.921419+00:00,1.0,427,427,427,350,300,350,-0.0,0.0026,11.72
0.604,2026-08-05T05:37:03.974840+00:00,1.0,427,427,427,350,350,400,0.0022,0.0013,12.89
0.654,2026-08-05T05:37:04.023395+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
0.704,2026-08-05T05:37:04.073577+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
0.754,2026-08-05T05:37:04.121697+00:00,1.0,427,427,427,400,450,400,0.0,-0.0026,14.65
0.804,2026-08-05T05:37:04.172143+00:00,1.0,427,427,427,450,450,350,-0.0044,-0.0026,14.65
0.855,2026-08-05T05:37:04.222665+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
0.905,2026-08-05T05:37:04.272693+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
0.956,2026-08-05T05:37:04.323324+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
1.006,2026-08-05T05:37:04.373850+00:00,1.0,427,427,427,350,400,400,0.0022,-0.0013,13.48
1.056,2026-08-05T05:37:04.424359+00:00,1.0,427,427,427,350,450,350,-0.0,-0.0051,13.48
1.107,2026-08-05T05:37:04.474875+00:00,1.0,427,427,427,350,350,400,0.0022,0.0013,12.89
1.157,2026-08-05T05:37:04.525403+00:00,1.0,427,427,427,450,400,400,-0.0022,0.0013,14.65
1.208,2026-08-05T05:37:04.575913+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
1.258,2026-08-05T05:37:04.626381+00:00,1.0,427,427,427,400,400,400,0.0,0.0,14.06
1.309,2026-08-05T05:37:04.676900+00:00,1.0,427,427,427,350,400,400,0.0022,-0.0013,13.48
1.359,2026-08-05T05:37:04.727339+00:00,1.0,427,427,427,400,350,450,0.0022,0.0038,14.06
1.41,2026-08-05T05:37:04.777713+00:00,1.0,427,427,427,350,400,400,0.0022,-0.0013,13.48
1.46,2026-08-05T05:37:04.827966+00:00,1.0,427,427,427,400,400,450,0.0022,0.0013,14.65
1.511,2026-08-05T05:37:04.878722+00:00,0.978,418,418,418,400,400,400,0.0,0.0,14.06
1.561,2026-08-05T05:37:04.932112+00:00,0.877,375,375,375,450,400,400,-0.0022,0.0013,14.65
1.611,2026-08-05T05:37:04.980745+00:00,0.777,332,332,332,400,400,400,0.0,0.0,14.06
1.662,2026-08-05T05:37:05.030179+00:00,0.677,289,289,289,400,400,350,-0.0022,-0.0013,13.48
1.712,2026-08-05T05:37:05.080018+00:00,0.576,246,246,246,350,350,300,-0.0022,-0.0013,11.72
1.763,2026-08-05T05:37:05.130478+00:00,0.475,203,203,203,300,300,250,-0.0022,-0.0013,9.96
1.813,2026-08-05T05:37:05.181268+00:00,0.374,160,160,160,150,150,200,0.0022,0.0013,5.86
1.863,2026-08-05T05:37:05.232876+00:00,0.273,117,117,117,150,150,200,0.0022,0.0013,5.86
1.914,2026-08-05T05:37:05.283635+00:00,0.172,73,73,73,150,100,100,-0.0022,0.0013,4.1
1.965,2026-08-05T05:37:05.333214+00:00,0.071,30,30,30,100,50,50,-0.0022,0.0013,2.34
