elapsed_s,leg,sign,phase,timestamp,cmd_vx,odom_vx,odom_vy,odom_omega,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,pos_right_gripper,pos_right_shoulder_lift,pos_right_shoulder_pan,pos_right_elbow_flex,load_right_gripper,load_right_shoulder_lift,load_right_shoulder_pan,load_right_elbow_flex,grip_dev
0.013,0,1,ramp_up,2026-08-05T21:00:26.942499+00:00,0.0,0.0,-0.0026,0.59,0,50,0,2432,2097,1965,2132,32,110,1056,84,0
0.055,0,1,ramp_up,2026-08-05T21:00:26.984267+00:00,0.0125,0.0,0.0026,-0.59,0,-50,0,2432,2097,1965,2132,32,110,1056,84,0
0.105,0,1,ramp_up,2026-08-05T21:00:27.034655+00:00,0.0251,-0.0022,0.0013,-1.17,0,-50,-50,2432,2097,1965,2132,32,110,1056,84,0
0.156,0,1,ramp_up,2026-08-05T21:00:27.085330+00:00,0.0378,0.0,0.0026,-0.59,0,-50,0,2432,2097,1965,2132,32,110,1056,84,0
0.206,0,1,ramp_up,2026-08-05T21:00:27.135710+00:00,0.0504,0.0,0.0,0.0,0,0,0,2432,2097,1965,2132,32,110,1056,84,0
0.262,0,1,ramp_up,2026-08-05T21:00:27.191310+00:00,0.063,0.0244,0.0013,2.34,-200,50,350,2432,2097,1965,2132,32,110,1056,84,0
0.307,0,1,ramp_up,2026-08-05T21:00:27.237000+00:00,0.0755,0.0332,0.0038,0.0,-350,-50,400,2432,2097,1965,2132,32,110,1056,84,0
0.357,0,1,ramp_up,2026-08-05T21:00:27.286024+00:00,0.0881,0.0399,-0.0026,0.59,-450,50,450,2432,2097,1965,2132,32,110,1056,84,0
0.407,0,1,ramp_up,2026-08-05T21:00:27.336142+00:00,0.1006,0.0465,0.0038,-0.0,-500,-50,550,2432,2097,1964,2132,32,110,1062,84,0
0.46,0,1,ramp_up,2026-08-05T21:00:27.389114+00:00,0.1131,0.0531,-0.0026,0.59,-600,50,600,2432,2097,1964,2132,32,110,1058,84,0
0.511,0,1,ramp_up,2026-08-05T21:00:27.440722+00:00,0.1257,0.0664,0.0,0.0,-750,0,750,2432,2097,1964,2132,32,110,1058,84,0
0.557,0,1,ramp_up,2026-08-05T21:00:27.486900+00:00,0.1383,0.0709,0.0,0.0,-800,0,800,2432,2097,1964,2132,32,110,1058,84,0
0.607,0,1,ramp_up,2026-08-05T21:00:27.536921+00:00,0.1508,0.0841,0.0,0.0,-950,0,950,2432,2097,1964,2132,32,110,1058,84,0
0.657,0,1,ramp_up,2026-08-05T21:00:27.586996+00:00,0.1633,0.0908,-0.0013,1.17,-1000,50,1050,2432,2097,1964,2132,32,110,1058,84,0
0.708,0,1,ramp_up,2026-08-05T21:00:27.637880+00:00,0.1759,0.1041,-0.0013,-0.59,-1200,0,1150,2432,2097,1964,2132,32,110,1058,84,0
0.758,0,1,ramp_up,2026-08-05T21:00:27.687561+00:00,0.1884,0.1129,-0.0013,1.17,-1250,50,1300,2432,2097,1964,2132,32,110,1058,84,0
0.809,0,1,ramp_up,2026-08-05T21:00:27.738436+00:00,0.2011,0.1218,-0.0013,1.17,-1350,50,1400,2432,2097,1964,2132,32,110,1058,84,0
0.859,0,1,ramp_up,2026-08-05T21:00:27.788883+00:00,0.2137,0.124,0.0,0.0,-1400,0,1400,2432,2097,1964,2132,32,110,1058,84,0
0.91,0,1,ramp_up,2026-08-05T21:00:27.839424+00:00,0.2263,0.1417,0.0102,1.17,-1500,-100,1700,2432,2097,1964,2132,32,110,1058,84,0
0.961,0,1,ramp_up,2026-08-05T21:00:27.890033+00:00,0.2389,0.1461,0.0026,-0.59,-1650,-50,1650,2432,2097,1964,2132,32,110,1058,84,0
1.011,0,1,ramp_up,2026-08-05T21:00:27.940849+00:00,0.2516,0.1572,-0.0013,-0.59,-1800,0,1750,2432,2097,1964,2132,32,110,1058,84,0
1.061,0,1,ramp_up,2026-08-05T21:00:27.990885+00:00,0.2642,0.1661,0.0013,-1.17,-1900,-50,1850,2432,2097,1964,2132,32,110,1058,84,0
1.112,0,1,ramp_up,2026-08-05T21:00:28.041444+00:00,0.2768,0.1727,0.0026,1.17,-1900,0,2000,2432,2097,1965,2132,32,110,1052,84,0
1.162,0,1,ramp_up,2026-08-05T21:00:28.092007+00:00,0.2894,0.1771,0.0,0.0,-2000,0,2000,2432,2097,1965,2132,32,110,1056,84,0
1.213,0,1,dwell,2026-08-05T21:00:28.142449+00:00,0.3,0.1793,0.0038,0.0,-2000,-50,2050,2432,2097,1965,2132,32,110,1056,84,0
1.264,0,1,dwell,2026-08-05T21:00:28.193343+00:00,0.3,0.1838,0.0038,1.76,-2000,0,2150,2432,2097,1965,2132,32,110,1056,84,0
1.318,0,1,dwell,2026-08-05T21:00:28.247687+00:00,0.3,0.1816,0.0,0.0,-2050,0,2050,2432,2097,1965,2132,32,110,1056,84,0
1.364,0,1,dwell,2026-08-05T21:00:28.293157+00:00,0.3,0.1838,-0.0013,-0.59,-2100,0,2050,2432,2097,1966,2132,32,110,1054,84,0
1.414,0,1,dwell,2026-08-05T21:00:28.343862+00:00,0.3,0.1838,-0.0013,-0.59,-2100,0,2050,2432,2097,1967,2132,32,110,1052,84,0
