elapsed_s,leg,sign,phase,timestamp,cmd_vx,odom_vx,odom_vy,odom_omega,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,pos_right_gripper,pos_right_shoulder_lift,pos_right_shoulder_pan,pos_right_elbow_flex,load_right_gripper,load_right_shoulder_lift,load_right_shoulder_pan,load_right_elbow_flex,grip_dev
0.006,0,1,ramp_up,2026-08-05T20:51:35.720055+00:00,0.0,0.0,0.0,0.0,0,0,0,2448,2095,1971,2135,54,106,1044,90,11
0.054,0,1,ramp_up,2026-08-05T20:51:35.767916+00:00,0.0125,0.0,0.0,0.0,0,0,0,2448,2095,1971,2135,54,106,1044,90,11
0.104,0,1,ramp_up,2026-08-05T20:51:35.818018+00:00,0.025,0.0,0.0,0.0,0,0,0,2448,2095,1971,2135,54,106,1044,90,11
0.154,0,1,ramp_up,2026-08-05T20:51:35.868121+00:00,0.0376,0.0022,-0.0013,-0.59,-50,0,0,2448,2095,1971,2135,54,106,1044,90,11
0.205,0,1,ramp_up,2026-08-05T20:51:35.918625+00:00,0.0501,0.0,0.0,0.0,0,0,0,2448,2095,1971,2135,54,106,1044,90,11
0.255,0,1,ramp_up,2026-08-05T20:51:35.968374+00:00,0.0626,0.0199,-0.0013,2.93,-150,100,300,2448,2095,1971,2135,54,106,1044,90,11
0.306,0,1,ramp_up,2026-08-05T20:51:36.019269+00:00,0.0751,0.0332,-0.0013,-0.59,-400,0,350,2448,2095,1971,2135,54,106,1044,90,11
0.355,0,1,ramp_up,2026-08-05T20:51:36.068460+00:00,0.0876,0.0376,0.0064,1.17,-350,-50,500,2448,2095,1969,2135,54,106,1052,90,11
0.405,0,1,ramp_up,2026-08-05T20:51:36.118621+00:00,0.1002,0.0487,0.0,0.0,-550,0,550,2448,2095,1966,2135,54,106,1058,90,11
0.455,0,1,ramp_up,2026-08-05T20:51:36.168618+00:00,0.1127,0.0554,0.0013,0.59,-600,0,650,2448,2095,1965,2135,54,106,1056,90,11
0.505,0,1,ramp_up,2026-08-05T20:51:36.218618+00:00,0.1252,0.0664,-0.0026,-1.17,-800,0,700,2448,2095,1965,2135,54,106,1056,90,11
0.555,0,1,ramp_up,2026-08-05T20:51:36.268759+00:00,0.1377,0.0753,0.0,0.0,-850,0,850,2448,2095,1966,2135,54,106,1050,90,11
0.605,0,1,ramp_up,2026-08-05T20:51:36.318768+00:00,0.1502,0.0841,-0.0051,-0.59,-1000,50,900,2448,2095,1966,2135,54,106,1054,90,11
0.655,0,1,ramp_up,2026-08-05T20:51:36.368787+00:00,0.1628,0.0952,-0.0064,0.59,-1100,100,1050,2448,2095,1966,2135,54,106,1054,90,11
0.705,0,1,ramp_up,2026-08-05T20:51:36.419033+00:00,0.1753,0.1041,-0.0013,-0.59,-1200,0,1150,2448,2095,1966,2135,54,106,1054,90,11
0.755,0,1,ramp_up,2026-08-05T20:51:36.469118+00:00,0.1878,0.1107,0.0,0.0,-1250,0,1250,2448,2095,1967,2135,54,106,1052,90,11
0.806,0,1,ramp_up,2026-08-05T20:51:36.519159+00:00,0.2003,0.1173,0.0038,0.0,-1300,-50,1350,2448,2095,1967,2135,54,106,1052,90,11
0.856,0,1,ramp_up,2026-08-05T20:51:36.569154+00:00,0.2128,0.1262,0.0013,0.59,-1400,0,1450,2448,2095,1966,2135,54,106,1054,90,11
0.906,0,1,ramp_up,2026-08-05T20:51:36.619704+00:00,0.2253,0.1373,0.0,1.76,-1500,50,1600,2448,2095,1966,2135,54,106,1054,90,11
0.956,0,1,ramp_up,2026-08-05T20:51:36.669400+00:00,0.2379,0.1439,0.0013,0.59,-1600,0,1650,2448,2095,1966,2135,54,106,1054,90,11
1.006,0,1,ramp_up,2026-08-05T20:51:36.719376+00:00,0.2504,0.1594,0.0026,1.17,-1750,0,1850,2448,2095,1966,2135,54,106,1054,90,11
1.056,0,1,ramp_up,2026-08-05T20:51:36.769540+00:00,0.2629,0.1616,-0.0013,-0.59,-1850,0,1800,2448,2095,1966,2135,54,106,1054,90,11
1.108,0,1,ramp_up,2026-08-05T20:51:36.821617+00:00,0.2754,0.1705,-0.0013,-0.59,-1950,0,1900,2448,2095,1966,2135,54,106,1054,90,11
1.156,0,1,ramp_up,2026-08-05T20:51:36.869652+00:00,0.2879,0.1816,0.0026,-0.59,-2050,-50,2050,2448,2095,1966,2135,54,106,1054,90,11
1.208,0,1,dwell,2026-08-05T20:51:36.921558+00:00,0.3,0.1816,0.0026,1.17,-2000,0,2100,2448,2095,1968,2135,54,106,1046,90,11
1.256,0,1,dwell,2026-08-05T20:51:36.969853+00:00,0.3,0.1771,0.0,0.0,-2000,0,2000,2448,2095,1969,2135,54,106,1048,90,11
1.306,0,1,dwell,2026-08-05T20:51:37.019932+00:00,0.3,0.1793,-0.0013,-0.59,-2050,0,2000,2448,2095,1969,2135,54,106,1048,90,11
1.357,0,1,dwell,2026-08-05T20:51:37.070225+00:00,0.3,0.1793,-0.0013,1.17,-2000,50,2050,2448,2095,1969,2135,54,106,1048,90,11
