elapsed_s,leg,sign,phase,timestamp,cmd_vx,odom_vx,odom_vy,odom_omega,act_base_left_wheel,act_base_back_wheel,act_base_right_wheel,cur_base_left_wheel,cur_base_back_wheel,cur_base_right_wheel,pos_right_gripper,pos_right_shoulder_lift,pos_right_shoulder_pan,pos_right_elbow_flex,load_right_gripper,load_right_shoulder_lift,load_right_shoulder_pan,load_right_elbow_flex,grip_dev
0.009,0,1,ramp_up,2026-08-05T21:17:06.567008+00:00,0.0,0.0,0.0026,-0.59,0,-50,0,0,0,0,2390,2097,1964,2132,34,110,1058,84,0
0.056,0,1,ramp_up,2026-08-05T21:17:06.613969+00:00,0.0125,0.0,0.0,0.0,0,0,0,0,0,0,2390,2097,1964,2132,34,110,1058,84,0
0.105,0,1,ramp_up,2026-08-05T21:17:06.663097+00:00,0.025,0.0,-0.0026,0.59,0,50,0,1,0,0,2390,2097,1964,2132,34,110,1058,84,0
0.156,0,1,ramp_up,2026-08-05T21:17:06.714116+00:00,0.0376,0.0,0.0,0.0,0,0,0,1,0,2,2390,2097,1964,2132,34,110,1058,84,0
0.205,0,1,ramp_up,2026-08-05T21:17:06.763342+00:00,0.0501,0.0,0.0,0.0,0,0,0,2,0,2,2390,2097,1964,2132,34,110,1058,84,0
0.255,0,1,ramp_up,2026-08-05T21:17:06.813692+00:00,0.0626,0.0221,0.0051,0.59,-200,-50,300,6,0,3,2390,2097,1964,2132,34,110,1058,84,0
0.305,0,1,ramp_up,2026-08-05T21:17:06.863490+00:00,0.0751,0.031,0.0,0.0,-350,0,350,5,0,5,2390,2097,1964,2132,34,110,1058,84,0
0.355,0,1,ramp_up,2026-08-05T21:17:06.913494+00:00,0.0876,0.0376,-0.0013,-0.59,-450,0,400,6,0,6,2390,2097,1964,2132,34,110,1058,84,0
0.405,0,1,ramp_up,2026-08-05T21:17:06.963483+00:00,0.1002,0.0509,0.0013,0.59,-550,0,600,7,0,6,2390,2097,1964,2132,34,110,1058,84,0
0.455,0,1,ramp_up,2026-08-05T21:17:07.013610+00:00,0.1127,0.0554,0.0013,0.59,-600,0,650,10,0,6,2390,2097,1964,2132,34,110,1058,84,0
0.505,0,1,ramp_up,2026-08-05T21:17:07.063659+00:00,0.1252,0.0664,0.0,0.0,-750,0,750,9,0,8,2390,2097,1964,2132,34,110,1058,84,0
0.557,0,1,ramp_up,2026-08-05T21:17:07.114909+00:00,0.1377,0.0709,0.0,0.0,-800,0,800,10,0,9,2390,2097,1964,2132,34,110,1058,84,0
0.606,0,1,ramp_up,2026-08-05T21:17:07.164087+00:00,0.1502,0.0864,0.0013,0.59,-950,0,1000,15,1,10,2390,2097,1964,2132,34,110,1058,84,0
0.656,0,1,ramp_up,2026-08-05T21:17:07.214881+00:00,0.1628,0.0952,0.0013,0.59,-1050,0,1100,16,0,10,2390,2097,1964,2132,34,110,1058,84,0
0.706,0,1,ramp_up,2026-08-05T21:17:07.263969+00:00,0.1753,0.1041,-0.0013,1.17,-1150,50,1200,14,0,7,2390,2097,1964,2132,34,110,1058,84,0
0.756,0,1,ramp_up,2026-08-05T21:17:07.314365+00:00,0.1878,0.1085,-0.0013,-0.59,-1250,0,1200,12,0,11,2390,2097,1964,2132,34,110,1058,84,0
0.806,0,1,ramp_up,2026-08-05T21:17:07.364091+00:00,0.2003,0.1218,0.0013,-1.17,-1400,-50,1350,14,0,11,2390,2097,1964,2132,34,110,1058,84,0
0.856,0,1,ramp_up,2026-08-05T21:17:07.414243+00:00,0.2128,0.1218,0.0013,-1.17,-1400,-50,1350,20,0,12,2390,2097,1964,2132,34,110,1058,84,0
0.906,0,1,ramp_up,2026-08-05T21:17:07.464225+00:00,0.2254,0.1373,0.0,1.76,-1500,50,1600,23,1,11,2390,2097,1964,2132,34,110,1058,84,0
0.956,0,1,ramp_up,2026-08-05T21:17:07.514381+00:00,0.2379,0.1439,0.0038,1.76,-1550,0,1700,28,0,8,2390,2097,1964,2132,34,110,1058,84,0
1.007,0,1,ramp_up,2026-08-05T21:17:07.565414+00:00,0.2504,0.1528,-0.0064,0.59,-1750,100,1700,27,0,11,2390,2097,1963,2132,34,110,1060,84,0
1.056,0,1,ramp_up,2026-08-05T21:17:07.614712+00:00,0.2629,0.1616,-0.0038,-0.0,-1850,50,1800,27,1,17,2390,2097,1963,2132,34,110,1060,84,0
1.106,0,1,ramp_up,2026-08-05T21:17:07.664681+00:00,0.2754,0.1727,0.0051,0.59,-1900,-50,2000,26,0,13,2390,2097,1963,2132,34,110,1060,84,0
1.156,0,1,ramp_up,2026-08-05T21:17:07.714685+00:00,0.288,0.1749,-0.0038,-0.0,-2000,50,1950,17,0,12,2390,2097,1963,2132,34,110,1060,84,0
1.206,0,1,dwell,2026-08-05T21:17:07.764727+00:00,0.3,0.1838,0.0013,0.59,-2050,0,2100,14,0,12,2390,2097,1967,2132,34,110,1044,84,0
1.257,0,1,dwell,2026-08-05T21:17:07.815280+00:00,0.3,0.1816,0.0051,2.34,-1950,0,2150,20,0,11,2390,2097,1970,2132,34,110,1042,84,0
1.307,0,1,dwell,2026-08-05T21:17:07.864907+00:00,0.3,0.1838,0.0064,2.93,-1950,0,2200,25,1,9,2390,2097,1971,2132,34,110,1044,84,0
1.357,0,1,dwell,2026-08-05T21:17:07.914980+00:00,0.3,0.1771,0.0205,0.59,-1850,-250,2150,27,1,8,2390,2097,1970,2132,34,110,1046,84,0
1.407,0,1,dwell,2026-08-05T21:17:07.964970+00:00,0.3,0.1749,0.0038,1.76,-1900,0,2050,26,2,7,2390,2097,1970,2132,34,110,1046,84,0
1.458,0,1,dwell,2026-08-05T21:17:08.016079+00:00,0.3,0.1793,0.0038,1.76,-1950,0,2100,24,1,10,2390,2097,1970,2132,34,110,1046,84,0
1.507,0,1,dwell,2026-08-05T21:17:08.065250+00:00,0.3,0.1793,-0.0089,1.17,-2050,150,2000,13,0,12,2390,2097,1971,2132,34,110,1044,84,0
1.558,0,1,dwell,2026-08-05T21:17:08.116469+00:00,0.3,0.1793,-0.0064,0.59,-2050,100,2000,11,1,12,2390,2097,1970,2132,34,110,1046,84,0
1.607,0,1,ramp_down,2026-08-05T21:17:08.165401+00:00,0.2994,0.1793,0.0064,1.17,-1950,-50,2100,28,0,10,2390,2097,1969,2132,34,110,1052,84,0
