elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T21:23:45.933894+00:00,left_shoulder_pan,1857,1851,-6,36,1,1060
0.002,2026-08-05T21:23:45.933894+00:00,left_shoulder_lift,2389,2404,15,35,3,72
0.002,2026-08-05T21:23:45.933894+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.002,2026-08-05T21:23:45.933894+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.002,2026-08-05T21:23:45.933894+00:00,left_wrist_roll,1989,1987,-2,33,0,1044
0.002,2026-08-05T21:23:45.933894+00:00,left_gripper,2014,2014,0,37,0,0
0.002,2026-08-05T21:23:45.933894+00:00,right_shoulder_pan,1975,1965,-10,36,1,1056
0.002,2026-08-05T21:23:45.933894+00:00,right_shoulder_lift,2049,2111,62,36,14,138
0.002,2026-08-05T21:23:45.933894+00:00,right_elbow_flex,2247,2133,-114,38,4,86
0.002,2026-08-05T21:23:45.933894+00:00,right_wrist_flex,1976,1986,10,34,1,34
0.002,2026-08-05T21:23:45.933894+00:00,right_wrist_roll,2114,2110,-4,33,0,1046
0.002,2026-08-05T21:23:45.933894+00:00,right_gripper,2414,2425,11,37,1,36
0.052,2026-08-05T21:23:45.982717+00:00,left_shoulder_pan,1857,1851,-6,36,1,1060
0.052,2026-08-05T21:23:45.982717+00:00,left_shoulder_lift,2389,2404,15,35,3,72
0.052,2026-08-05T21:23:45.982717+00:00,left_elbow_flex,1629,1643,14,35,2,68
0.052,2026-08-05T21:23:45.982717+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.052,2026-08-05T21:23:45.982717+00:00,left_wrist_roll,1989,1987,-2,33,0,1044
0.052,2026-08-05T21:23:45.982717+00:00,left_gripper,2014,2014,0,36,0,0
0.052,2026-08-05T21:23:45.982717+00:00,right_shoulder_pan,1996,1965,-31,36,1,1058
0.052,2026-08-05T21:23:45.982717+00:00,right_shoulder_lift,2049,2111,62,36,12,138
0.052,2026-08-05T21:23:45.982717+00:00,right_elbow_flex,2246,2133,-113,38,2,58
0.052,2026-08-05T21:23:45.982717+00:00,right_wrist_flex,1976,1986,10,34,0,34
0.052,2026-08-05T21:23:45.982717+00:00,right_wrist_roll,2114,2110,-4,33,0,1046
0.052,2026-08-05T21:23:45.982717+00:00,right_gripper,2414,2425,11,37,1,36
