elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.003,2026-08-05T05:45:42.510275+00:00,left_shoulder_pan,1857,1851,-6,36,1,1060
0.003,2026-08-05T05:45:42.510275+00:00,left_shoulder_lift,2389,2420,31,36,10,136
0.003,2026-08-05T05:45:42.510275+00:00,left_elbow_flex,1629,1635,6,34,1,36
0.003,2026-08-05T05:45:42.510275+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.003,2026-08-05T05:45:42.510275+00:00,left_wrist_roll,1989,1987,-2,33,0,1044
0.003,2026-08-05T05:45:42.510275+00:00,left_gripper,2014,2014,0,36,0,0
0.003,2026-08-05T05:45:42.510275+00:00,right_shoulder_pan,1974,1975,1,37,0,0
0.003,2026-08-05T05:45:42.510275+00:00,right_shoulder_lift,2249,2096,-153,35,8,108
0.003,2026-08-05T05:45:42.510275+00:00,right_elbow_flex,2097,2127,30,37,4,74
0.003,2026-08-05T05:45:42.510275+00:00,right_wrist_flex,1976,1983,7,34,1,28
0.003,2026-08-05T05:45:42.510275+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.003,2026-08-05T05:45:42.510275+00:00,right_gripper,2457,2462,5,37,0,24
0.053,2026-08-05T05:45:42.562437+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.053,2026-08-05T05:45:42.562437+00:00,left_shoulder_lift,2389,2420,31,36,9,136
0.053,2026-08-05T05:45:42.562437+00:00,left_elbow_flex,1629,1635,6,34,1,36
0.053,2026-08-05T05:45:42.562437+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.053,2026-08-05T05:45:42.562437+00:00,left_wrist_roll,1989,1987,-2,34,1,1044
0.053,2026-08-05T05:45:42.562437+00:00,left_gripper,2014,2014,0,36,0,0
0.053,2026-08-05T05:45:42.562437+00:00,right_shoulder_pan,1982,1975,-7,37,0,0
0.053,2026-08-05T05:45:42.562437+00:00,right_shoulder_lift,2249,2096,-153,35,4,74
0.053,2026-08-05T05:45:42.562437+00:00,right_elbow_flex,2097,2127,30,37,4,74
0.053,2026-08-05T05:45:42.562437+00:00,right_wrist_flex,1976,1983,7,34,1,28
0.053,2026-08-05T05:45:42.562437+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.053,2026-08-05T05:45:42.562437+00:00,right_gripper,2457,2462,5,37,1,24
0.103,2026-08-05T05:45:42.611376+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.103,2026-08-05T05:45:42.611376+00:00,left_shoulder_lift,2389,2420,31,36,10,136
0.103,2026-08-05T05:45:42.611376+00:00,left_elbow_flex,1629,1635,6,34,1,36
0.103,2026-08-05T05:45:42.611376+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.103,2026-08-05T05:45:42.611376+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
0.103,2026-08-05T05:45:42.611376+00:00,left_gripper,2014,2014,0,36,0,0
0.103,2026-08-05T05:45:42.611376+00:00,right_shoulder_pan,1990,1975,-15,37,1,1062
0.103,2026-08-05T05:45:42.611376+00:00,right_shoulder_lift,2248,2099,-149,35,2,40
0.103,2026-08-05T05:45:42.611376+00:00,right_elbow_flex,2097,2127,30,37,4,74
0.103,2026-08-05T05:45:42.611376+00:00,right_wrist_flex,1976,1983,7,34,0,28
0.103,2026-08-05T05:45:42.611376+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.103,2026-08-05T05:45:42.611376+00:00,right_gripper,2457,2462,5,37,0,24
0.154,2026-08-05T05:45:42.661812+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.154,2026-08-05T05:45:42.661812+00:00,left_shoulder_lift,2389,2420,31,36,10,136
0.154,2026-08-05T05:45:42.661812+00:00,left_elbow_flex,1629,1635,6,34,1,36
0.154,2026-08-05T05:45:42.661812+00:00,left_wrist_flex,2169,2170,1,34,0,0
0.154,2026-08-05T05:45:42.661812+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
0.154,2026-08-05T05:45:42.661812+00:00,left_gripper,2014,2014,0,36,0,0
0.154,2026-08-05T05:45:42.661812+00:00,right_shoulder_pan,1998,1975,-23,37,1,1078
0.154,2026-08-05T05:45:42.661812+00:00,right_shoulder_lift,2248,2113,-135,35,0,0
0.154,2026-08-05T05:45:42.661812+00:00,right_elbow_flex,2097,2126,29,37,4,68
0.154,2026-08-05T05:45:42.661812+00:00,right_wrist_flex,1976,1983,7,34,1,28
