elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T05:58:31.458905+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.002,2026-08-05T05:58:31.458905+00:00,left_shoulder_lift,2389,2404,15,36,3,72
0.002,2026-08-05T05:58:31.458905+00:00,left_elbow_flex,1629,1643,14,34,3,68
0.002,2026-08-05T05:58:31.458905+00:00,left_wrist_flex,2169,2172,3,34,0,24
0.002,2026-08-05T05:58:31.458905+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.002,2026-08-05T05:58:31.458905+00:00,left_gripper,2014,2014,0,36,0,0
0.002,2026-08-05T05:58:31.458905+00:00,right_shoulder_pan,1974,1976,2,37,0,18
0.002,2026-08-05T05:58:31.458905+00:00,right_shoulder_lift,2149,2096,-53,37,7,108
0.002,2026-08-05T05:58:31.458905+00:00,right_elbow_flex,2097,2131,34,37,4,82
0.002,2026-08-05T05:58:31.458905+00:00,right_wrist_flex,1976,1992,16,35,2,46
0.002,2026-08-05T05:58:31.458905+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.002,2026-08-05T05:58:31.458905+00:00,right_gripper,2455,2462,7,38,1,28
0.052,2026-08-05T05:58:31.509106+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.052,2026-08-05T05:58:31.509106+00:00,left_shoulder_lift,2389,2404,15,36,3,72
0.052,2026-08-05T05:58:31.509106+00:00,left_elbow_flex,1629,1643,14,34,3,68
0.052,2026-08-05T05:58:31.509106+00:00,left_wrist_flex,2169,2172,3,34,0,24
0.052,2026-08-05T05:58:31.509106+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.052,2026-08-05T05:58:31.509106+00:00,left_gripper,2014,2014,0,36,0,0
0.052,2026-08-05T05:58:31.509106+00:00,right_shoulder_pan,1982,1976,-6,37,0,18
0.052,2026-08-05T05:58:31.509106+00:00,right_shoulder_lift,2149,2096,-53,37,3,78
0.052,2026-08-05T05:58:31.509106+00:00,right_elbow_flex,2097,2131,34,37,5,82
0.052,2026-08-05T05:58:31.509106+00:00,right_wrist_flex,1976,1992,16,35,1,46
0.052,2026-08-05T05:58:31.509106+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.052,2026-08-05T05:58:31.509106+00:00,right_gripper,2455,2462,7,38,1,28
