elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T06:03:14.407785+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.002,2026-08-05T06:03:14.407785+00:00,left_shoulder_lift,2389,2404,15,36,3,72
0.002,2026-08-05T06:03:14.407785+00:00,left_elbow_flex,1629,1644,15,34,3,72
0.002,2026-08-05T06:03:14.407785+00:00,left_wrist_flex,2169,2173,4,34,0,28
0.002,2026-08-05T06:03:14.407785+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.002,2026-08-05T06:03:14.407785+00:00,left_gripper,2014,2014,0,37,0,0
0.002,2026-08-05T06:03:14.407785+00:00,right_shoulder_pan,1974,1970,-4,37,1,1046
0.002,2026-08-05T06:03:14.407785+00:00,right_shoulder_lift,2049,2101,52,38,8,118
0.002,2026-08-05T06:03:14.407785+00:00,right_elbow_flex,2247,2132,-115,37,3,84
0.002,2026-08-05T06:03:14.407785+00:00,right_wrist_flex,1976,1986,10,35,1,34
0.002,2026-08-05T06:03:14.407785+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
0.002,2026-08-05T06:03:14.407785+00:00,right_gripper,2424,2436,12,38,1,38
0.052,2026-08-05T06:03:14.455676+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
0.052,2026-08-05T06:03:14.455676+00:00,left_shoulder_lift,2389,2404,15,36,3,72
0.052,2026-08-05T06:03:14.455676+00:00,left_elbow_flex,1629,1644,15,35,2,72
0.052,2026-08-05T06:03:14.455676+00:00,left_wrist_flex,2169,2173,4,35,0,28
0.052,2026-08-05T06:03:14.455676+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.052,2026-08-05T06:03:14.455676+00:00,left_gripper,2014,2014,0,37,0,0
0.052,2026-08-05T06:03:14.455676+00:00,right_shoulder_pan,1982,1970,-12,37,0,1046
0.052,2026-08-05T06:03:14.455676+00:00,right_shoulder_lift,2049,2101,52,39,11,118
0.052,2026-08-05T06:03:14.455676+00:00,right_elbow_flex,2247,2132,-115,37,2,48
0.052,2026-08-05T06:03:14.455676+00:00,right_wrist_flex,1976,1986,10,35,1,34
0.052,2026-08-05T06:03:14.455676+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
0.052,2026-08-05T06:03:14.455676+00:00,right_gripper,2424,2436,12,38,1,38
0.102,2026-08-05T06:03:14.504872+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.102,2026-08-05T06:03:14.504872+00:00,left_shoulder_lift,2389,2404,15,36,3,72
0.102,2026-08-05T06:03:14.504872+00:00,left_elbow_flex,1629,1644,15,34,3,72
0.102,2026-08-05T06:03:14.504872+00:00,left_wrist_flex,2169,2173,4,34,1,28
0.102,2026-08-05T06:03:14.504872+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.102,2026-08-05T06:03:14.504872+00:00,left_gripper,2014,2014,0,37,0,0
0.102,2026-08-05T06:03:14.504872+00:00,right_shoulder_pan,1990,1970,-20,37,2,1076
0.102,2026-08-05T06:03:14.504872+00:00,right_shoulder_lift,2049,2101,52,39,10,118
0.102,2026-08-05T06:03:14.504872+00:00,right_elbow_flex,2247,2136,-111,37,0,20
0.102,2026-08-05T06:03:14.504872+00:00,right_wrist_flex,1976,1986,10,35,2,34
0.102,2026-08-05T06:03:14.504872+00:00,right_wrist_roll,2114,2112,-2,34,0,1042
