elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T06:07:38.103035+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.002,2026-08-05T06:07:38.103035+00:00,left_shoulder_lift,2389,2403,14,36,2,68
0.002,2026-08-05T06:07:38.103035+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.002,2026-08-05T06:07:38.103035+00:00,left_wrist_flex,2169,2174,5,34,0,32
0.002,2026-08-05T06:07:38.103035+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.002,2026-08-05T06:07:38.103035+00:00,left_gripper,2014,2014,0,36,0,0
0.002,2026-08-05T06:07:38.103035+00:00,right_shoulder_pan,1974,1970,-4,37,0,1046
0.002,2026-08-05T06:07:38.103035+00:00,right_shoulder_lift,2049,2097,48,39,6,110
0.002,2026-08-05T06:07:38.103035+00:00,right_elbow_flex,2247,2127,-120,40,4,74
0.002,2026-08-05T06:07:38.103035+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.002,2026-08-05T06:07:38.103035+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.002,2026-08-05T06:07:38.103035+00:00,right_gripper,2429,2439,10,38,1,34
0.052,2026-08-05T06:07:38.154743+00:00,left_shoulder_pan,1857,1851,-6,37,2,1060
0.052,2026-08-05T06:07:38.154743+00:00,left_shoulder_lift,2389,2403,14,35,3,68
0.052,2026-08-05T06:07:38.154743+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.052,2026-08-05T06:07:38.154743+00:00,left_wrist_flex,2169,2174,5,34,0,32
0.052,2026-08-05T06:07:38.154743+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.052,2026-08-05T06:07:38.154743+00:00,left_gripper,2014,2014,0,36,0,0
0.052,2026-08-05T06:07:38.154743+00:00,right_shoulder_pan,1987,1970,-17,37,0,1046
0.052,2026-08-05T06:07:38.154743+00:00,right_shoulder_lift,2049,2097,48,38,7,110
0.052,2026-08-05T06:07:38.154743+00:00,right_elbow_flex,2247,2127,-120,40,2,40
0.052,2026-08-05T06:07:38.154743+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.052,2026-08-05T06:07:38.154743+00:00,right_wrist_roll,2114,2111,-3,34,1,1044
0.052,2026-08-05T06:07:38.154743+00:00,right_gripper,2429,2439,10,38,1,34
0.102,2026-08-05T06:07:38.203195+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.102,2026-08-05T06:07:38.203195+00:00,left_shoulder_lift,2389,2403,14,36,2,68
0.102,2026-08-05T06:07:38.203195+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.102,2026-08-05T06:07:38.203195+00:00,left_wrist_flex,2169,2174,5,35,1,32
0.102,2026-08-05T06:07:38.203195+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.102,2026-08-05T06:07:38.203195+00:00,left_gripper,2014,2014,0,36,0,0
0.102,2026-08-05T06:07:38.203195+00:00,right_shoulder_pan,2000,1970,-30,37,2,1080
0.102,2026-08-05T06:07:38.203195+00:00,right_shoulder_lift,2049,2097,48,38,8,110
0.102,2026-08-05T06:07:38.203195+00:00,right_elbow_flex,2246,2133,-113,40,1,1042
0.102,2026-08-05T06:07:38.203195+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.102,2026-08-05T06:07:38.203195+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.102,2026-08-05T06:07:38.203195+00:00,right_gripper,2429,2439,10,38,1,34
0.152,2026-08-05T06:07:38.251492+00:00,left_shoulder_pan,1857,1851,-6,36,1,1060
0.152,2026-08-05T06:07:38.251492+00:00,left_shoulder_lift,2389,2403,14,36,2,68
0.152,2026-08-05T06:07:38.251492+00:00,left_elbow_flex,1629,1643,14,35,2,68
0.152,2026-08-05T06:07:38.251492+00:00,left_wrist_flex,2169,2174,5,35,1,32
0.152,2026-08-05T06:07:38.251492+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.152,2026-08-05T06:07:38.251492+00:00,left_gripper,2014,2014,0,37,0,0
0.152,2026-08-05T06:07:38.251492+00:00,right_shoulder_pan,2012,1971,-41,37,2,1112
0.152,2026-08-05T06:07:38.251492+00:00,right_shoulder_lift,2049,2096,47,38,6,104
0.152,2026-08-05T06:07:38.251492+00:00,right_elbow_flex,2244,2148,-96,39,0,1054
0.152,2026-08-05T06:07:38.251492+00:00,right_wrist_flex,1976,1983,7,35,1,28
0.152,2026-08-05T06:07:38.251492+00:00,right_wrist_roll,2114,2111,-3,34,1,1044
0.152,2026-08-05T06:07:38.251492+00:00,right_gripper,2429,2439,10,38,0,34
0.202,2026-08-05T06:07:38.301459+00:00,left_shoulder_pan,1857,1851,-6,37,2,1060
0.202,2026-08-05T06:07:38.301459+00:00,left_shoulder_lift,2389,2403,14,36,2,68
0.202,2026-08-05T06:07:38.301459+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.202,2026-08-05T06:07:38.301459+00:00,left_wrist_flex,2169,2174,5,35,0,32
0.202,2026-08-05T06:07:38.301459+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.202,2026-08-05T06:07:38.301459+00:00,left_gripper,2014,2014,0,37,0,0
0.202,2026-08-05T06:07:38.301459+00:00,right_shoulder_pan,2024,1976,-48,37,4,1114
0.202,2026-08-05T06:07:38.301459+00:00,right_shoulder_lift,2049,2096,47,38,7,108
0.202,2026-08-05T06:07:38.301459+00:00,right_elbow_flex,2242,2172,-70,40,0,1090
0.202,2026-08-05T06:07:38.301459+00:00,right_wrist_flex,1976,1983,7,35,0,28
0.202,2026-08-05T06:07:38.301459+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.202,2026-08-05T06:07:38.301459+00:00,right_gripper,2429,2439,10,38,2,34
0.252,2026-08-05T06:07:38.351565+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.252,2026-08-05T06:07:38.351565+00:00,left_shoulder_lift,2389,2403,14,35,3,68
0.252,2026-08-05T06:07:38.351565+00:00,left_elbow_flex,1629,1643,14,35,3,68
0.252,2026-08-05T06:07:38.351565+00:00,left_wrist_flex,2169,2174,5,34,0,32
0.252,2026-08-05T06:07:38.351565+00:00,left_wrist_roll,1989,1988,-1,34,0,0
0.252,2026-08-05T06:07:38.351565+00:00,left_gripper,2014,2014,0,37,0,0
0.252,2026-08-05T06:07:38.351565+00:00,right_shoulder_pan,2036,1982,-54,37,4,1120
0.252,2026-08-05T06:07:38.351565+00:00,right_shoulder_lift,2049,2096,47,38,8,110
0.252,2026-08-05T06:07:38.351565+00:00,right_elbow_flex,2240,2200,-40,40,0,1062
0.252,2026-08-05T06:07:38.351565+00:00,right_wrist_flex,1976,1983,7,35,1,28
0.252,2026-08-05T06:07:38.351565+00:00,right_wrist_roll,2114,2111,-3,34,1,1044
0.252,2026-08-05T06:07:38.351565+00:00,right_gripper,2429,2439,10,38,1,34
0.302,2026-08-05T06:07:38.401574+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
