elapsed_s,timestamp,motor,commanded,position,error,temp_c,current,load
0.002,2026-08-05T05:49:47.337896+00:00,left_shoulder_pan,1857,1851,-6,37,0,1060
0.002,2026-08-05T05:49:47.337896+00:00,left_shoulder_lift,2389,2406,17,37,5,80
0.002,2026-08-05T05:49:47.337896+00:00,left_elbow_flex,1629,1641,12,34,2,60
0.002,2026-08-05T05:49:47.337896+00:00,left_wrist_flex,2169,2173,4,34,0,28
0.002,2026-08-05T05:49:47.337896+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
0.002,2026-08-05T05:49:47.337896+00:00,left_gripper,2014,2014,0,36,0,0
0.002,2026-08-05T05:49:47.337896+00:00,right_shoulder_pan,1974,1975,1,37,0,0
0.002,2026-08-05T05:49:47.337896+00:00,right_shoulder_lift,2109,2098,-11,38,6,112
0.002,2026-08-05T05:49:47.337896+00:00,right_elbow_flex,2097,2129,32,37,4,78
0.002,2026-08-05T05:49:47.337896+00:00,right_wrist_flex,1976,1989,13,35,1,40
0.002,2026-08-05T05:49:47.337896+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.002,2026-08-05T05:49:47.337896+00:00,right_gripper,2428,2442,14,38,1,42
0.052,2026-08-05T05:49:47.389483+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.052,2026-08-05T05:49:47.389483+00:00,left_shoulder_lift,2389,2406,17,37,4,80
0.052,2026-08-05T05:49:47.389483+00:00,left_elbow_flex,1629,1641,12,34,2,60
0.052,2026-08-05T05:49:47.389483+00:00,left_wrist_flex,2169,2173,4,34,0,28
0.052,2026-08-05T05:49:47.389483+00:00,left_wrist_roll,1989,1987,-2,34,0,1044
0.052,2026-08-05T05:49:47.389483+00:00,left_gripper,2014,2014,0,37,0,0
0.052,2026-08-05T05:49:47.389483+00:00,right_shoulder_pan,1982,1975,-7,37,0,0
0.052,2026-08-05T05:49:47.389483+00:00,right_shoulder_lift,2109,2098,-11,38,3,78
0.052,2026-08-05T05:49:47.389483+00:00,right_elbow_flex,2097,2129,32,38,4,78
0.052,2026-08-05T05:49:47.389483+00:00,right_wrist_flex,1976,1989,13,35,1,40
0.052,2026-08-05T05:49:47.389483+00:00,right_wrist_roll,2114,2111,-3,34,0,1044
0.052,2026-08-05T05:49:47.389483+00:00,right_gripper,2428,2442,14,38,2,42
0.102,2026-08-05T05:49:47.438999+00:00,left_shoulder_pan,1857,1851,-6,37,1,1060
0.102,2026-08-05T05:49:47.438999+00:00,left_shoulder_lift,2389,2406,17,37,5,80
0.102,2026-08-05T05:49:47.438999+00:00,left_elbow_flex,1629,1641,12,34,2,60
