elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-04T17:32:32.778327+00:00,51.468,50.375,51.468,50.843,0,306,1020,,5520,519,2795,1460,0.2,729
2.0,2026-08-04T17:32:33.781799+00:00,51.406,50.5,51.406,50.812,0,306,1020,,5480,519,2795,1460,0.0,729
3.0,2026-08-04T17:32:34.787279+00:00,51.5,50.312,51.5,50.906,0,306,1020,,5480,519,2795,1460,0.2,729
4.0,2026-08-04T17:32:35.793643+00:00,51.531,50.375,51.531,50.937,0,306,1020,,5480,519,2795,1460,0.0,729
5.0,2026-08-04T17:32:36.798564+00:00,51.218,50.531,51.218,51.062,0,306,1020,,5480,519,2795,1460,0.3,729
6.0,2026-08-04T17:32:37.806437+00:00,51.25,50.593,51.25,50.875,0,306,1020,,5520,519,2795,1460,0.5,729
7.1,2026-08-04T17:32:38.811989+00:00,51.218,50.406,51.218,50.937,0,306,1020,,5480,519,2795,1460,0.0,729
8.1,2026-08-04T17:32:39.818173+00:00,51.562,50.375,51.562,50.937,0,306,1020,,5480,519,2795,1460,0.0,729
9.1,2026-08-04T17:32:40.824233+00:00,51.687,50.312,51.687,50.906,0,306,1020,,5471,519,2795,1460,0.2,729
10.1,2026-08-04T17:32:41.830330+00:00,51.5,50.406,51.5,50.812,0,306,1020,,5480,519,2795,1460,0.2,729
11.1,2026-08-04T17:32:42.836139+00:00,51.562,50.593,51.562,50.781,0,306,1020,,5480,519,2795,1461,0.2,729
12.1,2026-08-04T17:32:43.841857+00:00,51.656,50.281,51.25,50.875,0,306,1020,,5440,519,2795,1461,0.2,729
13.1,2026-08-04T17:32:44.847996+00:00,51.25,50.437,51.25,50.781,0,306,1020,,5720,599,2915,1461,0.0,729
14.1,2026-08-04T17:32:45.853732+00:00,51.281,50.468,51.281,50.687,0,306,1020,,5480,519,2795,1461,0.3,729
15.1,2026-08-04T17:32:46.859404+00:00,51.218,50.406,51.218,50.812,0,306,1020,,5480,519,2795,1461,0.0,729
16.1,2026-08-04T17:32:47.865516+00:00,51.218,50.5,51.218,50.906,0,306,1020,,5431,519,2795,1461,0.0,729
17.1,2026-08-04T17:32:48.870970+00:00,51.593,50.343,51.593,50.75,0,306,1020,,5480,479,2795,1461,0.0,729
18.1,2026-08-04T17:32:49.877034+00:00,51.093,50.25,51.093,50.968,0,306,1020,,5440,479,2795,1461,0.3,729
19.1,2026-08-04T17:32:50.883713+00:00,51.125,50.531,51.125,50.687,0,306,1020,,5440,479,2795,1461,0.2,729
20.1,2026-08-04T17:32:51.889772+00:00,51.125,50.187,51.125,50.781,0,306,1020,,5440,479,2795,1461,0.0,729
21.1,2026-08-04T17:32:52.895610+00:00,51.375,50.281,51.375,50.875,0,306,1020,,5440,479,2795,1461,0.2,729
22.1,2026-08-04T17:32:53.901765+00:00,51.312,50.25,51.312,50.843,0,306,1020,,5440,479,2795,1461,0.3,729
23.2,2026-08-04T17:32:54.907725+00:00,51.375,50.281,51.375,50.812,0,306,1020,,5440,479,2795,1461,0.0,729
24.2,2026-08-04T17:32:55.913675+00:00,51.281,50.406,51.281,50.812,0,306,1020,,5480,519,2795,1461,0.2,729
25.2,2026-08-04T17:32:56.918892+00:00,51.281,50.187,51.093,50.781,0,306,1020,,5440,479,2795,1461,0.0,729
26.2,2026-08-04T17:32:57.925010+00:00,51.156,50.281,51.156,50.781,0,306,1020,,5440,479,2795,1461,0.0,729
27.2,2026-08-04T17:32:58.931394+00:00,51.093,50.468,51.093,50.906,0,306,1020,,5480,519,2795,1461,0.3,729
28.2,2026-08-04T17:32:59.939037+00:00,51.218,50.562,51.218,50.843,0,306,1020,,5480,519,2795,1461,0.7,729
29.2,2026-08-04T17:33:00.945037+00:00,51.375,50.375,51.375,50.781,0,306,1020,,5440,479,2795,1461,0.0,729
30.2,2026-08-04T17:33:01.951425+00:00,51.406,50.187,51.406,50.875,0,306,1020,,5440,479,2795,1461,0.3,729
31.2,2026-08-04T17:33:02.957090+00:00,51.343,50.218,51.343,50.937,0,306,1020,,5440,479,2795,1461,0.2,729
32.2,2026-08-04T17:33:03.963236+00:00,51.218,50.406,51.218,50.718,0,306,1020,,5440,479,2795,1461,0.2,729
33.2,2026-08-04T17:33:04.969945+00:00,51.125,50.5,51.125,50.718,0,306,1020,,5480,479,2795,1461,0.3,729
34.2,2026-08-04T17:33:05.975830+00:00,51.125,50.281,51.125,50.875,0,306,1020,,5431,479,2795,1461,0.0,729
35.2,2026-08-04T17:33:06.982477+00:00,51.406,50.312,51.406,50.968,0,306,1020,,5431,479,2795,1461,0.0,729
36.2,2026-08-04T17:33:07.988341+00:00,51.468,50.437,51.468,50.75,0,306,1020,,5431,519,2795,1461,0.0,729
37.2,2026-08-04T17:33:08.997313+00:00,51.562,50.312,51.562,50.718,0,306,1020,,5440,519,2795,1461,0.0,729
38.2,2026-08-04T17:33:10.000849+00:00,51.406,50.531,51.218,50.781,0,306,1020,,5480,519,2795,1461,0.0,729
39.2,2026-08-04T17:33:11.006686+00:00,51.281,50.218,51.281,50.812,0,306,1020,,5440,519,2795,1461,0.2,729
40.3,2026-08-04T17:33:12.012864+00:00,51.218,50.312,51.218,50.781,0,306,1020,,5480,519,2795,1461,0.0,729
