elapsed_s,timestamp,gpu_temp_c,cpu_temp_c,tj_temp_c,soc0_temp_c,gpu_util_pct,gpu_clock_mhz,gpu_max_mhz,emc_util_pct,vdd_in_mw,vdd_cpu_gpu_cv_mw,vdd_soc_mw,ram_used_mb,cpu_util_mean_pct,cpu_clock_max_mhz
1.0,2026-08-05T01:15:49.524030+00:00,50.968,50.093,50.968,50.562,0,306,1020,,5480,519,2795,1465,0.0,729
2.0,2026-08-05T01:15:50.527483+00:00,50.875,50.343,50.875,50.406,0,306,1020,,5431,479,2755,1465,0.5,729
3.0,2026-08-05T01:15:51.533124+00:00,50.937,50.156,50.937,50.5,0,306,1020,,5431,479,2755,1465,0.2,729
4.0,2026-08-05T01:15:52.538884+00:00,51.281,50,51.281,50.5,0,306,1020,,5431,479,2755,1465,0.0,729
5.0,2026-08-05T01:15:53.544362+00:00,50.812,49.937,50.812,50.562,0,306,1020,,5431,479,2755,1465,0.2,729
6.0,2026-08-05T01:15:54.549859+00:00,50.781,50,50.781,50.468,0,306,1020,,5440,519,2755,1465,0.2,729
7.1,2026-08-05T01:15:55.555670+00:00,50.843,50.218,50.843,50.406,0,306,1020,,5431,519,2755,1465,0.3,729
8.1,2026-08-05T01:15:56.562102+00:00,50.843,50.187,50.843,50.468,0,306,1020,,5551,599,2795,1468,3.0,1267
9.1,2026-08-05T01:15:57.570907+00:00,50.906,50.031,50.906,50.468,0,306,1020,,5471,519,2795,1468,1.2,729
10.1,2026-08-05T01:15:58.576473+00:00,50.906,50,50.906,50.406,0,306,1020,,5431,479,2755,1468,0.2,729
11.1,2026-08-05T01:15:59.582396+00:00,50.781,49.968,50.781,50.437,0,306,1020,,5431,479,2755,1468,0.0,729
12.1,2026-08-05T01:16:00.588591+00:00,50.906,50.25,50.906,50.5,0,306,1020,,5440,479,2755,1468,0.3,729
13.1,2026-08-05T01:16:01.595142+00:00,50.781,49.906,50.781,50.468,0,306,1020,,5440,479,2755,1468,0.0,729
14.1,2026-08-05T01:16:02.601150+00:00,51.031,49.968,51.031,50.406,0,306,1020,,5431,479,2755,1468,0.2,729
15.1,2026-08-05T01:16:03.607183+00:00,50.968,50.125,50.968,50.406,0,306,1020,,5431,479,2755,1468,0.2,729
16.1,2026-08-05T01:16:04.612683+00:00,51.062,49.937,51.062,50.406,0,306,1020,,5471,519,2795,1468,0.2,729
17.1,2026-08-05T01:16:05.618046+00:00,51.062,49.937,51.062,50.406,0,306,1020,,5431,519,2755,1468,0.0,729
18.1,2026-08-05T01:16:06.623768+00:00,51.093,49.906,51.093,50.531,0,306,1020,,5431,519,2755,1468,0.2,729
19.1,2026-08-05T01:16:07.629596+00:00,51,50,51,50.375,0,306,1020,,5431,479,2755,1468,0.0,729
20.1,2026-08-05T01:16:08.634890+00:00,51.093,50.093,50.843,50.437,0,306,1020,,5440,519,2755,1468,0.2,729
21.1,2026-08-05T01:16:09.640652+00:00,50.781,49.906,50.781,50.468,0,306,1020,,5431,479,2755,1468,0.2,729
22.1,2026-08-05T01:16:10.646550+00:00,50.843,49.968,50.843,50.437,0,306,1020,,5431,479,2755,1468,0.0,729
23.2,2026-08-05T01:16:11.651964+00:00,50.937,49.937,50.937,50.5,0,306,1020,,5431,479,2755,1468,0.3,729
24.2,2026-08-05T01:16:12.657509+00:00,50.843,49.968,50.843,50.281,0,306,1020,,5431,479,2755,1468,0.2,729
25.2,2026-08-05T01:16:13.663489+00:00,50.906,50.062,50.906,50.468,0,306,1020,,5431,479,2755,1468,0.0,729
26.2,2026-08-05T01:16:14.669099+00:00,50.875,49.906,50.875,50.312,0,306,1020,,5440,479,2755,1468,0.0,729
27.2,2026-08-05T01:16:15.675074+00:00,51.218,50.062,51.218,50.406,0,306,1020,,5431,479,2755,1468,0.3,729
28.2,2026-08-05T01:16:16.680724+00:00,51.218,49.875,51.218,50.468,0,306,1020,,5431,479,2755,1468,0.0,729
29.2,2026-08-05T01:16:17.686117+00:00,51.25,49.937,51.25,50.343,0,306,1020,,5431,479,2755,1468,0.2,729
30.2,2026-08-05T01:16:18.692099+00:00,50.75,50.031,50.75,50.375,0,306,1020,,5431,479,2755,1468,0.0,729
31.2,2026-08-05T01:16:19.697557+00:00,50.75,49.843,50.75,50.531,0,306,1020,,5431,479,2755,1468,0.0,729
32.2,2026-08-05T01:16:20.703244+00:00,50.812,50.125,50.812,50.5,0,306,1020,,5431,479,2755,1468,0.0,729
