trial,outcome,stage,location,shoulder_lift_start_C,temps_start,temps_end,close_step,t_close_s,close_pan,close_lift,close_elbow,close_wflex,gripper_end,realised_hz,chunk_inf_ms,chunk_inf_max_ms,peak_joint_C,note
t01,grasp,-,bottom-right,34,shoul=36 shoul=34 elbow=33 wrist=34 wrist=33 gripp=37,shoul=36 shoul=34 elbow=33 wrist=34 wrist=33 gripp=37,274,9.89,31.42,40.27,57.02,-67.22,11.4,28.58,105.5,570,39,
t02,grasp,-,bottom-right,34,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=37,shoul=36 shoul=34 elbow=33 wrist=34 wrist=33 gripp=37,252,9.19,33.7,51.75,36.98,-66.11,11.2,28.55,107.0,572,38,
t03,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=38,shoul=36 shoul=34 elbow=33 wrist=34 wrist=33 gripp=38,260,9.43,33.04,49.5,47.0,-70.95,11.2,28.59,105.8,563,51,
t04,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=38,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=38,258,9.35,33.92,47.67,48.26,-69.6,11.1,28.6,106.9,554,58,
t05,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=38,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=39,252,9.15,34.15,52.33,38.51,-70.02,11.2,28.63,96.9,579,63,
t06,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=39,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=39,261,9.44,34.73,52.33,41.85,-72.74,11.5,28.62,102.5,543,39,jaws stayed closed on the bottle after torque bleed; operator removed it
t07,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=34 wrist=33 gripp=39,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=39,260,9.43,35.47,48.25,44.92,-66.79,11.2,28.55,106.4,573,46,
t08,grasp,-,bottom-right,34,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=39,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=39,261,9.44,34.15,46.51,45.55,-65.18,11.1,28.6,106.8,551,43,
t09,grasp,-,bottom-right,34,shoul=35 shoul=34 elbow=33 wrist=35 wrist=33 gripp=41,shoul=35 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,263,9.5,33.85,46.42,48.62,-68.24,11.2,28.62,102.0,563,40,
t10,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,252,9.14,34.96,53.41,34.09,-66.54,11.3,28.61,104.2,552,40,
t11,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,253,9.16,33.85,53.99,32.64,-66.03,11.2,28.6,107.0,551,40,
t12,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=40,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,252,9.19,34.66,52.41,33.27,-63.65,11.3,28.55,107.5,577,57,
t13,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,263,9.49,32.89,43.93,52.6,-68.07,11.1,28.65,99.2,554,41,
t14,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,261,9.43,35.55,47.17,46.09,-66.2,11.1,28.64,100.8,549,60,
t15,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,252,9.15,34.0,50.83,38.06,-66.11,11.3,28.62,105.9,556,41,
t16,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,263,9.52,34.37,49.42,43.12,-68.58,11.3,28.59,106.9,564,42,
t17,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,257,9.31,34.22,54.66,31.11,-65.01,11.5,28.59,109.1,549,41,
t18,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,259,9.38,34.37,50.42,40.95,-67.13,11.3,28.56,107.7,561,41,
t19,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,258,9.37,35.03,56.49,30.11,-66.88,11.3,28.59,103.5,579,44,
t20,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,258,9.37,35.91,53.66,33.09,-65.01,11.5,28.57,111.1,563,42,
t21,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=41,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,260,9.4,34.51,49.25,43.84,-68.24,11.3,28.64,100.6,548,42,
t22,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,257,9.31,34.07,50.75,36.52,-64.08,11.3,28.61,106.1,551,42,
t23,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,257,9.31,35.55,50.0,38.6,-64.5,11.2,28.61,109.4,548,42,
t24,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,260,9.43,33.78,47.84,41.22,-63.99,11.3,28.6,105.2,564,42,
t25,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,252,9.16,34.66,51.33,36.8,-65.86,11.3,28.61,99.4,580,42,
t26,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=34 elbow=33 wrist=35 wrist=33 gripp=42,253,9.19,35.32,51.5,34.09,-63.23,11.3,28.63,99.4,559,42,
t27,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,257,9.4,33.48,52.33,36.34,-66.79,11.3,28.51,108.6,590,42,
t28,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=43,252,9.14,33.63,54.33,34.81,-68.75,11.6,28.62,98.5,565,43,
t29,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,252,9.14,34.0,56.91,28.13,-68.07,11.5,28.62,103.3,562,51,
t30,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=42,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,259,9.41,33.48,52.5,37.7,-68.07,11.3,28.57,106.5,576,43,
t31,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,257,9.3,34.51,52.08,38.24,-67.9,11.3,28.64,99.6,556,43,
t32,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,258,9.38,33.33,50.0,43.3,-68.75,11.6,28.56,107.4,578,48,
t33,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,252,9.17,33.19,53.74,34.9,-68.07,11.5,28.6,105.6,557,43,
t34,grasp,-,bottom-right,35,shoul=36 shoul=35 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,257,9.34,32.82,52.33,36.88,-66.88,11.5,28.58,101.2,580,43,
t35,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,260,9.38,33.63,49.42,42.94,-67.13,11.3,28.66,99.5,553,43,
t36,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,259,9.37,32.6,51.5,40.68,-69.43,11.3,28.6,102.0,563,47,
t37,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,266,9.63,33.11,47.5,48.44,-69.51,11.4,28.58,106.9,562,43,
t38,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=43,260,9.4,32.6,48.25,45.19,-67.73,11.8,28.61,104.2,558,44,
t39,grasp,-,bottom-right,36,shoul=36 shoul=36 elbow=33 wrist=35 wrist=34 gripp=43,shoul=36 shoul=36 elbow=33 wrist=35 wrist=33 gripp=44,263,9.58,34.15,47.01,43.12,-63.14,11.3,28.51,106.9,602,43,
