step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5977,99.458,93.657,-99.584,0.0,75.541,39.145,106.26,64.79,-110.879,-0.638,87.78,39.035
1,0.6058,99.458,93.657,-99.584,0.0,75.541,39.145,106.166,64.776,-110.906,-0.61,87.697,39.036
2,0.64,99.458,93.657,-99.584,0.0,75.541,39.145,106.272,64.777,-110.865,-0.623,87.735,39.035
3,0.6779,99.458,93.522,-99.584,-0.147,75.541,39.145,106.16,64.606,-111.182,-0.524,87.985,39.036
4,0.7113,99.458,91.565,-99.584,-0.295,75.966,39.145,106.228,64.746,-110.956,-0.634,87.773,39.037
5,0.7447,99.458,88.529,-99.75,-0.295,76.476,39.243,106.208,64.667,-111.014,-0.542,87.74,39.037
6,0.7787,99.368,85.223,-100.0,-0.295,76.985,39.243,106.134,64.499,-111.379,-0.457,88.028,39.036
7,0.8118,99.368,81.916,-100.0,-0.295,77.58,39.243,106.091,64.455,-111.334,-0.416,88.019,39.037
8,0.8449,99.097,78.677,-100.0,-0.295,78.174,39.341,105.998,64.427,-111.224,-0.344,87.738,39.038
9,0.8791,98.916,75.371,-100.0,-0.369,78.769,39.389,106.035,64.603,-110.952,-0.442,87.575,39.038
10,0.9123,98.826,72.132,-100.0,-0.369,79.108,39.389,105.671,64.083,-111.681,-0.212,88.168,39.037
11,0.9453,98.826,69.771,-100.0,-0.369,79.193,39.389,105.7,64.134,-111.627,-0.236,88.104,39.038
12,0.9788,98.826,67.814,-100.0,-0.369,79.193,39.389,105.812,64.303,-111.322,-0.279,87.842,39.038
13,1.013,98.826,66.532,-100.0,-0.295,79.193,39.389,104.625,63.227,-111.722,0.188,87.951,39.042
14,1.0458,98.826,65.857,-100.0,-0.295,79.193,39.389,105.125,63.574,-111.888,0.007,88.065,39.039
15,1.0789,98.826,65.115,-100.0,-0.295,79.193,39.389,104.95,63.483,-111.77,0.101,87.901,39.04
16,1.1124,98.826,64.44,-100.0,-0.295,79.193,39.389,105.245,63.708,-111.824,-0.045,87.994,39.039
17,1.1461,98.826,64.238,-100.0,-0.295,79.193,39.389,105.206,63.696,-111.473,0.093,87.496,39.04
18,1.1833,98.826,64.238,-100.0,-0.295,79.193,39.389,104.98,63.48,-111.801,0.087,87.99,39.04
19,1.2163,98.826,64.17,-100.0,-0.295,79.193,39.389,104.758,63.37,-111.706,0.135,87.734,39.043
