step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5793,99.458,93.117,-99.584,0.074,75.541,38.852,107.038,65.089,-109.423,-1.825,84.612,38.975
1,0.5911,99.458,93.117,-99.584,0.074,75.541,38.852,106.956,65.083,-109.409,-1.822,84.593,38.974
2,0.6251,99.458,93.117,-99.584,0.074,75.541,38.852,107.05,65.102,-109.399,-1.833,84.611,38.974
3,0.6588,99.458,92.915,-99.667,0.074,76.221,38.852,106.898,64.95,-109.626,-1.774,84.86,38.973
4,0.6921,99.458,90.891,-100.0,-0.295,77.495,39.096,107.024,65.043,-109.47,-1.847,84.622,38.975
5,0.7255,99.097,87.854,-100.0,-0.885,78.514,39.145,106.954,64.989,-109.508,-1.787,84.68,38.975
6,0.7589,99.097,84.615,-100.0,-1.254,78.684,39.194,106.821,64.802,-109.821,-1.725,84.975,38.975
7,0.7925,99.097,81.444,-100.0,-1.327,78.684,39.194,106.807,64.83,-109.684,-1.717,84.946,38.973
8,0.8257,99.097,78.205,-100.0,-1.254,78.684,39.194,106.67,64.758,-109.656,-1.646,84.855,38.974
9,0.8592,99.007,74.899,-100.0,-1.18,78.684,39.194,106.791,64.94,-109.4,-1.713,84.508,38.975
10,0.8931,99.007,71.795,-100.0,-1.18,78.684,39.194,106.125,64.261,-109.862,-1.525,85.385,38.972
11,0.9262,99.007,69.636,-100.0,-1.18,78.684,39.194,106.18,64.305,-109.926,-1.539,85.341,38.972
12,0.9596,99.007,67.814,-100.0,-1.18,78.684,39.194,106.494,64.639,-109.7,-1.621,84.972,38.973
13,0.9932,99.007,66.599,-100.0,-1.18,78.684,39.194,104.903,63.376,-109.535,-1.202,85.69,38.975
14,1.0265,99.007,66.059,-100.0,-1.18,78.684,39.194,105.447,63.72,-109.774,-1.357,85.559,38.974
15,1.0598,99.007,65.25,-100.0,-1.18,78.684,39.194,105.285,63.621,-109.668,-1.295,85.545,38.975
16,1.0934,99.007,64.575,-100.0,-1.18,78.684,39.194,105.538,63.834,-109.763,-1.382,85.483,38.973
17,1.1267,99.007,64.372,-100.0,-1.18,78.684,39.194,105.73,63.999,-109.447,-1.348,84.979,38.974
18,1.16,99.007,64.305,-100.0,-1.18,78.684,39.194,105.308,63.64,-109.658,-1.308,85.588,38.974
19,1.193,99.007,64.305,-100.0,-1.18,78.684,39.194,105.102,63.523,-109.578,-1.293,85.531,38.977
20,1.2266,99.007,64.17,-100.0,-1.18,78.684,39.194,104.953,63.495,-109.476,-1.225,85.579,38.975
21,1.2602,99.007,63.968,-100.0,-1.18,78.684,39.194,105.317,63.733,-109.348,-1.338,85.154,38.976
22,1.2934,99.007,63.9,-100.0,-1.18,78.684,39.194,104.965,63.402,-109.546,-1.253,85.609,38.976
23,1.3271,99.007,63.9,-100.0,-1.18,78.684,39.194,105.098,63.493,-109.63,-1.267,85.661,38.974
24,1.3603,99.007,63.833,-100.0,-1.18,78.684,39.194,105.073,63.453,-109.542,-1.238,85.568,38.975
25,1.3937,99.007,63.765,-100.0,-1.18,78.684,39.194,104.804,63.383,-109.33,-1.177,85.502,38.976
26,1.4272,99.007,63.765,-100.0,-1.18,78.684,39.194,105.048,63.509,-109.425,-1.257,85.317,38.977
27,1.4606,99.007,63.765,-100.0,-1.18,78.684,39.194,104.82,63.397,-109.409,-1.197,85.565,38.976
28,1.4941,99.007,63.765,-100.0,-1.18,78.684,39.194,105.652,63.877,-109.72,-1.391,85.337,38.975
29,1.5275,99.007,63.765,-100.0,-1.18,78.684,39.194,105.096,63.506,-109.65,-1.259,85.683,38.975
30,1.5629,99.007,63.765,-100.0,-1.18,78.684,39.194,105.149,63.531,-109.693,-1.24,85.569,38.975
31,1.5945,99.007,63.765,-100.0,-1.18,78.684,39.194,104.908,63.485,-109.38,-1.132,85.253,38.976
32,1.6283,99.007,63.765,-100.0,-1.18,78.684,39.194,105.01,63.497,-109.634,-1.233,85.667,38.974
33,1.6614,99.007,63.765,-100.0,-1.18,78.684,39.194,104.694,63.368,-109.307,-1.134,85.293,38.977
34,1.6947,99.007,63.765,-100.0,-1.18,78.684,39.194,104.95,63.429,-109.508,-1.18,85.477,38.976
35,1.7282,99.007,63.765,-100.0,-1.18,78.684,39.194,104.788,63.373,-109.331,-1.124,85.238,38.978
36,1.7615,99.007,63.765,-100.0,-1.18,78.684,39.194,104.681,63.358,-109.29,-1.125,85.306,38.977
37,1.7953,99.007,63.765,-100.0,-1.18,78.684,39.194,104.805,63.312,-109.433,-1.099,85.338,38.977
38,1.8287,99.007,63.765,-100.0,-1.18,78.684,39.194,104.699,63.382,-109.298,-1.122,85.293,38.977
39,1.8622,99.007,63.765,-100.0,-1.18,78.684,39.194,104.457,63.328,-108.961,-0.94,84.575,38.98
40,1.8952,99.007,63.765,-100.0,-1.18,78.684,39.194,104.423,63.372,-108.881,-0.954,84.634,38.979
41,1.929,99.007,63.765,-100.0,-1.18,78.684,39.194,104.55,63.385,-109.161,-0.991,84.924,38.978
42,1.9622,99.007,63.765,-100.0,-1.18,78.684,39.194,103.889,63.193,-108.567,-0.493,84.002,38.975
43,1.9958,99.007,63.765,-100.0,-1.18,78.684,39.194,104.369,63.284,-108.956,-0.866,84.632,38.978
44,2.0292,99.007,63.765,-100.0,-1.18,78.684,39.194,103.914,63.269,-108.002,-0.595,83.515,38.98
45,2.0628,99.007,63.63,-100.0,-1.106,78.684,39.194,103.612,63.377,-106.79,-0.566,82.375,38.986
46,2.0962,99.007,63.563,-100.0,-1.106,78.684,39.194,104.247,63.272,-108.686,-0.812,84.228,38.979
47,2.1293,99.007,63.563,-100.0,-1.106,78.684,39.194,104.006,63.269,-108.412,-0.614,83.981,38.977
48,2.1628,99.007,63.563,-100.0,-1.106,78.684,39.194,103.208,63.243,-106.646,-0.184,82.138,38.978
49,2.1965,99.007,63.563,-100.0,-1.106,78.684,39.194,102.703,63.094,-106.367,0.186,81.645,38.977
50,2.2298,99.007,63.563,-100.0,-1.106,78.684,39.194,100.73,62.876,-102.296,1.264,76.94,38.971
51,2.2634,99.007,63.563,-100.0,-1.106,78.684,39.194,102.222,63.101,-105.244,0.356,80.726,38.977
52,2.2967,99.007,63.428,-100.0,-0.664,78.514,39.194,101.069,62.938,-102.776,1.084,77.693,38.974
53,2.3301,99.097,63.428,-100.0,-0.074,77.834,39.194,100.656,62.876,-102.41,1.327,76.992,38.971
