ep,capx,capy,caparea,bx,by,area,w,h,onset,arrive,grasp,length,grasp_pan,grasp_lift,grasp_elbow,grasp_wflex,grasp_wroll,grasp_grip
0,132.69488817891374,87.10543130990415,626,150.70536388818937,200.0,3971,96,100,88,197,276,434,-5.973451137542725,67.0549087524414,18.284423828125,-84.4585952758789,38.85226058959961,47.84075546264648
1,,,0,,,0,0,0,74,219,285,447,-24.11504364013672,76.62229919433594,-17.742664337158203,-54.05520248413086,38.85226058959961,47.84075546264648
2,42.94444444444444,28.160493827160494,162,73.38240364062608,200.0,14503,158,170,47,199,290,455,-14.159292221069336,72.62895202636719,-12.505642890930176,-61.104034423828125,39.0476188659668,47.70580291748047
3,177.7674418604651,115.2139534883721,430,107.25747141806512,200.0,14957,220,180,52,145,227,357,-3.6873157024383545,68.30282592773438,-6.275394916534424,-55.83864212036133,39.096458435058594,47.77328109741211
4,261.3989898989899,111.32996632996633,594,251.7266646397081,156.0,3289,67,138,51,147,223,388,3.761061906814575,75.12479400634766,-24.514673233032227,-47.26114654541016,38.901100158691406,47.908233642578125
5,355.7090464547677,88.34474327628362,1636,348.6098986749805,129.0,2566,70,113,61,350,447,589,10.10324478149414,72.71214294433594,-37.155757904052734,-25.265392303466797,38.80341720581055,47.908233642578125
6,453.3322884012539,141.33385579937305,638,421.71808985421006,208.0,6722,112,147,37,195,256,410,20.35398292541504,76.53910064697266,-29.209932327270508,-44.45859909057617,38.85226058959961,47.9757080078125
7,507.94144144144144,216.41666666666666,444,483.43537535410763,249.0,5648,98,127,44,171,248,390,27.65486717224121,68.0532455444336,-8.442438125610352,-53.12101745605469,38.80341720581055,47.77328109741211
8,499.2770673486786,109.25319693094629,1173,450.0152202072539,246.0,6176,116,128,45,219,281,433,25.14749336242676,69.96672058105469,-6.275394916534424,-59.91507339477539,38.85226058959961,47.77328109741211
9,470.5618060695781,109.5980754996299,1351,437.32589061716004,235.0,3986,90,114,46,208,269,424,22.78761100769043,66.6389389038086,2.031602621078491,-66.02972412109375,38.85226058959961,47.77328109741211
10,367.4671814671815,102.65637065637065,1036,345.59823284823284,234.0,5772,100,118,60,168,231,357,15.191740036010742,62.47920227050781,17.11060905456543,-69.7664566040039,38.85226058959961,47.77328109741211
11,288.61811023622045,121.98031496062993,254,272.4749387755102,212.0,6125,89,122,47,140,214,331,6.0471978187561035,59.567386627197266,20.180587768554688,-69.42675018310547,39.19413757324219,47.908233642578125
12,203.19702602230484,125.8736059479554,1076,115.42271920482783,200.0,14085,248,148,55,149,218,342,0.3687315583229065,61.81364440917969,36.52370071411133,-89.12950897216797,38.80341720581055,47.84075546264648
13,147.17535545023696,165.2483412322275,1055,79.05270309618558,200.0,10303,208,107,50,134,184,295,-5.604719638824463,56.655574798583984,56.74943542480469,-98.89596557617188,39.14529800415039,47.77328109741211
14,24.264705882352942,170.2058823529412,1088,70.13466787989081,200.0,1099,90,39,62,267,331,445,-17.625368118286133,60.89850234985352,48.71331787109375,-98.81104278564452,38.80341720581055,47.77328109741211
15,,,0,,,0,0,0,44,198,254,387,-24.705015182495117,58.818634033203125,52.68622970581055,-97.8768539428711,38.85226058959961,47.84075546264648
16,,,0,,,0,0,0,77,314,378,518,-35.76696014404297,60.56572341918945,50.24830627441406,-99.57537078857422,39.14529800415039,47.84075546264648
17,,,0,,,0,0,0,50,181,410,527,-44.69026565551758,-12.22961711883545,96.38825988769533,-32.90870666503906,33.089134216308594,47.84075546264648
18,,,0,,,0,0,0,48,229,301,406,-7.30088472366333,-25.5407657623291,98.82618713378906,-20.764331817626953,39.38949966430664,47.77328109741211
19,275.7568940493469,272.8410740203193,1378,281.99785790789,373.0,2801,58,106,39,155,242,349,12.241888046264648,-9.733777046203612,98.82618713378906,-44.88322830200195,39.0476188659668,47.70580291748047
