ep,file,tape_x,capx,capy,onset,arrive,grasp,length,grasp_pan,grasp_lift,grasp_elbow,grasp_wflex
0,0,598.5,132.7,87.1,88,197,276,434,-6.0,67.1,18.3,-84.5
1,0,597.5,,,74,219,285,447,-24.1,76.6,-17.7,-54.1
2,0,597.5,42.9,28.2,47,199,290,455,-14.2,72.6,-12.5,-61.1
3,0,596.5,177.8,115.2,52,145,227,357,-3.7,68.3,-6.3,-55.8
4,0,595.5,261.4,111.3,51,147,223,388,3.8,75.1,-24.5,-47.3
5,2,600.0,355.7,88.3,61,350,447,589,10.1,72.7,-37.2,-25.3
6,2,598.0,453.3,141.3,37,195,256,410,20.4,76.5,-29.2,-44.5
7,2,601.0,507.9,216.4,44,171,248,390,27.7,68.1,-8.4,-53.1
8,2,601.5,499.3,109.3,45,219,281,433,25.1,70.0,-6.3,-59.9
9,3,583.0,470.6,109.6,46,208,269,424,22.8,66.6,2.0,-66.0
10,3,583.5,367.5,102.7,60,168,231,357,15.2,62.5,17.1,-69.8
11,3,584.5,288.6,122.0,47,140,214,331,6.0,59.6,20.2,-69.4
12,3,584.5,203.2,125.9,55,149,218,342,0.4,61.8,36.5,-89.1
13,3,584.5,147.2,165.2,50,134,184,295,-5.6,56.7,56.7,-98.9
14,4,584.5,24.3,170.2,62,267,331,445,-17.6,60.9,48.7,-98.8
15,4,584.5,,,44,198,254,387,-24.7,58.8,52.7,-97.9
16,4,584.5,,,77,314,378,518,-35.8,60.6,50.2,-99.6
17,4,584.0,,,50,181,410,527,-44.7,-12.2,96.4,-32.9
18,4,583.5,,,48,229,301,406,-7.3,-25.5,98.8,-20.8
19,5,583.5,275.8,272.8,39,155,242,349,12.2,-9.7,98.8,-44.9
20,5,583.5,407.5,244.3,50,157,223,360,23.6,36.7,64.0,-69.1
21,5,584.0,512.9,236.0,51,171,260,397,31.5,55.2,38.0,-81.1
22,5,583.5,478.7,348.5,59,123,214,367,36.9,6.8,78.8,-40.9
23,5,583.5,,,50,239,301,442,-24.1,66.6,-0.2,-55.4
24,6,583.5,33.6,62.8,35,116,194,333,-15.8,57.2,19.3,-61.4
25,6,583.5,133.9,47.7,43,118,184,320,-7.7,55.2,13.9,-49.3
26,6,583.5,268.0,52.0,54,222,234,360,2.8,52.5,10.5,-41.6
27,6,584.0,366.9,55.2,52,229,263,431,13.6,72.1,-13.1,-56.2
28,6,581.5,474.6,94.4,67,156,240,394,23.3,58.7,5.7,-52.5
29,7,582.0,,,49,125,205,346,-27.7,50.2,55.0,-81.0
30,7,581.0,,,40,184,260,376,-20.4,4.4,94.6,-53.5
31,7,580.5,,,58,217,287,398,7.8,-8.2,90.4,-34.4
32,7,581.0,397.8,232.4,66,237,319,449,23.2,30.5,68.2,-68.2
33,7,580.0,,,48,234,261,442,32.9,57.7,12.5,-62.0
34,8,580.5,,,69,277,363,483,-41.4,2.7,86.7,-39.8
35,8,582.5,,,46,201,328,484,-37.3,4.4,66.2,-20.6
36,8,581.5,6.6,177.5,88,220,318,515,-22.3,55.2,3.6,-37.7
37,8,582.0,190.7,164.9,73,194,272,407,-0.7,15.6,67.0,-47.3
38,8,581.5,388.3,207.5,46,235,303,489,22.1,21.1,63.8,-52.9
39,9,582.5,29.5,185.9,50,235,325,480,-18.0,37.3,67.8,-77.6
40,9,581.5,32.2,164.5,46,218,295,426,-14.5,13.0,59.1,-24.2
41,9,581.5,267.7,153.9,80,166,240,389,6.6,14.0,57.7,-25.3
42,9,581.0,483.8,167.8,83,183,282,433,26.5,63.6,17.3,-78.9
43,9,581.0,360.4,117.7,49,319,435,612,13.9,78.2,-45.7,-22.1
44,10,580.5,196.5,77.4,53,216,316,470,-3.5,73.8,-36.6,-25.1
45,10,581.0,,,59,312,398,546,-17.6,87.8,-67.6,-6.1
46,10,580.5,485.4,287.6,60,197,346,485,33.4,46.6,54.0,-80.0
47,10,581.0,,,74,395,493,664,-43.8,24.7,93.4,-65.2
48,10,580.5,294.0,321.5,52,418,492,679,19.2,45.2,83.8,-96.2
