ep,lift,hand_mid,chg_mid,hand_arrive,chg_arrive,hand_grasp,chg_grasp,onset,arrive,grasp
0,67.0549087524414,26060,146703,0,71307,36,70021,88,197,276
1,76.62229919433594,0,7916,0,6187,0,6476,74,219,285
2,72.62895202636719,35,14128,1017,14570,1283,19164,47,199,290
3,68.30282592773438,8177,62082,2783,25447,1906,24581,52,145,227
4,75.12479400634766,6216,72978,3098,39703,1136,32503,51,147,223
5,72.71214294433594,21454,178584,56876,177727,38560,169799,61,350,447
6,76.53910064697266,21766,175162,19713,170923,5635,119625,37,195,256
7,68.0532455444336,10554,171697,7896,120286,6968,108615,44,171,248
8,69.96672058105469,5992,176638,24117,156315,2887,65980,45,219,281
9,66.6389389038086,23207,138278,55591,177737,9406,138051,46,208,269
10,62.47920227050781,17738,170041,22403,174724,1783,27752,60,168,231
11,59.567386627197266,8289,41108,317,56599,121,17090,47,140,214
12,61.81364440917969,121,13503,0,14392,0,7982,55,149,218
13,56.655574798583984,0,6043,0,8102,0,41784,50,134,184
14,60.89850234985352,0,42359,0,32376,0,27734,62,267,331
15,58.818634033203125,0,2670,0,2642,0,41963,44,198,254
16,60.56572341918945,0,4452,0,4789,0,4611,77,314,378
17,-12.22961711883545,0,5484,0,4230,0,5352,50,181,410
18,-25.5407657623291,0,6377,0,3466,0,3150,48,229,301
19,-9.733777046203612,284,44460,1959,41777,421,46610,39,155,242
20,36.68885040283203,547,42337,49753,140942,758,41442,50,157,223
21,55.1580696105957,8004,82705,37460,172960,6876,116711,51,171,260
22,6.821963310241699,4319,38370,4979,59062,5746,109997,59,123,214
23,66.6389389038086,0,6336,0,5200,0,5359,50,239,301
24,57.15474319458008,42,17530,305,50886,524,48685,35,116,194
25,55.24126434326172,837,21565,3422,25755,3322,37333,43,118,184
26,52.49584197998047,19142,126403,7445,29238,7551,31370,54,222,234
27,72.1297836303711,31723,169612,2887,75985,2990,74360,52,229,263
28,58.652244567871094,0,21182,42976,161768,12547,137147,67,156,240
29,50.24958419799805,0,2804,0,36531,0,32848,49,125,205
30,4.409317970275879,0,4979,0,5302,0,4469,40,184,260
31,-8.153078079223633,844,12686,888,12751,904,10194,58,217,287
32,30.532445907592773,1751,30927,17960,172714,665,29196,66,237,319
33,57.73710632324219,12089,132116,17822,138871,16169,132686,48,234,261
34,2.745424270629883,0,3175,0,2710,0,2842,69,277,363
35,4.409317970275879,0,2686,0,2740,0,1963,46,201,328
36,55.1580696105957,36,9102,0,12198,0,9458,88,220,318
37,15.640599250793455,60,42402,237,47278,0,41723,73,194,272
38,21.131446838378903,2836,30783,2335,35705,1588,35236,46,235,303
39,37.27121353149414,0,6368,0,3385,0,38790,50,235,325
40,12.97836971282959,0,6230,0,10149,0,3732,46,218,295
41,13.97670555114746,0,12128,1894,49467,0,15985,80,166,240
42,63.560733795166016,20143,170274,22075,173066,5461,40345,83,183,282
43,78.20299530029297,3519,59879,3913,72822,3535,63730,49,319,435
44,73.7936782836914,50865,152535,14265,136587,18961,128461,53,216,316
45,87.7703857421875,350,26300,0,17724,0,19737,59,312,398
46,46.589019775390625,1235,92675,23654,156175,748,80474,60,197,346
47,24.708818435668945,0,3755,0,2708,0,2425,74,395,493
48,45.17470932006836,46246,155100,27486,176920,0,18127,52,418,492
