ep,g,cx,cy,area,w,h,grasp_shoulder_pan,grasp_shoulder_lift,grasp_elbow_flex,grasp_wrist_flex,grasp_wrist_roll,grasp_gripper
0,276,150.24770642201835,183.79266055045872,2180,78,190,-5.973451137542725,67.0549087524414,18.284423828125,-84.4585952758789,38.85226058959961,47.840755462646484
1,285,15.677757239679606,165.1293900184843,1623,40,86,-24.11504364013672,76.62229919433594,-17.742664337158203,-54.05520248413086,38.85226058959961,47.840755462646484
2,290,84.23713733075435,115.12417794970986,5170,111,158,-14.159292221069336,72.62895202636719,-12.505642890930176,-61.104034423828125,39.0476188659668,47.70580291748047
3,227,159.1413150147203,76.76840039254171,1019,56,63,-3.6873157024383545,68.30282592773438,-6.275394916534424,-55.83864212036133,39.096458435058594,47.77328109741211
4,223,239.62131303520457,93.08182683158897,1051,47,88,3.761061906814575,75.12479400634766,-24.514673233032227,-47.261146545410156,38.901100158691406,47.908233642578125
5,447,,,0,0,0,10.10324478149414,72.71214294433594,-37.155757904052734,-25.265392303466797,38.80341720581055,47.908233642578125
6,256,420.375290292615,131.35229911751046,4306,67,124,20.35398292541504,76.53910064697266,-29.209932327270508,-44.45859909057617,38.85226058959961,47.9757080078125
7,248,485.8200582807188,184.73652258377854,4118,87,116,27.65486717224121,68.0532455444336,-8.442438125610352,-53.12101745605469,38.80341720581055,47.77328109741211
8,281,449.14249186424917,182.87215248721526,4302,77,116,25.147493362426758,69.96672058105469,-6.275394916534424,-59.91507339477539,38.85226058959961,47.77328109741211
9,269,434.25348725348726,183.49013949013948,2079,80,93,22.78761100769043,66.6389389038086,2.031602621078491,-66.02972412109375,38.85226058959961,47.77328109741211
10,231,345.7058968058968,176.34422604422605,4070,83,113,15.191740036010742,62.47920227050781,17.11060905456543,-69.7664566040039,38.85226058959961,47.77328109741211
11,214,275.1388888888889,153.2425925925926,4320,70,111,6.0471978187561035,59.567386627197266,20.180587768554688,-69.42675018310547,39.19413757324219,47.908233642578125
12,218,212.932811780948,195.87252646111367,4346,71,108,0.3687315583229065,61.81364440917969,36.52370071411133,-89.12950897216797,38.80341720581055,47.840755462646484
13,184,168.02465955097534,236.3446816341553,5434,92,153,-5.604719638824463,56.655574798583984,56.74943542480469,-98.89596557617188,39.14529800415039,47.77328109741211
14,331,76.7320125130344,240.8908585331943,5754,113,118,-17.625368118286133,60.898502349853516,48.71331787109375,-98.81104278564453,38.80341720581055,47.77328109741211
15,254,35.025242326332794,271.233844911147,4952,88,128,-24.705015182495117,58.818634033203125,52.68622970581055,-97.8768539428711,38.85226058959961,47.840755462646484
16,378,9.371980676328503,302.15458937198065,828,27,62,-35.76696014404297,60.56572341918945,50.24830627441406,-99.57537078857422,39.14529800415039,47.840755462646484
17,410,,,0,0,0,-44.69026565551758,-12.22961711883545,96.38825988769531,-32.90870666503906,33.089134216308594,47.840755462646484
18,301,164.61871921182265,313.7793103448276,2030,102,43,-7.30088472366333,-25.5407657623291,98.82618713378906,-20.764331817626953,39.38949966430664,47.77328109741211
19,242,266.5408929276966,323.00039510075067,2531,75,90,12.241888046264648,-9.733777046203613,98.82618713378906,-44.88322830200195,39.0476188659668,47.70580291748047
20,223,383.77960199004974,291.41691542288555,2010,79,94,23.598819732666016,36.68885040283203,63.9729118347168,-69.08705139160156,39.0476188659668,47.840755462646484
21,260,470.6681654676259,289.01648681055156,3336,97,96,31.489675521850586,55.1580696105957,37.96839904785156,-81.14649963378906,38.998779296875,47.77328109741211
22,214,438.4964314036479,391.0719006079831,3783,98,91,36.8731575012207,6.821963310241699,78.78103637695312,-40.891719818115234,39.0476188659668,47.908233642578125
23,301,22.272178060413353,168.73577106518283,3145,60,127,-24.11504364013672,66.6389389038086,-0.22573363780975342,-55.41401290893555,39.38949966430664,47.840755462646484
24,194,81.91393875395987,147.99287222808871,3788,109,121,-15.781710624694824,57.15474319458008,19.277652740478516,-61.35881042480469,39.0476188659668,47.9757080078125
25,184,157.63973237261965,134.29318922628238,5829,91,273,-7.66961669921875,55.24126434326172,13.860045433044434,-49.29936218261719,38.998779296875,47.9757080078125
26,234,257.4610778443114,125.96127744510979,2505,66,116,2.8023598194122314,52.49584197998047,10.519186973571777,-41.57112503051758,39.0476188659668,47.908233642578125
27,263,347.5380042462845,128.08471337579618,4710,79,122,13.643068313598633,72.1297836303711,-13.137697219848633,-56.1783447265625,38.998779296875,47.908233642578125
28,240,430.7817450934027,173.62213289193662,4229,73,117,23.303834915161133,58.652244567871094,5.7336344718933105,-52.52653884887695,38.998779296875,47.70580291748047
29,205,27.988842843481034,255.24450111571565,3137,65,116,-27.728612899780273,50.24958419799805,55.03385925292969,-80.97664642333984,38.998779296875,47.908233642578125
30,260,89.3322192513369,303.77272727272725,4488,135,85,-20.4277286529541,4.409317970275879,94.58238983154297,-53.46072006225586,39.29182052612305,47.77328109741211
31,287,260.0497444633731,290.48347529812605,2935,83,98,7.817109107971191,-8.153078079223633,90.42889404296875,-34.4373664855957,39.096458435058594,47.908233642578125
32,319,374.25952552120776,284.3727534148095,2782,79,95,23.23008918762207,30.532445907592773,68.21670532226562,-68.15286254882812,39.0476188659668,47.840755462646484
33,261,496.92362045760433,240.66520861372814,2972,85,105,32.89085388183594,57.73710632324219,12.505642890930176,-62.03821563720703,38.998779296875,47.77328109741211
34,363,,,0,0,0,-41.371681213378906,2.745424270629883,86.72686004638672,-39.78768539428711,38.998779296875,47.908233642578125
35,328,10.351744186046512,303.95251937984494,1032,32,60,-37.315635681152344,4.409317970275879,66.2302474975586,-20.594480514526367,38.998779296875,47.908233642578125
36,318,28.092467298150655,174.4172304916554,2217,62,85,-22.271387100219727,55.1580696105957,3.566591501235962,-37.66454315185547,39.340660095214844,47.908233642578125
37,272,203.41629230308476,229.88050314465409,3339,74,106,-0.6637167930603027,15.640599250793457,66.95259857177734,-47.346073150634766,38.998779296875,47.908233642578125
38,303,365.1756238003839,261.9856046065259,2084,63,101,22.050148010253906,21.131446838378906,63.79232406616211,-52.866241455078125,38.9499397277832,47.908233642578125
39,325,87.15636412822941,251.04274313539835,7393,117,124,-17.99410057067871,37.27121353149414,67.7652359008789,-77.57962036132812,39.29182052612305,47.908233642578125
40,295,80.00021963540523,225.9534372940918,4553,118,125,-14.528023719787598,12.97836971282959,59.09706497192383,-24.161357879638672,39.0476188659668,47.77328109741211
41,240,269.33423807677394,209.702985653354,2579,83,103,6.637167930603027,13.976705551147461,57.65237045288086,-25.265392303466797,39.0476188659668,47.908233642578125
42,282,441.2590095326668,233.6635666124157,4301,81,108,26.54867172241211,63.560733795166016,17.291196823120117,-78.93843078613281,38.998779296875,47.840755462646484
43,435,365.82058545797923,97.60859301227573,2118,63,94,13.938053131103516,78.20299530029297,-45.73363494873047,-22.12314224243164,38.998779296875,47.77328109741211
44,316,,,0,0,0,-3.466076612472534,73.7936782836914,-36.61399459838867,-25.09554100036621,39.0476188659668,47.77328109741211
45,398,37.44128602234856,78.6747696530092,5101,83,107,-17.55162239074707,87.7703857421875,-67.58464813232422,-6.0721869468688965,39.0476188659668,47.840755462646484
46,346,449.2169106662683,333.82103376157755,3347,111,91,33.40707778930664,46.589019775390625,54.04063034057617,-79.95753479003906,38.998779296875,47.77328109741211
47,493,,,0,0,0,-43.8053092956543,24.708818435668945,93.40857696533203,-65.18046569824219,36.31257629394531,47.70580291748047
48,492,296.25058784010747,364.25697010413165,2977,71,99,19.174041748046875,45.17470932006836,83.83747100830078,-96.1783447265625,38.510379791259766,47.840755462646484
