step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5995,99.458,94.062,-99.917,-0.074,75.456,38.999,96.356,59.484,-89.329,-0.591,34.629,38.937
1,0.6087,99.458,94.062,-99.917,-0.074,75.456,38.999,96.344,59.415,-87.795,-0.364,33.196,38.939
2,0.6418,99.458,94.062,-99.917,-0.074,75.456,38.999,96.356,59.407,-86.854,-0.241,31.854,38.936
3,0.6776,99.187,93.995,-99.834,-0.074,75.456,38.999,96.376,59.348,-84.968,-0.098,29.25,38.938
4,0.7132,98.465,93.995,-97.587,-0.074,75.202,38.999,96.184,59.271,-81.836,0.148,25.051,38.937
5,0.747,98.194,93.387,-94.093,-0.074,74.268,38.999,96.4,59.158,-78.208,0.199,19.231,38.935
6,0.7796,98.104,92.308,-90.433,-0.147,72.654,39.194,96.403,59.111,-75.542,0.427,15.995,38.931
7,0.8133,97.923,91.093,-86.772,-0.147,71.295,39.243,96.333,59.027,-71.578,0.714,10.56,38.936
8,0.8467,97.833,89.609,-83.361,-0.147,69.427,39.145,96.24,59.003,-67.596,0.972,5.823,38.94
9,0.8801,97.833,87.854,-79.95,-0.074,67.389,39.145,96.322,58.963,-63.955,1.252,1.312,38.936
10,0.9136,97.743,85.695,-76.123,0.147,65.35,39.048,96.274,59.023,-62.934,1.208,-1.066,38.94
11,0.9469,97.743,83.333,-72.463,0.516,62.633,38.95,96.184,58.999,-60.639,1.403,-3.412,38.938
12,0.9803,97.743,80.769,-68.136,0.885,59.066,38.999,96.288,58.98,-54.468,1.456,-10.351,38.94
13,1.0139,97.743,77.868,-64.725,0.737,55.414,39.096,96.229,59.031,-54.167,1.626,-11.141,38.94
14,1.0469,97.743,75.034,-62.646,0.885,51.592,39.048,96.186,59.088,-52.753,1.532,-13.549,38.941
15,1.0803,97.743,72.402,-59.817,1.18,47.686,38.852,96.548,59.074,-52.192,1.461,-14.32,38.936
16,1.114,97.743,69.973,-56.739,1.327,43.864,38.852,96.517,59.119,-45.986,1.809,-20.444,38.932
17,1.1477,97.833,67.611,-54.659,1.327,39.958,38.852,96.496,59.024,-44.664,1.76,-21.446,38.935
