step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.595,99.368,93.725,-99.584,0.811,75.626,39.048,100.731,62.632,-103.203,0.873,80.307,38.829
1,0.6092,99.368,93.725,-99.584,0.811,75.626,39.048,100.631,62.72,-103.08,0.808,80.006,38.828
2,0.6425,99.368,93.725,-99.584,0.811,75.626,39.048,100.733,62.607,-103.265,0.827,80.339,38.828
3,0.6757,99.368,93.725,-99.75,0.811,76.476,39.048,100.677,62.542,-103.262,0.845,80.276,38.827
4,0.7083,99.368,93.59,-99.917,0.811,76.985,39.048,100.792,62.357,-103.423,0.807,80.74,38.831
5,0.7421,99.368,93.05,-99.917,0.811,77.325,39.243,100.827,62.161,-103.514,0.835,80.892,38.838
6,0.7753,99.368,92.038,-99.917,0.811,77.325,39.145,100.827,62.209,-103.485,0.823,80.92,38.836
7,0.8085,99.368,90.756,-99.917,0.811,77.325,39.096,100.793,62.132,-103.49,0.832,80.761,38.836
8,0.8425,99.458,89.271,-99.917,0.811,77.325,39.096,100.786,62.05,-103.491,0.843,80.893,38.837
9,0.8758,99.458,87.449,-99.917,0.811,77.325,39.096,100.734,62.19,-103.442,0.813,80.687,38.834
10,0.9091,99.458,85.425,-99.917,0.811,77.325,39.096,100.783,61.891,-103.491,0.861,80.863,38.843
11,0.9427,99.458,82.996,-99.917,0.811,77.325,39.096,100.817,61.979,-103.466,0.834,80.941,38.839
12,0.976,99.458,80.297,-99.917,0.811,77.325,39.096,100.761,61.764,-103.525,0.865,81.043,38.843
13,1.0092,99.458,77.598,-99.917,0.811,77.325,39.096,100.818,61.802,-103.528,0.864,81.066,38.842
14,1.0425,99.458,75.034,-99.917,0.811,77.325,39.096,100.745,61.651,-103.399,0.905,81.092,38.849
15,1.0761,99.458,72.605,-99.917,0.811,77.325,39.096,100.693,61.62,-103.349,0.926,81.019,38.85
16,1.1096,99.458,70.445,-99.917,0.811,77.325,39.096,100.736,61.562,-103.415,0.903,81.062,38.852
17,1.1438,99.458,68.556,-99.917,0.811,77.325,39.096,100.671,61.698,-103.443,0.904,80.906,38.846
18,1.177,99.458,66.667,-99.917,0.811,77.325,39.096,100.707,61.641,-103.386,0.914,80.994,38.848
19,1.2107,99.458,65.25,-99.917,0.811,77.325,39.096,100.761,61.51,-103.447,0.91,81.19,38.851
20,1.2435,99.458,64.103,-99.917,0.811,77.325,39.096,100.705,61.563,-103.375,0.929,80.89,38.849
21,1.2771,99.458,63.293,-99.917,0.811,77.325,39.096,100.571,61.635,-103.349,0.939,80.734,38.847
22,1.3107,99.458,62.753,-99.917,0.811,77.325,39.096,100.734,61.543,-103.339,0.92,81.005,38.849
23,1.3434,99.458,62.416,-99.917,0.811,77.325,39.096,100.641,61.56,-103.251,0.95,80.786,38.849
24,1.3771,99.458,62.213,-99.917,0.811,77.325,39.096,100.654,61.529,-103.305,0.951,80.695,38.851
25,1.4105,99.458,62.011,-99.917,0.811,77.325,39.096,100.662,61.565,-103.349,0.921,80.751,38.849
26,1.4435,99.458,61.943,-99.917,0.811,77.325,39.096,100.634,61.543,-103.31,0.943,80.672,38.849
27,1.477,99.458,61.943,-99.917,0.811,77.325,39.096,100.629,61.507,-103.364,0.95,80.497,38.851
28,1.5104,99.458,61.943,-99.917,0.811,77.325,39.096,100.644,61.556,-103.438,0.924,80.522,38.85
29,1.5438,99.458,61.943,-99.917,0.811,77.325,39.096,100.629,61.489,-103.325,0.961,80.523,38.851
30,1.5907,99.458,61.943,-99.917,0.811,77.325,39.096,100.631,61.466,-103.484,0.94,80.381,38.853
31,1.6105,99.458,61.943,-99.917,0.811,77.325,39.096,100.573,61.488,-103.414,0.948,80.313,38.851
32,1.6441,99.458,61.808,-99.917,0.811,77.325,39.096,100.524,61.48,-103.486,0.962,80.252,38.851
33,1.678,99.458,61.808,-99.917,0.811,77.325,39.048,100.53,61.404,-103.568,0.954,79.722,38.853
34,1.7113,99.458,61.808,-99.917,0.811,77.325,38.999,100.468,61.424,-103.614,0.965,79.876,38.852
35,1.7446,99.458,61.808,-99.917,0.811,77.325,38.999,100.436,61.298,-103.853,0.939,79.291,38.857
36,1.7782,99.458,61.808,-99.917,0.811,77.325,38.999,100.323,61.305,-103.918,0.981,79.0,38.856
37,1.812,99.458,61.808,-99.917,0.811,77.325,38.999,100.242,61.39,-103.68,0.975,79.485,38.853
38,1.8445,99.458,61.808,-99.917,0.811,77.325,38.999,100.305,61.318,-103.768,0.941,78.913,38.855
39,1.8785,99.458,61.808,-99.917,0.811,77.325,38.999,100.11,61.377,-103.854,0.963,78.627,38.851
40,1.9121,99.458,61.808,-99.917,0.811,77.325,38.999,99.918,61.413,-103.844,0.986,78.347,38.851
41,1.9454,99.458,61.808,-99.917,0.811,77.325,38.999,100.116,61.343,-103.894,0.964,78.313,38.852
42,1.9791,99.458,61.808,-99.917,0.811,77.325,38.999,100.022,61.3,-103.896,0.988,77.264,38.85
43,2.0123,99.458,61.808,-99.917,0.811,77.325,38.999,99.769,61.32,-103.994,1.025,76.396,38.851
44,2.0457,99.458,61.808,-99.917,0.811,77.07,38.999,99.656,61.31,-103.832,1.033,75.35,38.849
45,2.0792,99.458,61.808,-100.0,0.811,76.73,38.852,99.368,61.298,-103.841,1.042,74.412,38.851
46,2.1124,99.458,61.808,-100.0,0.811,76.73,38.852,99.373,61.31,-103.164,1.0,71.922,38.847
47,2.1456,99.458,61.808,-99.834,0.811,76.051,38.803,98.701,61.374,-101.737,1.079,67.561,38.838
48,2.181,99.458,61.808,-99.75,0.811,75.032,38.803,98.865,61.288,-102.107,1.076,67.512,38.845
49,2.2135,99.458,61.808,-99.667,0.811,73.079,38.803,98.481,61.258,-100.674,1.101,63.186,38.842
50,2.248,99.458,61.808,-99.584,0.811,70.955,38.803,98.2,61.271,-98.398,1.141,57.32,38.836
51,2.2805,99.458,61.741,-99.584,0.811,69.087,38.803,98.173,61.344,-97.722,1.164,54.833,38.829
52,2.3142,99.368,61.673,-99.168,0.811,66.2,38.803,97.703,61.236,-96.443,1.197,52.473,38.832
53,2.3476,99.368,61.606,-98.586,0.811,62.633,38.803,97.466,61.215,-91.706,1.189,40.414,38.83
54,2.3809,99.368,61.538,-98.17,0.811,59.151,38.755,97.338,61.223,-92.096,1.142,43.69,38.83
55,2.414,99.368,61.538,-97.504,0.811,56.008,38.755,96.955,61.157,-89.201,1.187,38.051,38.827
56,2.4478,99.097,61.538,-95.507,0.811,52.187,38.755,96.805,60.952,-85.99,1.213,29.446,38.828
57,2.481,99.097,61.538,-93.178,0.811,48.28,38.755,96.806,61.007,-86.935,1.229,32.391,38.825
58,2.5145,99.097,61.538,-90.349,0.811,44.544,38.755,96.87,61.023,-84.21,1.195,26.399,38.829
59,2.5479,99.097,61.538,-88.436,0.811,40.552,38.755,96.693,60.891,-81.344,0.746,22.278,38.841
60,2.5894,99.097,61.538,-87.271,0.811,36.645,38.755,96.405,60.721,-78.11,0.929,18.832,38.834
61,2.6147,99.007,61.404,-85.774,0.811,32.824,38.755,96.705,60.988,-78.708,0.712,18.314,38.84
62,2.6481,98.826,61.201,-83.777,0.811,28.917,38.706,96.334,60.752,-75.608,0.352,12.155,38.863
63,2.6814,98.736,61.134,-80.865,0.811,25.096,38.706,96.383,60.049,-72.78,0.827,8.573,38.851
64,2.7147,98.736,61.134,-79.285,0.737,22.208,38.706,96.47,60.596,-71.666,0.345,7.208,38.865
65,2.7481,98.646,60.999,-77.205,0.664,18.556,38.706,96.149,60.49,-68.732,-0.35,3.817,38.881
66,2.7815,98.555,60.729,-74.958,0.664,14.735,38.706,96.19,60.593,-68.238,0.216,5.221,38.858
67,2.815,98.555,60.526,-72.879,0.369,11.338,38.706,96.064,60.653,-68.172,0.006,4.333,38.865
68,2.8482,98.555,60.526,-70.799,0.0,8.62,38.706,95.386,60.019,-66.55,0.382,0.469,38.87
69,2.8818,98.555,60.526,-69.8,-0.074,7.346,38.706,95.457,60.368,-62.189,-0.593,-3.099,38.882
70,2.9153,98.555,60.526,-68.885,0.0,6.157,38.706,95.304,60.189,-61.106,-0.47,-4.79,38.884
71,2.9487,98.284,60.526,-66.972,0.074,3.779,38.706,95.596,60.431,-61.07,-0.563,-4.073,38.877
72,2.982,97.923,60.526,-64.642,-0.147,0.892,38.706,95.248,60.03,-60.803,0.274,-4.493,38.868
73,3.0154,97.743,60.526,-63.145,-0.369,-1.146,38.706,94.785,60.247,-57.245,0.118,-7.678,38.876
74,3.049,97.743,60.526,-62.23,-0.442,-1.996,38.706,94.41,59.989,-55.007,-0.353,-9.672,38.876
75,3.083,97.652,60.459,-61.231,-0.221,-3.015,38.706,94.557,59.691,-56.559,0.054,-9.305,38.872
76,3.1158,97.291,60.459,-59.318,0.0,-5.223,38.706,94.321,60.18,-52.744,-0.716,-12.674,38.889
77,3.1491,96.93,60.256,-57.321,0.074,-7.006,38.706,93.265,60.396,-48.641,-0.95,-15.238,38.891
78,3.1827,96.84,60.121,-55.657,-0.074,-8.11,38.706,93.224,60.176,-50.74,0.259,-14.506,38.877
79,3.2163,96.569,60.121,-53.661,-0.295,-10.149,38.706,91.541,60.157,-41.77,-0.444,-21.156,38.891
80,3.2521,96.027,60.121,-51.414,-0.59,-12.017,38.706,92.011,60.106,-42.649,0.508,-20.461,38.872
81,3.2832,95.576,60.121,-49.584,-0.442,-13.376,38.706,91.153,60.096,-43.182,0.582,-19.422,38.871
82,3.3165,94.944,60.054,-47.088,-0.147,-15.584,38.706,91.44,60.002,-41.362,-0.188,-21.937,38.887
83,3.3499,94.402,60.054,-44.925,0.074,-17.452,38.706,90.263,59.993,-37.387,-0.038,-26.048,38.89
84,3.3833,94.041,60.054,-43.76,0.074,-18.641,38.706,89.261,60.094,-36.45,-0.011,-26.19,38.886
85,3.4169,93.679,60.054,-42.263,0.074,-20.51,38.706,88.209,60.029,-33.137,0.571,-29.705,38.883
86,3.4503,93.047,60.054,-39.767,0.074,-22.633,38.706,89.366,60.284,-33.942,0.132,-28.228,38.887
87,3.4837,92.506,60.054,-37.604,0.0,-24.416,38.706,87.457,60.181,-27.699,-0.2,-33.615,38.905
88,3.5171,91.783,60.054,-35.441,0.074,-26.369,38.706,87.339,61.063,-27.75,0.207,-31.042,38.89
89,3.5505,90.971,60.054,-33.86,0.074,-27.983,38.706,86.095,59.957,-24.714,0.127,-36.26,38.895
90,3.5926,90.158,60.054,-31.614,0.0,-29.936,38.706,86.118,59.985,-23.848,0.658,-35.654,38.887
91,3.6174,89.526,60.121,-28.952,0.0,-31.55,38.706,84.09,60.555,-18.961,0.468,-39.337,38.893
92,3.6508,89.074,60.121,-26.705,0.0,-33.163,38.706,83.933,60.892,-18.645,0.253,-38.737,38.899
93,3.6838,88.442,60.121,-24.792,0.074,-34.522,38.657,82.422,61.036,-16.434,0.179,-39.625,38.896
94,3.7174,87.449,60.121,-22.213,0.074,-36.136,38.657,80.453,60.841,-13.184,0.97,-42.659,38.881
95,3.7509,86.637,60.121,-19.717,0.074,-37.155,38.657,81.032,60.821,-11.451,1.225,-43.527,38.879
96,3.7846,85.734,60.189,-17.471,0.0,-38.259,38.657,79.815,60.89,-9.104,0.838,-44.502,38.884
