step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,0.5769,99.639,93.387,-99.834,0.959,75.456,38.852,100.992,62.319,-103.637,1.217,79.774,38.882
1,0.6096,99.639,93.387,-99.834,0.959,75.456,38.852,100.928,62.398,-103.626,1.215,79.646,38.878
2,0.64,99.639,93.387,-99.834,0.959,75.456,38.852,100.965,62.348,-103.699,1.201,79.801,38.879
3,0.671,99.639,93.117,-99.917,0.959,76.306,38.852,100.943,62.378,-103.639,1.226,79.461,38.876
4,0.7042,99.639,90.958,-99.917,0.959,76.815,38.852,101.03,62.218,-103.812,1.194,80.139,38.88
5,0.7376,99.549,87.989,-99.917,0.959,77.155,39.048,101.087,62.051,-103.853,1.165,80.277,38.885
6,0.7707,99.549,84.683,-99.917,0.959,77.155,39.048,101.127,62.083,-103.902,1.167,80.255,38.884
7,0.8043,99.549,81.444,-99.917,0.959,77.155,39.048,101.032,62.089,-103.864,1.182,80.163,38.882
8,0.8376,99.549,78.138,-99.917,0.959,77.155,39.048,100.98,62.137,-103.831,1.193,80.017,38.879
9,0.871,99.549,74.831,-99.917,0.959,77.155,39.048,101.044,62.068,-103.862,1.165,80.21,38.883
10,0.9065,99.549,71.592,-99.917,0.959,77.155,39.048,101.131,61.959,-103.924,1.179,80.232,38.886
11,0.9376,99.549,68.623,-99.917,0.959,77.155,39.048,101.136,61.99,-103.829,1.156,80.486,38.888
12,0.9708,99.549,66.262,-99.917,0.959,77.155,39.096,101.067,61.917,-103.854,1.156,80.434,38.887
13,1.0047,99.549,64.912,-99.917,0.959,77.155,39.096,101.17,61.97,-103.945,1.17,80.354,38.885
14,1.0388,99.549,63.968,-99.917,0.959,77.155,39.096,101.245,61.79,-103.811,1.141,80.505,38.893
15,1.0735,99.549,63.428,-99.917,0.959,77.155,39.096,101.252,61.767,-103.828,1.157,80.574,38.893
16,1.1054,99.549,62.888,-99.917,0.959,77.155,39.096,101.269,61.692,-103.806,1.131,80.454,38.894
17,1.1378,99.549,62.551,-99.917,0.959,77.155,39.096,101.168,61.8,-103.934,1.167,80.377,38.889
18,1.1714,99.549,62.348,-99.917,0.959,77.155,39.096,101.215,61.796,-103.847,1.151,80.533,38.891
19,1.2048,99.549,62.213,-99.917,0.959,77.155,39.096,101.291,61.695,-103.868,1.137,80.613,38.894
20,1.2381,99.549,62.213,-99.917,0.959,77.155,39.096,101.252,61.73,-103.865,1.127,80.384,38.893
21,1.2715,99.549,62.078,-99.917,0.959,77.155,39.096,101.107,61.763,-103.76,1.156,80.415,38.892
22,1.3051,99.549,62.011,-99.917,0.959,77.155,39.096,101.249,61.714,-103.848,1.142,80.54,38.892
23,1.3382,99.549,61.943,-99.917,0.959,77.155,39.096,101.239,61.709,-103.875,1.15,80.382,38.891
24,1.3721,99.549,61.943,-99.917,0.959,77.155,39.096,101.289,61.658,-103.93,1.153,80.434,38.893
25,1.4059,99.549,61.943,-99.917,0.959,77.155,39.096,101.214,61.756,-103.911,1.143,80.348,38.891
26,1.4386,99.549,61.943,-99.917,0.959,77.155,39.096,101.239,61.698,-103.995,1.142,80.206,38.889
27,1.4722,99.549,61.943,-99.917,0.959,77.155,39.096,101.265,61.644,-104.055,1.144,80.093,38.89
28,1.5051,99.549,61.943,-99.917,0.959,77.155,39.096,101.28,61.655,-104.07,1.116,80.013,38.891
29,1.5384,99.549,61.943,-99.917,0.959,77.155,39.096,101.297,61.62,-104.044,1.145,80.161,38.889
30,1.5758,99.549,61.943,-99.917,0.959,77.155,39.096,101.326,61.594,-104.038,1.113,80.087,38.893
31,1.605,99.549,61.943,-99.917,0.959,77.155,39.096,101.257,61.606,-104.07,1.144,80.062,38.89
32,1.6381,99.549,61.943,-99.917,0.959,77.155,39.096,101.285,61.552,-104.183,1.124,79.782,38.89
33,1.6719,99.549,61.943,-99.917,0.959,77.155,39.096,101.382,61.502,-104.212,1.103,79.563,38.891
34,1.7058,99.549,61.943,-99.917,0.959,77.155,39.096,101.306,61.522,-104.207,1.109,79.612,38.891
35,1.7395,99.549,61.943,-99.917,0.959,77.155,39.096,101.386,61.396,-104.424,1.05,79.313,38.891
36,1.7727,99.549,61.943,-99.917,0.959,77.155,39.096,101.351,61.428,-104.5,1.087,79.217,38.89
37,1.806,99.549,61.943,-99.917,0.959,77.155,39.096,101.218,61.482,-104.24,1.105,79.584,38.891
38,1.8395,99.549,61.808,-99.917,0.959,77.155,39.096,101.259,61.392,-104.445,1.076,79.418,38.892
39,1.8728,99.549,61.808,-99.917,0.959,77.155,39.096,101.107,61.472,-104.397,1.102,79.373,38.889
40,1.9062,99.549,61.808,-99.917,0.959,77.155,39.096,101.043,61.497,-104.382,1.136,79.362,38.887
41,1.9398,99.549,61.673,-99.917,0.959,77.155,39.096,101.204,61.443,-104.458,1.088,79.173,38.888
42,1.9752,99.549,61.673,-99.917,0.959,77.155,39.096,101.157,61.395,-104.473,1.075,78.999,38.887
43,2.0065,99.549,61.673,-99.917,0.959,77.155,39.096,100.892,61.394,-104.403,1.12,79.009,38.889
44,2.0401,99.549,61.673,-99.917,0.959,77.155,39.096,100.833,61.366,-104.369,1.119,78.992,38.889
45,2.0734,99.549,61.673,-99.917,0.959,77.155,39.096,100.569,61.353,-104.344,1.16,78.689,38.888
46,2.1065,99.549,61.673,-99.917,0.959,77.155,39.096,100.599,61.371,-104.301,1.165,78.797,38.887
47,2.1402,99.549,61.673,-99.917,0.959,77.155,39.096,100.205,61.391,-104.109,1.257,78.694,38.887
48,2.1739,99.549,61.673,-99.917,0.959,77.155,39.096,100.062,61.264,-104.185,1.239,78.462,38.888
49,2.2066,99.549,61.673,-99.917,0.959,77.155,39.096,100.052,61.233,-104.1,1.193,78.093,38.89
50,2.241,99.549,61.673,-99.917,0.959,77.155,39.096,99.571,61.197,-103.77,1.314,77.409,38.89
51,2.2756,99.549,61.673,-99.917,0.959,77.155,39.096,99.545,61.314,-103.813,1.349,77.317,38.887
52,2.3119,99.549,61.606,-99.917,0.959,77.155,39.096,99.065,61.169,-103.393,1.445,76.296,38.889
53,2.3432,99.549,61.538,-99.917,0.959,76.9,39.048,98.959,61.128,-103.017,1.57,74.992,38.892
54,2.3743,99.549,61.538,-99.917,0.959,76.9,38.999,98.825,61.154,-103.001,1.53,76.535,38.894
55,2.408,99.458,61.538,-99.917,0.959,76.73,38.95,97.794,61.163,-101.388,1.755,74.846,38.894
56,2.4416,99.458,61.538,-99.917,0.959,76.561,38.95,97.875,61.141,-100.974,1.846,72.375,38.89
57,2.4743,99.458,61.538,-99.917,0.959,76.476,38.901,97.637,61.065,-100.429,1.902,72.286,38.893
