09-01-2026 21:34:57 RAM 1371/7620MB (lfb 5x4MB) SWAP 0/3810MB (cached 0MB) CPU [3%@1728,2%@1728,100%@1728,2%@1728,2%@729,2%@729] GR3D_FREQ 0% cpu@47.718C soc2@45.531C soc0@46.75C gpu@47.718C tj@47.718C soc1@46.312C VDD_IN 7371mW/7371mW VDD_CPU_GPU_CV 1520mW/1520mW VDD_SOC 3240mW/3240mW
09-01-2026 21:35:02 RAM 1422/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1728,1%@1728,100%@1728,1%@1728,1%@729,1%@729] GR3D_FREQ 0% cpu@48C soc2@45.625C soc0@46.937C gpu@47.906C tj@48C soc1@46.593C VDD_IN 7331mW/7351mW VDD_CPU_GPU_CV 1640mW/1580mW VDD_SOC 3240mW/3240mW
09-01-2026 21:35:07 RAM 2549/7620MB (lfb 6x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@1190,9%@1190,63%@1190,7%@1190,26%@729,4%@729] GR3D_FREQ 46% cpu@47.718C soc2@45.968C soc0@47.437C gpu@49.343C tj@49.343C soc1@46.781C VDD_IN 10742mW/8481mW VDD_CPU_GPU_CV 3269mW/2143mW VDD_SOC 4153mW/3544mW
09-01-2026 21:35:12 RAM 3767/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@729,23%@729,3%@729,4%@729,36%@1113,18%@1113] GR3D_FREQ 99% cpu@50.156C soc2@47.781C soc0@48.187C gpu@52.125C tj@52.125C soc1@47.5C VDD_IN 20731mW/11544mW VDD_CPU_GPU_CV 8003mW/3608mW VDD_SOC 7399mW/4508mW
09-01-2026 21:35:17 RAM 3783/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [23%@1267,23%@1267,25%@1267,12%@1267,27%@1036,28%@1036] GR3D_FREQ 99% cpu@51.875C soc2@49.625C soc0@50.031C gpu@53.718C tj@53.718C soc1@49.031C VDD_IN 21249mW/13485mW VDD_CPU_GPU_CV 8081mW/4503mW VDD_SOC 7702mW/5147mW
09-01-2026 21:35:22 RAM 3789/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@1728,22%@1728,32%@1728,14%@1728,26%@1113,13%@1113] GR3D_FREQ 55% cpu@53.062C soc2@50.875C soc0@51.375C gpu@54.906C tj@54.906C soc1@50.562C VDD_IN 21766mW/14865mW VDD_CPU_GPU_CV 8264mW/5130mW VDD_SOC 7859mW/5599mW
09-01-2026 21:35:27 RAM 3797/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@729,17%@729,23%@729,15%@729,24%@729,31%@729] GR3D_FREQ 99% cpu@54.093C soc2@52.062C soc0@52.625C gpu@56.968C tj@56.968C soc1@51.968C VDD_IN 21962mW/15879mW VDD_CPU_GPU_CV 8695mW/5639mW VDD_SOC 7702mW/5899mW
09-01-2026 21:35:32 RAM 3786/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [31%@1344,20%@1344,14%@1344,25%@1344,28%@1420,19%@1420] GR3D_FREQ 99% cpu@55.531C soc2@53.156C soc0@53.656C gpu@57.718C tj@57.718C soc1@52.968C VDD_IN 21923mW/16634mW VDD_CPU_GPU_CV 8577mW/6006mW VDD_SOC 7728mW/6128mW
09-01-2026 21:35:37 RAM 3790/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [21%@1728,25%@1728,25%@1728,21%@1728,30%@729,13%@729] GR3D_FREQ 99% cpu@56.531C soc2@54.218C soc0@54.875C gpu@58.625C tj@58.625C soc1@54.125C VDD_IN 21766mW/17205mW VDD_CPU_GPU_CV 8381mW/6270mW VDD_SOC 7780mW/6311mW
09-01-2026 21:35:42 RAM 3790/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@1267,24%@1267,25%@1267,20%@1267,25%@729,16%@729] GR3D_FREQ 94% cpu@57.625C soc2@55.187C soc0@55.906C gpu@59.343C tj@59.343C soc1@55.125C VDD_IN 21844mW/17669mW VDD_CPU_GPU_CV 8342mW/6477mW VDD_SOC 7885mW/6469mW
09-01-2026 21:35:47 RAM 3790/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [28%@1420,20%@1420,22%@1420,16%@1420,29%@729,17%@729] GR3D_FREQ 76% cpu@58.531C soc2@56.031C soc0@56.75C gpu@60.406C tj@60.406C soc1@56.093C VDD_IN 21923mW/18055mW VDD_CPU_GPU_CV 8290mW/6642mW VDD_SOC 7964mW/6605mW
09-01-2026 21:35:52 RAM 3786/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,23%@729,22%@729,24%@729,28%@729,15%@729] GR3D_FREQ 99% cpu@59.031C soc2@56.75C soc0@57.531C gpu@61.375C tj@61.375C soc1@56.718C VDD_IN 22041mW/18387mW VDD_CPU_GPU_CV 8681mW/6812mW VDD_SOC 7689mW/6695mW
09-01-2026 21:35:57 RAM 3786/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@1267,20%@1267,23%@1267,18%@1267,34%@1574,21%@1574] GR3D_FREQ 99% cpu@60.187C soc2@57.562C soc0@58.156C gpu@61.875C tj@61.875C soc1@57.5C VDD_IN 22120mW/18675mW VDD_CPU_GPU_CV 8641mW/6953mW VDD_SOC 7846mW/6784mW
09-01-2026 21:36:02 RAM 3795/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@1190,20%@1190,26%@1190,19%@1190,27%@729,14%@729] GR3D_FREQ 99% cpu@60.468C soc2@58.343C soc0@58.937C gpu@62.562C tj@62.562C soc1@58.218C VDD_IN 21923mW/18907mW VDD_CPU_GPU_CV 8446mW/7059mW VDD_SOC 7846mW/6860mW
09-01-2026 21:36:07 RAM 3782/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@729,22%@729,23%@729,19%@729,27%@1267,20%@1267] GR3D_FREQ 83% cpu@61.125C soc2@59.031C soc0@59.531C gpu@62.75C tj@62.75C soc1@58.875C VDD_IN 21923mW/19108mW VDD_CPU_GPU_CV 8290mW/7141mW VDD_SOC 7924mW/6930mW
09-01-2026 21:36:12 RAM 3789/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [24%@729,20%@729,30%@729,19%@729,27%@729,26%@729] GR3D_FREQ 99% cpu@61.5C soc2@59.562C soc0@60.156C gpu@64.062C tj@64.062C soc1@59.531C VDD_IN 22162mW/19299mW VDD_CPU_GPU_CV 8837mW/7247mW VDD_SOC 7807mW/6985mW
