step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,1.0401,99.458,93.117,-99.501,-0.369,75.626,38.852,105.735,65.323,-110.47,-1.745,86.654,38.936
1,1.0517,99.458,93.117,-99.501,-0.369,75.626,38.852,105.634,65.301,-110.52,-1.721,86.651,38.936
2,1.0874,99.458,93.117,-99.501,-0.369,75.626,38.852,105.795,65.335,-110.438,-1.729,86.655,38.935
3,1.1173,99.458,93.117,-99.584,-0.737,76.221,38.852,105.543,65.142,-110.837,-1.65,87.27,38.934
4,1.152,99.458,93.05,-100.0,-1.327,77.58,39.048,105.69,65.283,-110.563,-1.744,86.736,38.937
5,1.1852,98.916,92.578,-100.0,-1.401,79.108,39.194,105.605,65.198,-110.653,-1.686,86.915,38.936
6,1.2189,98.826,91.498,-100.0,-1.106,79.363,39.243,105.456,65.013,-111.108,-1.613,87.445,38.936
7,1.2554,98.826,90.283,-100.0,-1.18,79.363,39.243,105.452,65.042,-110.921,-1.586,87.465,38.935
8,1.2864,98.826,88.799,-100.0,-1.254,79.363,39.243,105.217,64.937,-110.901,-1.526,87.378,38.935
9,1.3196,98.826,86.977,-100.0,-1.254,79.363,39.243,105.372,65.12,-110.613,-1.602,86.872,38.937
10,1.3533,98.826,84.885,-100.0,-1.18,79.363,39.243,104.744,64.496,-111.203,-1.447,88.164,38.931
11,1.3867,98.826,82.524,-100.0,-1.106,79.363,39.243,104.821,64.555,-111.232,-1.473,88.047,38.931
12,1.4198,98.826,80.027,-100.0,-1.18,79.363,39.243,105.076,64.832,-110.913,-1.512,87.506,38.933
13,1.4534,98.826,77.463,-100.0,-1.18,79.363,39.243,103.542,63.576,-111.129,-1.19,88.807,38.932
14,1.4917,98.826,75.169,-100.0,-1.18,79.363,39.243,104.081,63.946,-111.25,-1.319,88.492,38.932
15,1.5271,98.826,72.942,-100.0,-1.106,79.363,39.243,103.889,63.821,-111.123,-1.258,88.468,38.932
16,1.556,98.826,70.985,-100.0,-1.106,79.363,39.243,104.17,64.065,-111.142,-1.341,88.322,38.932
17,1.5861,98.826,69.231,-100.0,-1.106,79.363,39.243,104.209,64.125,-110.933,-1.258,87.978,38.932
18,1.6213,98.826,67.611,-100.0,-1.106,79.363,39.243,103.917,63.836,-111.106,-1.249,88.558,38.932
19,1.6547,98.826,66.397,-100.0,-1.106,79.363,39.243,103.715,63.723,-111.194,-1.27,88.475,38.935
20,1.6879,98.826,65.452,-100.0,-1.106,79.363,39.243,103.55,63.702,-110.98,-1.196,88.51,38.932
21,1.7213,98.826,64.845,-100.0,-1.106,79.363,39.243,103.841,63.933,-110.8,-1.255,88.183,38.934
22,1.7543,98.826,64.575,-100.0,-1.106,79.363,39.243,103.561,63.593,-111.057,-1.213,88.665,38.933
