step,t_s,state.elbow_flex,state.gripper,state.shoulder_lift,state.shoulder_pan,state.wrist_flex,state.wrist_roll,cmd.elbow_flex,cmd.gripper,cmd.shoulder_lift,cmd.shoulder_pan,cmd.wrist_flex,cmd.wrist_roll
0,1.2004,99.458,93.117,-99.75,0.959,75.456,38.803,102.848,64.826,-106.35,0.86,87.097,38.856
1,1.2138,99.458,93.117,-99.75,0.959,75.456,38.803,102.827,64.782,-106.349,0.855,86.991,38.857
2,1.2443,99.458,93.117,-99.75,0.959,75.456,38.803,102.813,64.815,-106.268,0.839,87.049,38.856
3,1.2818,99.458,93.05,-99.75,0.959,75.541,38.803,102.749,64.623,-106.647,0.855,86.949,38.859
4,1.3129,99.458,92.982,-99.75,0.959,76.051,38.803,102.776,64.759,-106.436,0.834,86.957,38.858
5,1.3522,99.458,92.51,-99.834,0.959,76.391,38.95,102.748,64.699,-106.485,0.827,86.797,38.858
6,1.3813,99.458,91.363,-100.0,0.959,76.985,38.999,102.739,64.536,-106.732,0.859,86.733,38.861
7,1.4174,99.458,90.148,-100.0,0.959,77.58,39.048,102.697,64.53,-106.755,0.854,86.737,38.861
8,1.4504,99.368,88.664,-100.0,0.959,77.834,39.096,102.622,64.259,-106.977,0.917,86.009,38.866
9,1.4816,99.007,86.842,-100.0,0.959,78.429,39.145,102.66,64.443,-106.592,0.877,86.094,38.862
10,1.5149,98.916,84.75,-100.0,0.959,78.854,39.194,102.565,64.003,-107.434,0.941,85.657,38.869
11,1.5511,98.916,82.389,-100.0,0.959,78.938,39.194,102.517,63.886,-107.479,0.93,85.298,38.87
12,1.5796,98.916,79.892,-100.0,0.885,78.938,39.194,102.625,64.259,-106.724,0.889,85.822,38.865
13,1.6144,98.916,77.26,-100.0,0.959,78.938,39.194,102.223,62.941,-107.611,0.706,82.204,38.879
14,1.65,98.916,74.899,-100.0,0.959,78.938,39.194,102.342,63.398,-107.713,0.864,83.92,38.875
15,1.6831,98.916,72.672,-100.0,0.959,78.938,39.194,102.352,63.327,-107.62,0.853,83.578,38.876
16,1.7138,98.916,70.58,-100.0,0.959,78.938,39.194,102.318,63.32,-107.586,0.828,83.556,38.875
17,1.7495,98.916,68.826,-100.0,0.959,78.938,39.194,102.395,63.555,-106.893,0.836,83.371,38.875
18,1.7831,98.916,67.139,-100.0,0.959,78.938,39.194,102.433,63.528,-107.526,0.88,84.142,38.874
19,1.8206,98.916,65.857,-100.0,0.959,78.938,39.194,102.206,63.207,-107.586,0.77,83.165,38.878
20,1.8496,98.916,64.845,-100.0,0.959,78.938,39.194,102.197,63.024,-107.585,0.757,82.543,38.877
21,1.8829,98.916,64.238,-100.0,0.959,78.938,39.194,102.336,63.636,-106.988,0.779,83.821,38.876
22,1.9169,98.916,63.9,-100.0,0.959,78.938,39.194,102.247,63.045,-107.67,0.745,82.63,38.879
23,1.9472,98.916,63.765,-100.0,0.959,78.938,39.194,102.279,63.112,-107.755,0.8,83.025,38.878
24,1.981,98.916,63.765,-100.0,0.959,78.938,39.194,102.205,63.063,-107.643,0.763,82.689,38.877
25,2.0163,98.916,63.765,-100.0,0.959,78.938,39.194,102.178,62.944,-107.397,0.684,81.936,38.88
26,2.0499,98.916,63.495,-100.0,0.959,78.938,39.194,102.242,63.218,-107.388,0.768,82.91,38.877
27,2.0832,98.916,63.36,-100.0,0.959,78.938,39.194,102.219,62.984,-107.615,0.732,82.287,38.879
28,2.1165,98.916,63.293,-100.0,0.959,78.938,39.194,102.32,63.498,-107.401,0.803,83.936,38.874
29,2.152,98.916,63.293,-100.0,0.959,78.938,39.194,102.266,63.207,-107.751,0.808,83.296,38.876
30,2.1916,98.916,63.293,-100.0,0.959,78.938,39.194,102.235,63.122,-107.66,0.756,82.728,38.877
31,2.2142,98.916,63.293,-100.0,0.959,78.938,39.194,102.23,63.038,-107.231,0.666,81.766,38.878
